Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-02,17:00,Libertadores,Group stage,Tue,Away,D,1,1,coMillonarios,1.6,1.7,53,"22,205",Giorgian De Arrascaeta,4-2-3-1,4-4-2,Darío Herrera,Match Report,
2024-04-10,21:30,Libertadores,Group stage,Wed,Home,W,2,0,clPalestino,2.3,0.9,63,,Giorgian De Arrascaeta,4-2-3-1,4-2-3-1,Facundo Tello,Match Report,
2024-04-14,16:00,Série A,Matchweek 1,Sun,Away,W,2,1,Atl Goianiense,1.2,1.6,67,"31,617",Giorgian De Arrascaeta,4-2-3-1,4-1-3-2,André Luiz Skettino Policarpo Bento,Match Report,
2024-04-17,21:30,Série A,Matchweek 2,Wed,Home,W,2,1,São Paulo,1.3,0.7,47,"45,166",Bruno Henrique,4-2-3-1,3-4-3,Anderson Daronco,Match Report,
2024-04-21,16:00,Série A,Matchweek 3,Sun,Away,D,0,0,Palmeiras,0.2,0.4,50,"29,956",Giorgian De Arrascaeta,4-2-3-1,3-4-3,Rodrigo José Pereira de Lima,Match Report,
2024-04-24,20:30,Libertadores,Group stage,Wed,Away,L,1,2,boBolívar,1.5,1.5,37,"22,620",Gerson,3-4-3,4-3-3,Alexis Herrera,Match Report,
2024-04-28,11:00,Série A,Matchweek 4,Sun,Home,L,0,2,Botafogo (RJ),0.8,1.0,60,"53,683",Giorgian De Arrascaeta,4-2-3-1,4-4-2,Raphael Claus,Match Report,
2024-05-04,18:30,Série A,Matchweek 5,Sat,Away,D,1,1,Red Bull Bragantino,1.8,0.6,56,"9,917",Gerson,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
2024-05-07,20:00,Libertadores,Group stage,Tue,Away,L,0,1,clPalestino,1.2,0.5,64,"4,217",Gerson,4-2-3-1,4-3-3,Esteban Ostojich,Match Report,
2024-05-11,16:00,Série A,Matchweek 6,Sat,Home,W,2,0,Corinthians,1.7,1.6,58,"56,829",Gerson,4-2-3-1,3-4-3,Ramon Abatti,Match Report,
2024-05-15,21:30,Libertadores,Group stage,Wed,Home,W,4,0,boBolívar,2.5,0.8,50,"63,169",Gerson,4-2-3-1,4-3-3,Andrés Matonte,Match Report,
2024-05-28,21:00,Libertadores,Group stage,Tue,Home,W,3,0,coMillonarios,2.2,0.6,61,"64,268",Gerson,4-2-3-1,5-4-1,Facundo Tello,Match Report,
2024-06-02,16:00,Série A,Matchweek 7,Sun,Away,W,6,1,Vasco da Gama,3.8,0.1,73,"62,228",Gerson,4-2-3-1,3-4-3,Braulio Machado,Match Report,
2024-06-13,20:00,Série A,Matchweek 8,Thu,Home,W,2,1,Grêmio,1.0,1.0,42,"51,785",Gerson,4-2-3-1,4-4-2,Luiz Flávio de Oliveira,Match Report,
2024-06-16,16:00,Série A,Matchweek 9,Sun,Away,D,1,1,Ath Paranaense,0.6,1.8,52,"38,641",Gerson,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2024-06-20,20:00,Série A,Matchweek 10,Thu,Home,W,2,1,Bahia,1.1,0.8,35,"49,909",Gerson,4-2-3-1,4-1-3-2,Braulio Machado,Match Report,
2024-06-23,16:00,Série A,Matchweek 11,Sun,Away,W,1,0,Fluminense,2.0,0.3,46,"57,098",Gerson,4-2-3-1,4-4-2,Rafael Rodrigo Klein,Match Report,
2024-06-26,20:00,Série A,Matchweek 12,Wed,Away,L,1,2,Juventude,1.6,2.2,47,"12,675",Gerson,4-2-3-1,4-2-3-1,Matheus Delgado Candançan,Match Report,
2024-06-30,18:30,Série A,Matchweek 13,Sun,Home,W,2,1,Cruzeiro,0.6,0.6,46,"52,768",Gerson,4-2-3-1,4-3-3,Braulio Machado,Match Report,
2024-07-03,21:30,Série A,Matchweek 14,Wed,Away,W,4,2,Atlético Mineiro,2.1,2.4,48,,Gerson,4-2-3-1,4-1-4-1,Ramon Abatti,Match Report,
2024-07-06,20:00,Série A,Matchweek 15,Sat,Home,D,1,1,Cuiabá,1.4,0.8,66,,Gerson,4-4-2,4-5-1,Rodrigo José Pereira de Lima,Match Report,
2024-07-11,20:00,Série A,Matchweek 16,Thu,Home,L,1,2,Fortaleza,2.0,0.4,70,,Gerson,4-2-3-1,4-2-3-1,Edina Alves Batista,Match Report,
2024-07-17,,Série A,Matchweek 17,Wed,Away,,,,Internacional,,,,,,,,,,Match Postponed
2024-07-20,16:00,Série A,Matchweek 18,Sat,Home,W,2,1,Criciúma,2.4,1.2,62,,Gerson,4-2-3-1,4-4-2,Maguielson Lima Barbosa,Match Report,
2024-07-24,20:00,Série A,Matchweek 19,Wed,Away,W,2,1,Vitória,1.0,1.4,56,,Gerson,4-2-3-1,4-1-4-1,Raphael Claus,Match Report,
2024-07-28,16:00,Série A,Matchweek 20,Sun,Home,W,2,0,Atl Goianiense,1.3,0.4,53,"61,883",Gerson,4-2-3-1,4-3-3,Gustavo Ervino Bauermann,Match Report,
2024-08-03,21:30,Série A,Matchweek 21,Sat,Away,L,0,1,São Paulo,0.3,1.4,40,,Bruno Henrique,4-2-3-1,4-2-3-1,Rafael Rodrigo Klein,Match Report,
2024-08-11,16:00,Série A,Matchweek 22,Sun,Home,D,1,1,Palmeiras,1.0,1.3,52,,Gerson,4-2-3-1,3-4-3,Wilton Pereira Sampaio,Match Report,
2024-08-15,21:30,Libertadores,Round of 16,Thu,Home,W,2,0,boBolívar,1.7,0.5,64,,Gerson,4-2-3-1,4-1-4-1,Wilmar Roldán,Match Report,Leg 1 of 2
