Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-02-20,19:30,Libertadores,Second qualifying stage,Tue,Away,D,0,0,coRionegro,1.2,0.3,57,,Leo Ortiz,4-3-3,5-4-1,Gustavo Tejera,Match Report,Leg 1 of 2
2024-02-27,21:30,Libertadores,Second qualifying stage,Tue,Home,D,0(4),0(3),coRionegro,0.4,0.2,71,"4,201",Leo Ortiz,4-3-3,5-4-1,Piero Maza,Match Report,Leg 2 of 2; Red Bull Bragantino won; Red Bull Bragantino won on penalty kicks following extra time
2024-03-06,21:30,Libertadores,Third qualifying stage,Wed,Away,L,1,2,brBotafogo (RJ),0.2,0.7,54,"33,433",Cleiton Schwengber,4-2-3-1,4-3-3,Gustavo Tejera,Match Report,Leg 1 of 2
2024-03-13,21:30,Libertadores,Third qualifying stage,Wed,Home,D,1,1,brBotafogo (RJ),1.5,0.8,62,,Cleiton Schwengber,4-2-3-1,4-2-3-1,Wilmar Roldán,Match Report,Leg 2 of 2; Botafogo (RJ) won
2024-04-03,21:00,Sudamericana,Group stage,Wed,Home,W,1,0,clCoquimbo Unido,,,60,"3,685",Cleiton Schwengber,4-3-3,4-4-2,Ivo Méndez,Match Report,
2024-04-10,21:30,Sudamericana,Group stage,Wed,Away,L,0,3,arRacing Club,,,55,"19,826",Cleiton Schwengber,4-3-3,3-1-4-2,Alexis Herrera,Match Report,
2024-04-13,21:00,Série A,Matchweek 1,Sat,Away,D,2,2,Fluminense,1.2,1.8,31,"17,645",Cleiton Schwengber,4-3-3,4-2-3-1,Maguielson Lima Barbosa,Match Report,
2024-04-17,19:00,Série A,Matchweek 2,Wed,Home,W,2,1,Vasco da Gama,0.9,1.2,41,"5,448",Eduardo Sasha,4-3-3,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,
2024-04-20,18:30,Série A,Matchweek 3,Sat,Home,W,1,0,Corinthians,0.5,1.2,35,"9,466",Cleiton Schwengber,4-3-3,4-2-3-1,Rafael Rodrigo Klein,Match Report,
2024-04-24,21:00,Sudamericana,Group stage,Wed,Home,W,2,1,pySport Luqueño,,,57,"3,654",Cleiton Schwengber,4-3-3,4-3-3,Byran Loayza,Match Report,
2024-04-28,18:30,Série A,Matchweek 4,Sun,Away,D,1,1,Fortaleza,0.5,1.7,57,"18,113",Cleiton Schwengber,4-3-3,4-2-3-1,Davi de Oliveira Lacerda,Match Report,
2024-05-04,18:30,Série A,Matchweek 5,Sat,Home,D,1,1,Flamengo,0.6,1.8,44,"9,917",Cleiton Schwengber,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
2024-05-09,21:00,Sudamericana,Group stage,Thu,Home,W,2,1,arRacing Club,,,53,"4,850",Cleiton Schwengber,4-2-3-1,3-4-3,Kevin Ortega,Match Report,
