Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-04,21:00,Libertadores,Group stage,Thu,Away,L,1,2,arTalleres,1.0,1.1,63,"35,568",Rafinha,4-4-1-1,4-3-3,Alexis Herrera,Match Report,
2024-04-10,21:30,Libertadores,Group stage,Wed,Home,W,2,0,clCobresal,2.6,0.2,70,,Jonathan Calleri,3-4-3,4-3-3,Carlos Ortega,Match Report,
2024-04-13,21:00,Série A,Matchweek 1,Sat,Home,L,1,2,Fortaleza,0.5,0.4,72,"35,055",Jonathan Calleri,3-4-1-2,3-5-2,Alex Gomes Stefano,Match Report,
2024-04-17,21:30,Série A,Matchweek 2,Wed,Away,L,1,2,Flamengo,0.7,1.3,53,"45,166",Jonathan Calleri,3-4-3,4-2-3-1,Anderson Daronco,Match Report,
2024-04-21,18:30,Série A,Matchweek 3,Sun,Away,W,3,0,Atl Goianiense,1.7,0.2,65,"8,024",Jonathan Calleri,3-4-3,4-4-2,Braulio Machado,Match Report,
2024-04-25,19:00,Libertadores,Group stage,Thu,Away,W,2,0,ecBarcelona,1.3,0.7,61,"20,581",Jonathan Calleri,4-2-3-1,4-4-2,Juan Gabriel Benítez,Match Report,
2024-04-29,20:00,Série A,Matchweek 4,Mon,Home,D,0,0,Palmeiras,0.9,0.8,57,"55,694",Jonathan Calleri,3-4-3,4-2-3-1,Wilton Pereira Sampaio,Match Report,
2024-05-05,16:00,Série A,Matchweek 5,Sun,Away,W,3,1,Vitória,2.9,0.2,66,"25,739",Jonathan Calleri,3-4-1-2,3-4-1-2,Ramon Abatti,Match Report,
2024-05-08,20:30,Libertadores,Group stage,Wed,Away,W,3,1,clCobresal,1.9,0.8,67,"3,029",Jonathan Calleri,4-2-3-1,5-3-2,Juan Eduardo López,Match Report,
2024-05-13,20:00,Série A,Matchweek 6,Mon,Home,W,2,1,Fluminense,1.8,0.6,50,"39,515",Luciano,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2024-05-16,21:00,Libertadores,Group stage,Thu,Home,D,0,0,ecBarcelona,1.2,0.5,62,"50,516",Luciano,4-2-3-1,4-1-4-1,Kevin Ortega,Match Report,
2024-05-29,21:30,Libertadores,Group stage,Wed,Home,W,2,0,arTalleres,1.8,0.4,55,"56,162",Lucas Moura,4-2-3-1,4-2-3-1,Jhon Ospina,Match Report,
2024-06-02,18:30,Série A,Matchweek 7,Sun,Home,W,2,0,Cruzeiro,0.6,0.6,55,"44,928",Jonathan Calleri,4-4-2,4-3-2-1,Lucas Paulo Torezin,Match Report,
2024-06-13,20:00,Série A,Matchweek 8,Thu,Away,D,0,0,Internacional,0.7,0.2,47,"17,987",Jonathan Calleri,4-2-3-1,4-1-3-2,Braulio Machado,Match Report,
2024-06-16,16:00,Série A,Matchweek 9,Sun,Away,D,2,2,Corinthians,0.9,0.9,60,"46,129",Jonathan Calleri,4-2-3-1,4-2-3-1,Ramon Abatti,Match Report,
2024-06-19,20:00,Série A,Matchweek 10,Wed,Home,L,0,1,Cuiabá,0.9,0.5,66,"33,586",Jonathan Calleri,4-2-3-1,4-2-3-1,Gustavo Ervino Bauermann,Match Report,
2024-06-22,21:30,Série A,Matchweek 11,Sat,Away,L,1,4,Vasco da Gama,0.4,1.3,59,"4,897",Jonathan Calleri,4-1-3-2,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2024-06-27,20:00,Série A,Matchweek 12,Thu,Home,W,2,1,Criciúma,0.5,1.5,62,"28,008",Jonathan Calleri,4-2-3-1,4-4-2,Bruno Pereira Vasconcelos,Match Report,
2024-06-30,16:00,Série A,Matchweek 13,Sun,Home,W,3,1,Bahia,1.2,1.0,41,"28,008",Jonathan Calleri,4-2-3-1,4-1-3-2,Marcelo de Lima Henrique,Match Report,
2024-07-03,21:30,Série A,Matchweek 14,Wed,Away,W,2,1,Ath Paranaense,1.6,0.4,55,,Jonathan Calleri,4-2-3-1,4-2-3-1,Alex Gomes Stefano,Match Report,
2024-07-06,20:00,Série A,Matchweek 15,Sat,Home,W,2,0,Red Bull Bragantino,1.9,0.9,59,,Lucas Moura,4-2-3-1,4-2-3-1,Bruno Pereira Vasconcelos,Match Report,
2024-07-11,21:30,Série A,Matchweek 16,Thu,Away,L,1,2,Atlético Mineiro,1.4,0.6,38,,Jonathan Calleri,4-2-3-1,3-4-3,Marcelo de Lima Henrique,Match Report,
2024-07-17,20:00,Série A,Matchweek 17,Wed,Home,W,1,0,Grêmio,0.9,1.4,54,,Jonathan Calleri,4-2-3-1,4-3-3,Gustavo Ervino Bauermann,Match Report,
