Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Botafogo (RJ),23,14,4,5,41,24,+17,46,2.00,32.3,24.6,+7.6,+0.33,DLWLW,"17,320","Cuiabano,Luiz Henrique... -4",John,
2,Fortaleza,22,13,6,3,29,20,+9,45,2.05,27.8,25.2,+2.7,+0.12,DWWWW,"23,566",Juan Martín Lucero-8,João Ricardo Riedi,
3,Palmeiras,23,12,5,6,31,19,+12,41,1.78,37.7,23.0,+14.7,+0.64,LLDDW,"28,817",José López-7,Wéverton,
4,Flamengo,22,12,5,5,36,25,+11,41,1.86,30.0,25.1,+4.9,+0.22,WWLDL,"53,146",Pedro-10,Agustín Rossi,
5,Bahia,23,11,5,7,33,25,+8,38,1.65,31.4,24.6,+6.7,+0.29,DDLWW,"36,034","Everaldo Stum,Thaciano-6",Marcos Felipe,
6,São Paulo,23,11,5,7,31,23,+8,38,1.65,26.5,19.6,+6.9,+0.30,DLWWL,"38,924",Luciano-7,Rafael Pires,
7,Cruzeiro,22,11,4,7,31,24,+7,37,1.68,22.8,24.6,-1.8,-0.08,WWLDD,"24,531",Matheus Pereira-6,Anderson,
8,Atlético Mineiro,21,7,9,5,29,29,0,30,1.43,26.1,23.6,+2.4,+0.12,WWLDD,"32,293",Hulk-7,Éverson,
9,Ath Paranaense,21,8,5,8,25,24,+1,29,1.38,27.5,26.0,+1.5,+0.07,LWLDL,"29,852",Gonzalo Mastriani-4,Leonardo Linck,
10,Vasco da Gama,22,8,4,10,26,33,-7,28,1.27,22.3,30.2,-7.8,-0.36,LLDWD,"19,989",Pablo Vegetti-7,Léo Jardim,
11,Juventude,22,7,7,8,27,30,-3,28,1.27,24.5,36.4,-11.8,-0.54,LDWLW,"6,889","Jean Carlos Vicente,Lucas Barbosa-4",Gabriel,
12,Red Bull Bragantino,21,7,6,8,26,26,0,27,1.29,21.1,27.2,-6.1,-0.29,WLDDL,"6,117",Helinho-7,Cleiton Schwengber,
13,Internacional,19,6,7,6,18,18,0,25,1.32,27.0,16.2,+10.8,+0.57,DDDWL,"17,997",Wesley-5,Sergio Rochet,
14,Criciúma,21,6,7,8,30,32,-2,25,1.19,25.0,28.7,-3.7,-0.17,DWWLD,"14,455",Yannick Bolasie-6,Gustavo,
15,Grêmio,21,7,3,11,20,25,-5,24,1.14,23.1,23.1,-0.1,0.00,DWWWL,"15,968","Franco Cristaldo,Yeferson Soteldo... -3",Agustín Marchesín,
16,Vitória,23,6,4,13,25,36,-11,22,0.96,24.2,28.9,-4.7,-0.21,LWWLD,"21,382",Willian-5,Lucas Arcanjo,
17,Corinthians,23,4,10,9,20,29,-9,22,0.96,24.2,27.3,-3.2,-0.14,DLDDD,"42,896",Yuri Alberto-4,"Hugo Souza,Matheus Donelli",
18,Fluminense,22,5,6,11,16,26,-10,21,0.95,19.1,27.6,-8.5,-0.39,WWWLD,"23,649",Kauã Elias-4,Fábio,
19,Cuiabá,21,4,6,11,21,29,-8,18,0.86,21.3,25.7,-4.4,-0.21,LLLLD,"5,680",Isidro Pitta-7,Walter,
20,Atl Goianiense,23,3,6,14,18,36,-18,15,0.65,24.1,30.2,-6.1,-0.27,DLLLW,"10,370",Luiz Fernando-6,Ronaldo,
