Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-04,18:00,Libertadores,Group stage,Thu,Away,W,4,1,veCaracas,2.2,1.0,72,"7,344",Hulk,3-4-3,4-5-1,,Match Report,
2024-04-10,19:00,Libertadores,Group stage,Wed,Home,W,2,1,arRosario Central,1.4,1.4,65,"34,917",Hulk,4-2-3-1,4-2-3-1,,Match Report,
2024-04-14,16:00,Série A,Matchweek 1,Sun,Away,D,0,0,Corinthians,0.3,0.5,53,"44,285",Hulk,3-4-1-2,4-2-3-1,,Match Report,
2024-04-17,20:00,Série A,Matchweek 2,Wed,Home,D,1,1,Criciúma,1.0,0.3,68,"21,726",Hulk,4-2-3-1,4-3-2-1,,Match Report,
2024-04-20,21:00,Série A,Matchweek 3,Sat,Home,W,3,0,Cruzeiro,1.1,0.8,56,"39,541",Hulk,4-4-2,4-3-3,,Match Report,
2024-04-23,21:00,Libertadores,Group stage,Tue,Home,W,3,2,uyPeñarol,1.5,0.6,64,"34,279",Hulk,4-4-2,4-2-3-1,,Match Report,
2024-04-27,17:30,Série A,Matchweek 4,Sat,Away,W,3,0,Cuiabá,2.1,0.2,66,"6,711",Otávio,3-5-2,5-4-1,,Match Report,
2024-05-04,16:00,Série A,Matchweek 5,Sat,Away,D,2,2,Fluminense,1.3,1.8,57,"5,168",Hulk,4-4-2,4-2-3-1,,Match Report,
2024-05-07,19:00,Libertadores,Group stage,Tue,Away,W,1,0,arRosario Central,0.7,0.2,75,,Hulk,3-4-3,4-3-3,,Match Report,
2024-05-11,21:00,Série A,Matchweek 6,Sat,Home,,,,Grêmio,,,,,,,,,,Match Postponed
2024-05-14,19:00,Libertadores,Group stage,Tue,Away,L,0,2,uyPeñarol,0.3,1.4,77,"29,086",Hulk,3-4-3,4-2-3-1,,Match Report,
2024-05-28,19:00,Libertadores,Group stage,Tue,Home,W,4,0,veCaracas,2.7,0.1,79,"28,455",Hulk,3-5-2,3-4-1-2,,Match Report,
2024-06-02,16:00,Série A,Matchweek 7,Sun,Home,D,1,1,Bahia,1.0,0.4,64,"37,994",Hulk,3-5-2,4-1-2-1-2,,Match Report,
2024-06-11,21:30,Série A,Matchweek 8,Tue,Away,W,2,1,Red Bull Bragantino,1.0,1.2,45,"4,617",Rodrigo Battaglia,3-5-2,4-3-3,,Match Report,
2024-06-17,20:30,Série A,Matchweek 9,Mon,Home,L,0,4,Palmeiras,0.4,2.8,52,"28,251",Hulk,3-4-3,4-2-3-1,,Match Report,
2024-06-20,18:30,Série A,Matchweek 10,Thu,Away,L,2,4,Vitória,1.9,1.5,61,"15,044",Rodrigo Battaglia,3-4-3,4-1-4-1,,Match Report,
2024-06-23,18:30,Série A,Matchweek 11,Sun,Home,D,1,1,Fortaleza,0.9,1.3,66,"20,089",Rodrigo Battaglia,3-4-1-2,4-2-3-1,,Match Report,
2024-06-26,21:30,Série A,Matchweek 12,Wed,Away,W,2,1,Internacional,1.4,1.7,54,"9,978",Hulk,4-1-4-1,4-3-3,,Match Report,
2024-06-30,11:00,Série A,Matchweek 13,Sun,Home,D,1,1,Atl Goianiense,0.7,1.2,67,"36,099",Hulk,3-4-3,4-3-3,,Match Report,
2024-07-03,21:30,Série A,Matchweek 14,Wed,Home,L,2,4,Flamengo,2.4,2.1,52,,Hulk,4-1-4-1,4-2-3-1,,Match Report,
2024-07-07,20:30,Série A,Matchweek 15,Sun,Away,L,0,3,Botafogo (RJ),0.2,1.1,42,,Hulk,3-4-3,4-2-3-1,,Match Report,
2024-07-11,21:30,Série A,Matchweek 16,Thu,Home,W,2,1,São Paulo,0.6,1.4,62,,Hulk,3-4-3,4-2-3-1,,Match Report,
2024-07-16,19:00,Série A,Matchweek 17,Tue,Away,D,1,1,Juventude,1.8,0.9,74,,Hulk,4-2-3-1,4-2-3-1,,Match Report,
2024-07-21,16:00,Série A,Matchweek 18,Sun,Home,W,2,0,Vasco da Gama,2.2,0.6,53,"42,353",Hulk,3-4-3,4-2-3-1,,Match Report,
2024-07-24,,Série A,Matchweek 19,Wed,Away,,,,Ath Paranaense,,,,,,,,,,Match Postponed
2024-07-28,19:00,Série A,Matchweek 20,Sun,Home,W,2,1,Corinthians,1.9,1.1,66,,Hulk,3-4-1-2,3-4-1-2,,Match Report,
2024-08-03,20:00,Série A,Matchweek 21,Sat,Away,L,1,2,Criciúma,1.4,1.2,72,"15,642",Guilherme Arana,3-4-1-2,4-2-3-1,,Match Report,
2024-08-10,21:30,Série A,Matchweek 22,Sat,Away,D,0,0,Cruzeiro,0.6,0.3,64,,Guilherme Arana,3-4-1-2,4-2-3-1,,Match Report,
2024-08-13,21:30,Libertadores,Round of 16,Tue,Away,D,1,1,arSan Lorenzo,0.3,0.3,69,"18,108",Guilherme Arana,3-4-3,4-3-3,,Match Report,Leg 1 of 2
2024-08-17,16:00,Série A,Matchweek 23,Sat,Home,D,1,1,Cuiabá,1.8,1.3,60,,Bernard,3-4-3,3-5-1-1,,Match Report,
2024-08-20,21:30,Libertadores,Round of 16,Tue,Home,W,1,0,arSan Lorenzo,1.0,0.9,63,,Guilherme Arana,3-5-2,4-3-3,,Match Report,Leg 2 of 2; Atlético Mineiro won
2024-08-24,21:00,Série A,Matchweek 24,Sat,Home,L,0,2,Fluminense,0.5,0.7,60,,Guilherme Arana,3-4-1-2,4-2-3-1,,Match Report,
2024-09-01,11:00,Série A,Matchweek 25,Sun,Away,W,3,2,Grêmio,2.8,2.0,72,,Guilherme Arana,4-3-3,4-2-3-1,Raphael Claus,Match Report,
2024-09-15,18:30,Série A,Matchweek 26,Sun,Away,,,,Bahia,,,,,,,,,Head-to-Head,
2024-09-18,19:00,Libertadores,Quarter-finals,Wed,Away,,,,brFluminense,,,,,,,,,Head-to-Head,Leg 1 of 2
2024-09-22,16:00,Série A,Matchweek 27,Sun,Home,,,,Red Bull Bragantino,,,,,,,,,Head-to-Head,
2024-09-25,19:00,Libertadores,Quarter-finals,Wed,Home,,,,brFluminense,,,,,,,,,Head-to-Head,Leg 2 of 2
2024-09-28,18:30,Série A,Matchweek 28,Sat,Away,,,,Palmeiras,,,,,,,,,Head-to-Head,
2024-10-05,16:30,Série A,Matchweek 29,Sat,Home,,,,Vitória,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Away,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Home,,,,Internacional,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Away,,,,Atl Goianiense,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Away,,,,Flamengo,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Home,,,,Botafogo (RJ),,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Away,,,,São Paulo,,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Home,,,,Juventude,,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Away,,,,Vasco da Gama,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Home,,,,Ath Paranaense,,,,,,,,,Head-to-Head,
