Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-13,18:30,Série A,Matchweek 1,Sat,Away,L,1,2,Internacional,0.7,1.9,48,"19,103",Everton Ribeiro,4-4-2,4-4-2,Rodrigo José Pereira de Lima,Match Report,
2024-04-16,21:30,Série A,Matchweek 2,Tue,Home,W,2,1,Fluminense,1.1,0.4,40,"23,080",Everton Ribeiro,4-2-3-1,4-2-3-1,João Vitor Gobi,Match Report,
2024-04-21,16:00,Série A,Matchweek 3,Sun,Away,D,2,2,Vitória,2.5,1.6,58,"27,609",Everton Ribeiro,4-3-3,4-4-1-1,Raphael Claus,Match Report,
2024-04-27,21:00,Série A,Matchweek 4,Sat,Home,W,1,0,Grêmio,1.1,0.1,60,"35,836",Everton Ribeiro,4-2-3-1,4-3-3,Braulio Machado,Match Report,
2024-05-05,18:30,Série A,Matchweek 5,Sun,Away,W,2,1,Botafogo (RJ),2.8,0.8,44,"22,685",Everton Ribeiro,4-1-2-1-2◆,4-2-3-1,Rafael Rodrigo Klein,Match Report,
2024-05-12,18:30,Série A,Matchweek 6,Sun,Home,W,1,0,Red Bull Bragantino,0.8,0.5,49,"36,820",Everton Ribeiro,4-1-2-1-2◆,4-3-3,Gustavo Ervino Bauermann,Match Report,
2024-06-02,16:00,Série A,Matchweek 7,Sun,Away,D,1,1,Atlético Mineiro,0.4,1.0,36,"37,994",Everton Ribeiro,4-1-2-1-2◆,3-5-2,Bruno Arleu,Match Report,
2024-06-13,21:30,Série A,Matchweek 8,Thu,Home,W,1,0,Fortaleza,1.4,1.2,53,"29,889",Everton Ribeiro,4-1-2-1-2◆,4-3-3,Felipe Fernandes de Lima,Match Report,
2024-06-16,18:30,Série A,Matchweek 9,Sun,Away,D,2,2,Criciúma,0.8,1.9,67,"8,661",Everton Ribeiro,4-1-3-2,4-3-1-2,Flavio Rodrigues de Souza,Match Report,
2024-06-20,20:00,Série A,Matchweek 10,Thu,Away,L,1,2,Flamengo,0.8,1.1,65,"49,909",Everton Ribeiro,4-1-3-2,4-2-3-1,Braulio Machado,Match Report,
2024-06-23,16:00,Série A,Matchweek 11,Sun,Home,W,4,1,Cruzeiro,2.5,0.7,64,"35,541",Kanu,4-1-3-2,4-3-2-1,Paulo Belence Alves dos Prazeres Filho,Match Report,
2024-06-26,21:30,Série A,Matchweek 12,Wed,Home,W,2,1,Vasco da Gama,2.5,1.5,63,"38,318",Everton Ribeiro,4-1-3-2,4-2-3-1,João Vitor Gobi,Match Report,
2024-06-30,16:00,Série A,Matchweek 13,Sun,Away,L,1,3,São Paulo,1.0,1.2,59,"28,008",Everton Ribeiro,4-1-3-2,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2024-07-04,19:00,Série A,Matchweek 14,Thu,Home,W,2,0,Juventude,1.8,0.7,56,"40,442",Everton Ribeiro,4-1-3-2,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
2024-07-07,18:30,Série A,Matchweek 15,Sun,Away,L,0,2,Palmeiras,1.9,0.9,55,,Everton Ribeiro,4-1-3-2,4-2-3-1,Jonathan Benkenstein Pinheiro,Match Report,
2024-07-10,19:00,Série A,Matchweek 16,Wed,Away,W,3,1,Ath Paranaense,1.3,1.9,48,,Kanu,4-1-2-1-2◆,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2024-07-13,16:00,Série A,Matchweek 17,Sat,Home,L,1,2,Cuiabá,0.9,1.2,64,,Everton Ribeiro,4-4-1-1,4-5-1,Davi de Oliveira Lacerda,Match Report,
2024-07-21,16:00,Série A,Matchweek 18,Sun,Home,L,0,1,Corinthians,1.3,0.3,65,"48,346",Everton Ribeiro,4-1-2-1-2◆,3-4-1-2,Felipe Fernandes de Lima,Match Report,
2024-07-24,21:30,Série A,Matchweek 19,Wed,Away,D,1,1,Atl Goianiense,0.8,1.1,70,,Everton Ribeiro,4-1-3-2,4-1-4-1,Luciano da Silva Miranda,Match Report,
2024-07-27,20:00,Série A,Matchweek 20,Sat,Home,D,1,1,Internacional,0.9,1.5,52,,Cauly Oliveira Souza,4-1-2-1-2◆,4-4-1-1,Matheus Delgado Candançan,Match Report,
2024-08-04,16:00,Série A,Matchweek 21,Sun,Away,L,0,1,Fluminense,1.7,1.1,51,,Everton Ribeiro,4-3-3,4-2-3-1,Davi de Oliveira Lacerda,Match Report,
2024-08-11,16:00,Série A,Matchweek 22,Sun,Home,W,2,0,Vitória,0.6,1.0,56,,Everton Ribeiro,4-1-3-2,4-3-3,Braulio Machado,Match Report,
2024-08-17,16:00,Série A,Matchweek 23,Sat,Away,W,2,0,Grêmio,1.7,1.2,60,,Everton Ribeiro,4-1-4-1,4-2-3-1,Matheus Delgado Candançan,Match Report,
2024-08-25,16:00,Série A,Matchweek 24,Sun,Home,,,,Botafogo (RJ),,,,,,,,,Head-to-Head,
2024-09-01,18:30,Série A,Matchweek 25,Sun,Away,,,,Red Bull Bragantino,,,,,,,,,Head-to-Head,
2024-09-15,,Série A,Matchweek 26,Sun,Home,,,,Atlético Mineiro,,,,,,,,,Head-to-Head,
2024-09-22,,Série A,Matchweek 27,Sun,Away,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-09-29,,Série A,Matchweek 28,Sun,Home,,,,Criciúma,,,,,,,,,Head-to-Head,
2024-10-05,,Série A,Matchweek 29,Sat,Home,,,,Flamengo,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Away,,,,Cruzeiro,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Away,,,,Vasco da Gama,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Home,,,,São Paulo,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Away,,,,Juventude,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Home,,,,Palmeiras,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Home,,,,Ath Paranaense,,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Away,,,,Cuiabá,,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Away,,,,Corinthians,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Home,,,,Atl Goianiense,,,,,,,,,Head-to-Head,
