Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-02-21,20:30,Libertadores,Second qualifying stage,Wed,Away,D,1,1,boAurora,2.1,0.8,36,,Alexander Barboza,4-3-3,3-4-3,,Match Report,Leg 1 of 2
2024-02-28,21:30,Libertadores,Second qualifying stage,Wed,Home,W,6,0,boAurora,4.3,0.3,51,"21,917",Gatito Fernández,4-3-3,3-4-1-2,,Match Report,Leg 2 of 2; Botafogo (RJ) won
2024-03-06,21:30,Libertadores,Third qualifying stage,Wed,Home,W,2,1,brRed Bull Bragantino,0.7,0.2,46,"33,433",Gatito Fernández,4-3-3,4-2-3-1,,Match Report,Leg 1 of 2
2024-03-13,21:30,Libertadores,Third qualifying stage,Wed,Away,D,1,1,brRed Bull Bragantino,0.8,1.5,38,,Gatito Fernández,4-2-3-1,4-2-3-1,,Match Report,Leg 2 of 2; Botafogo (RJ) won
2024-04-03,19:00,Libertadores,Group stage,Wed,Home,L,1,3,coJunior,0.7,2.5,58,"39,039",Gatito Fernández,4-3-3,4-2-3-1,,Match Report,
2024-04-11,17:00,Libertadores,Group stage,Thu,Away,L,0,1,ecLDU de Quito,0.7,0.8,57,"16,008",Gatito Fernández,4-4-2,4-4-2,,Match Report,
2024-04-14,17:00,Série A,Matchweek 1,Sun,Away,L,2,3,Cruzeiro,2.0,1.6,45,"20,701",Gatito Fernández,4-4-2,4-3-3,,Match Report,
2024-04-18,21:30,Série A,Matchweek 2,Thu,Home,W,1,0,Atl Goianiense,0.6,0.9,52,"7,801",Gatito Fernández,4-4-2,4-4-2,,Match Report,
2024-04-21,18:30,Série A,Matchweek 3,Sun,Home,W,5,1,Juventude,2.9,0.3,55,"13,273",Gatito Fernández,4-4-2,4-2-3-1,,Match Report,
2024-04-24,19:00,Libertadores,Group stage,Wed,Home,W,3,1,peUniversitario,2.8,0.2,70,"23,800",Marlon Freitas,4-4-2,3-5-2,,Match Report,
2024-04-28,11:00,Série A,Matchweek 4,Sun,Away,W,2,0,Flamengo,1.0,0.8,40,"53,683",Marlon Freitas,4-4-2,4-2-3-1,,Match Report,
2024-05-05,18:30,Série A,Matchweek 5,Sun,Home,L,1,2,Bahia,0.8,2.8,56,"22,685",Marlon Freitas,4-2-3-1,4-1-2-1-2,,Match Report,
2024-05-08,21:30,Libertadores,Group stage,Wed,Home,W,2,1,ecLDU de Quito,2.1,0.9,60,"26,464",Marlon Freitas,4-2-3-1,5-3-2,,Match Report,
2024-05-12,16:00,Série A,Matchweek 6,Sun,Away,D,1,1,Fortaleza,0.6,0.6,57,"15,914",Tchê Tchê,4-2-3-1,4-2-3-1,,Match Report,
2024-05-16,17:00,Libertadores,Group stage,Thu,Away,W,1,0,peUniversitario,0.5,0.6,44,"53,242",Tchê Tchê,4-2-3-1,3-1-4-2,,Match Report,
2024-05-28,17:00,Libertadores,Group stage,Tue,Away,D,0,0,coJunior,0.5,0.5,42,"16,189",Gatito Fernández,4-2-3-1,4-3-3,,Match Report,
2024-06-01,21:00,Série A,Matchweek 7,Sat,Away,W,1,0,Corinthians,1.1,0.7,47,"41,281",Tchê Tchê,4-2-3-1,4-3-3,,Match Report,
2024-06-11,20:00,Série A,Matchweek 8,Tue,Home,W,1,0,Fluminense,1.7,0.2,44,"27,239",Tchê Tchê,4-4-1-1,4-2-3-1,,Match Report,
2024-06-16,18:30,Série A,Matchweek 9,Sun,Away,W,2,1,Grêmio,0.7,1.0,55,"15,595",Tchê Tchê,4-2-3-1,4-4-1-1,,Match Report,
2024-06-19,19:00,Série A,Matchweek 10,Wed,Home,D,1,1,Ath Paranaense,0.6,1.5,62,"19,589",Tchê Tchê,4-2-3-1,4-2-3-1,,Match Report,
2024-06-22,16:00,Série A,Matchweek 11,Sat,Away,L,1,2,Criciúma,0.7,1.3,61,"16,256",Tchê Tchê,4-4-2,5-3-2,,Match Report,
2024-06-26,19:00,Série A,Matchweek 12,Wed,Home,W,2,1,Red Bull Bragantino,0.6,1.5,49,"13,333",Tchê Tchê,4-2-3-1,3-4-3,,Match Report,
2024-06-29,18:30,Série A,Matchweek 13,Sat,Away,D,1,1,Vasco da Gama,0.5,0.5,47,"15,593",Tchê Tchê,4-4-2,4-2-3-1,,Match Report,
2024-07-03,18:00,Série A,Matchweek 14,Wed,Away,W,2,1,Cuiabá,0.8,1.6,49,,Marlon Freitas,4-4-2,5-4-1,,Match Report,
2024-07-07,20:30,Série A,Matchweek 15,Sun,Home,W,3,0,Atlético Mineiro,1.1,0.2,58,,Marlon Freitas,4-2-3-1,3-4-3,,Match Report,
2024-07-11,21:30,Série A,Matchweek 16,Thu,Away,W,1,0,Vitória,2.1,1.0,54,,Marlon Freitas,4-4-2,4-1-4-1,,Match Report,
