Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-02,21:30,Sudamericana,Group stage,Tue,Away,D,1,1,uyRacing,,,62,"1,685",Cássio,4-2-3-1,5-3-2,Jhon Hinestroza,Match Report,
2024-04-09,19:00,Sudamericana,Group stage,Tue,Home,W,4,0,pyNacional,,,77,"32,351",Cássio,4-2-3-1,4-5-1,Jhon Ospina,Match Report,
2024-04-14,16:00,Série A,Matchweek 1,Sun,Home,D,0,0,Atlético Mineiro,0.5,0.3,47,"44,285",Cássio,4-2-3-1,3-4-1-2,Yuri Elino Ferreira da Cruz,Match Report,
2024-04-17,20:00,Série A,Matchweek 2,Wed,Away,L,0,2,Juventude,1.1,1.6,56,"7,478",Cássio,4-3-3,4-2-3-1,Bruno Arleu,Match Report,
2024-04-20,18:30,Série A,Matchweek 3,Sat,Away,L,0,1,Red Bull Bragantino,1.2,0.5,65,"9,466",Cássio,4-2-3-1,4-3-3,Rafael Rodrigo Klein,Match Report,
2024-04-23,21:30,Sudamericana,Group stage,Tue,Away,L,0,1,arArg Juniors,,,57,,Cássio,4-2-3-1,3-4-3,Piero Maza,Match Report,
2024-04-28,16:00,Série A,Matchweek 4,Sun,Home,W,3,0,Fluminense,1.2,0.4,31,"42,119",Fagner,4-3-3,4-2-3-1,Ramon Abatti,Match Report,
2024-05-04,21:00,Série A,Matchweek 5,Sat,Home,D,0,0,Fortaleza,1.9,1.1,64,"42,456",Fagner,4-2-3-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2024-05-07,18:00,Sudamericana,Group stage,Tue,Away,W,2,0,pyNacional,,,55,"2,058",Paulinho,4-3-3,4-3-3,Ángel Arteaga,Match Report,
2024-05-11,16:00,Série A,Matchweek 6,Sat,Away,L,0,2,Flamengo,1.6,1.7,42,"56,829",Paulinho,3-4-3,4-2-3-1,Ramon Abatti,Match Report,
2024-05-14,21:30,Sudamericana,Group stage,Tue,Home,W,4,0,arArg Juniors,,,41,"40,049",Fagner,4-3-3,3-4-3,Felipe González,Match Report,
2024-05-28,19:00,Sudamericana,Group stage,Tue,Home,W,3,0,uyRacing,,,65,"40,353",Fagner,4-3-3,3-4-1-2,Roberto Pérez,Match Report,
2024-06-01,21:00,Série A,Matchweek 7,Sat,Home,L,0,1,Botafogo (RJ),0.7,1.1,53,"41,281",Carlos Miguel,4-3-3,4-2-3-1,Anderson Daronco,Match Report,
2024-06-11,19:00,Série A,Matchweek 8,Tue,Away,D,2,2,Atl Goianiense,0.4,3.1,27,"1,208",Raniele,4-3-3,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,
2024-06-16,16:00,Série A,Matchweek 9,Sun,Home,D,2,2,São Paulo,0.9,0.9,40,"46,129",Raniele,4-2-3-1,4-2-3-1,Ramon Abatti,Match Report,
2024-06-19,21:30,Série A,Matchweek 10,Wed,Away,L,0,1,Internacional,0.8,0.5,53,"14,447",Raniele,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
2024-06-23,16:00,Série A,Matchweek 11,Sun,Away,D,1,1,Ath Paranaense,1.2,1.4,46,"34,682",Raniele,4-2-3-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2024-06-26,20:00,Série A,Matchweek 12,Wed,Home,D,1,1,Cuiabá,1.1,1.7,65,"38,475",Raniele,4-2-3-1,4-3-3,Fabio Augusto de Sá Junior,Match Report,
2024-07-01,20:00,Série A,Matchweek 13,Mon,Away,L,0,2,Palmeiras,0.9,1.0,51,"41,175",Gustavo Henrique,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2024-07-04,20:00,Série A,Matchweek 14,Thu,Home,W,3,2,Vitória,0.6,1.9,44,,Gustavo Henrique,4-1-4-1,4-1-4-1,Gustavo Ervino Bauermann,Match Report,
2024-07-07,16:00,Série A,Matchweek 15,Sun,Away,L,0,3,Cruzeiro,1.1,1.5,53,,Ángel Romero,4-2-3-1,4-3-3,Alex Gomes Stefano,Match Report,
2024-07-10,19:00,Série A,Matchweek 16,Wed,Away,L,0,2,Vasco da Gama,0.4,0.9,49,,Ángel Romero,4-2-3-1,4-2-3-1,Rafael Rodrigo Klein,Match Report,
2024-07-16,21:00,Série A,Matchweek 17,Tue,Home,W,2,1,Criciúma,0.7,1.2,53,"43,241",Ángel Romero,4-2-3-1,4-4-2,Jonathan Benkenstein Pinheiro,Match Report,
2024-07-21,16:00,Série A,Matchweek 18,Sun,Away,W,1,0,Bahia,0.3,1.3,35,"48,346",Ángel Romero,3-4-1-2,4-1-2-1-2,Felipe Fernandes de Lima,Match Report,
2024-07-25,20:00,Série A,Matchweek 19,Thu,Home,D,2,2,Grêmio,1.6,0.9,63,"45,183",Ángel Romero,3-4-1-2,3-4-3,Alex Gomes Stefano,Match Report,
2024-07-28,19:00,Série A,Matchweek 20,Sun,Away,L,1,2,Atlético Mineiro,1.1,1.9,34,,Ángel Romero,3-4-1-2,3-4-1-2,Bruno Arleu,Match Report,
