Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-04,19:00,Sudamericana,Group stage,Thu,Away,D,0,0,ecUniv Católica,,,41,"3,092",Neris,4-3-3,4-2-3-1,,Match Report,
2024-04-11,21:00,Sudamericana,Group stage,Thu,Home,D,3,3,coAlianza,,,65,"18,818",Lucas Silva,4-3-3,4-3-3,,Match Report,
2024-04-14,17:00,Série A,Matchweek 1,Sun,Home,W,3,2,Botafogo (RJ),1.6,2.0,55,"20,701",Lucas Silva,4-3-3,4-4-2,,Match Report,
2024-04-17,20:00,Série A,Matchweek 2,Wed,Away,D,1,1,Fortaleza,0.8,0.6,61,"21,726",Lucas Silva,4-3-3,3-5-2,,Match Report,
2024-04-20,21:00,Série A,Matchweek 3,Sat,Away,L,0,3,Atlético Mineiro,0.8,1.1,44,"39,541",Lucas Silva,4-3-3,4-4-2,,Match Report,
2024-04-23,18:00,Sudamericana,Group stage,Tue,Away,D,0,0,clLa Calera,,,62,"1,182",Lucas Romero,4-3-3,4-4-2,,Match Report,
2024-04-28,16:00,Série A,Matchweek 4,Sun,Home,W,3,1,Vitória,1.2,0.3,53,"20,083",Lucas Silva,4-3-3,4-4-2,,Match Report,
2024-05-07,19:30,Sudamericana,Group stage,Tue,Away,W,3,0,coAlianza,,,56,"3,068",Lucas Silva,4-3-3,4-3-3,,Match Report,
2024-05-12,16:00,Série A,Matchweek 6,Sun,Away,W,1,0,Atl Goianiense,0.5,1.5,54,"7,576",Lucas Silva,4-3-3,4-2-3-1,,Match Report,
2024-05-16,21:00,Sudamericana,Group stage,Thu,Home,W,1,0,clLa Calera,,,54,"17,712",Lucas Silva,4-3-3,5-4-1,,Match Report,
2024-05-30,21:00,Sudamericana,Group stage,Thu,Home,W,1,0,ecUniv Católica,,,62,"55,254",Lucas Silva,4-2-3-1,4-2-3-1,,Match Report,
2024-06-02,18:30,Série A,Matchweek 7,Sun,Away,L,0,2,São Paulo,0.6,0.6,45,"44,928",Lucas Silva,4-3-2-1,4-4-2,,Match Report,
2024-06-13,19:00,Série A,Matchweek 8,Thu,Home,W,2,1,Cuiabá,1.0,1.6,51,"26,595",Lucas Silva,4-3-2-1,4-2-3-1,,Match Report,
2024-06-16,18:30,Série A,Matchweek 9,Sun,Away,D,0,0,Vasco da Gama,0.2,1.0,50,"11,275",Lucas Silva,4-3-2-1,4-2-3-1,,Match Report,
2024-06-19,21:30,Série A,Matchweek 10,Wed,Home,W,2,0,Fluminense,1.8,0.3,35,"28,812",Lucas Silva,4-3-2-1,4-2-3-1,,Match Report,
2024-06-23,16:00,Série A,Matchweek 11,Sun,Away,L,1,4,Bahia,0.7,2.5,36,"35,541",Lucas Silva,4-3-2-1,4-1-3-2,,Match Report,
2024-06-26,19:00,Série A,Matchweek 12,Wed,Home,W,2,0,Ath Paranaense,1.9,0.7,50,"26,465",Lucas Silva,4-3-3,4-2-3-1,,Match Report,
2024-06-30,18:30,Série A,Matchweek 13,Sun,Away,L,1,2,Flamengo,0.6,0.6,54,"52,768",Lucas Silva,4-3-3,4-2-3-1,,Match Report,
2024-07-03,20:00,Série A,Matchweek 14,Wed,Away,L,0,1,Criciúma,1.1,1.5,65,,Lucas Silva,4-3-3,4-3-1-2,,Match Report,
2024-07-07,16:00,Série A,Matchweek 15,Sun,Home,W,3,0,Corinthians,1.5,1.1,47,,Lucas Silva,4-3-3,4-2-3-1,,Match Report,
2024-07-10,18:30,Série A,Matchweek 16,Wed,Away,W,2,0,Grêmio,1.0,1.0,55,,Lucas Romero,4-3-3,4-2-3-1,,Match Report,
2024-07-13,16:00,Série A,Matchweek 17,Sat,Home,W,2,1,Red Bull Bragantino,1.4,0.8,53,,Lucas Silva,4-3-3,4-2-3-1,,Match Report,
2024-07-20,21:00,Série A,Matchweek 18,Sat,Away,L,0,2,Palmeiras,0.6,1.3,57,,Lucas Silva,4-3-3,4-2-3-1,,Match Report,
