Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-03,18:00,Sudamericana,Group stage,Wed,Home,D,1,1,arLanús,,,47,,Walter,5-4-1,4-1-3-2,Gery Vargas,Match Report,
2024-04-11,18:00,Sudamericana,Group stage,Thu,Away,W,2,0,veMetropolitanos,,,43,740,Walter,5-4-1,3-4-1-2,Álex Cajas,Match Report,
2024-04-14,16:00,Série A,Matchweek 1,Sun,Away,L,0,4,Ath Paranaense,0.3,2.0,38,"21,388",Walter,5-4-1,4-1-2-1-2,Jonathan Benkenstein Pinheiro,Match Report,
2024-04-20,18:30,Série A,Matchweek 3,Sat,Away,L,0,1,Grêmio,1.3,0.6,43,"22,904",Walter,5-4-1,4-2-3-1,Bruno Pereira Vasconcelos,Match Report,
2024-04-23,19:00,Sudamericana,Group stage,Tue,Away,D,1,1,peDeportivo Garcilaso,,,57,"6,043",Walter,5-4-1,4-2-3-1,Augusto Aragón,Match Report,
2024-04-27,17:30,Série A,Matchweek 4,Sat,Home,L,0,3,Atlético Mineiro,0.2,2.1,34,"6,711",Walter,5-4-1,3-5-2,Savio Pereira,Match Report,
2024-05-05,17:30,Série A,Matchweek 5,Sun,Home,L,0,2,Palmeiras,0.4,1.8,45,"10,781",Walter,3-4-1-2,3-4-3,Bruno Arleu,Match Report,
2024-05-08,20:00,Sudamericana,Group stage,Wed,Home,W,3,0,veMetropolitanos,,,76,"3,145",Marllon Borges,4-3-3,5-4-1,Derlis López,Match Report,
2024-05-15,20:00,Sudamericana,Group stage,Wed,Home,D,1,1,peDeportivo Garcilaso,,,62,"2,273",Walter,4-3-3,4-2-3-1,Juan Lara,Match Report,
2024-05-29,19:00,Sudamericana,Group stage,Wed,Away,W,1,0,arLanús,,,47,"2,905",Walter,4-3-3,4-2-3-1,Gery Vargas,Match Report,
2024-06-01,17:30,Série A,Matchweek 7,Sat,Home,L,0,1,Internacional,0.4,1.0,37,"5,747",Walter,4-3-3,4-1-3-2,Anderson Ribeiro Gonçalves,Match Report,
2024-06-05,19:00,Série A,Matchweek 2,Wed,Home,D,0,0,Vitória,0.4,1.0,54,"3,614",Walter,4-2-3-1,4-1-4-1,Wilton Pereira Sampaio,Match Report,
2024-06-09,16:00,Série A,Matchweek 6,Sun,Away,W,5,2,Criciúma,1.5,1.8,38,"13,846",Walter,4-3-3,4-4-2,Bruno Arleu,Match Report,
2024-06-13,19:00,Série A,Matchweek 8,Thu,Away,L,1,2,Cruzeiro,1.6,1.0,49,"26,595",Walter,4-2-3-1,4-3-2-1,Marcelo de Lima Henrique,Match Report,
2024-06-16,17:30,Série A,Matchweek 9,Sun,Home,W,5,0,Fortaleza,3.6,0.1,55,"4,474",Walter,4-2-3-1,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,
2024-06-19,20:00,Série A,Matchweek 10,Wed,Away,W,1,0,São Paulo,0.5,0.9,34,"33,586",Walter,4-2-3-1,4-2-3-1,Gustavo Ervino Bauermann,Match Report,
2024-06-22,17:30,Série A,Matchweek 11,Sat,Home,D,0,0,Atl Goianiense,0.9,0.8,53,"4,635",Walter,4-2-3-1,4-3-3,Bruno Pereira Vasconcelos,Match Report,
2024-06-26,20:00,Série A,Matchweek 12,Wed,Away,D,1,1,Corinthians,1.7,1.1,35,"38,475",Walter,4-3-3,4-2-3-1,Fabio Augusto de Sá Junior,Match Report,
