Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-03,20:00,Sudamericana,Group stage,Wed,Away,W,2,0,pySportivo Trinidense,,,49,,Yago Pikachu,3-5-2,4-4-2,,Match Report,
2024-04-10,19:00,Sudamericana,Group stage,Wed,Home,W,5,0,boNacional Potosí,,,54,"19,237",Yago Pikachu,4-3-3,4-1-4-1,,Match Report,
2024-04-13,21:00,Série A,Matchweek 1,Sat,Away,W,2,1,São Paulo,0.4,0.5,28,"35,055",Titi,3-5-2,3-4-1-2,,Match Report,
2024-04-17,20:00,Série A,Matchweek 2,Wed,Home,D,1,1,Cruzeiro,0.6,0.8,39,"21,726",Guilherme Tinga,3-5-2,4-3-3,,Match Report,
2024-04-25,21:00,Sudamericana,Group stage,Thu,Home,W,4,2,arBoca Juniors,,,43,"53,428",Yago Pikachu,3-5-2,4-3-2-1,,Match Report,
2024-04-28,18:30,Série A,Matchweek 4,Sun,Home,D,1,1,Red Bull Bragantino,1.7,0.5,43,"18,113",Guilherme Tinga,4-2-3-1,4-3-3,,Match Report,
2024-05-04,21:00,Série A,Matchweek 5,Sat,Away,D,0,0,Corinthians,1.1,1.9,36,"42,456",Guilherme Tinga,4-2-3-1,4-2-3-1,,Match Report,
2024-05-08,20:00,Sudamericana,Group stage,Wed,Away,L,1,4,boNacional Potosí,,,44,"1,401",Titi,4-4-2,4-3-3,,Match Report,
2024-05-12,16:00,Série A,Matchweek 6,Sun,Home,D,1,1,Botafogo (RJ),0.6,0.6,43,"15,914",Guilherme Tinga,4-2-3-1,4-2-3-1,,Match Report,
2024-05-15,21:00,Sudamericana,Group stage,Wed,Away,D,1,1,arBoca Juniors,,,39,"46,466",Titi,4-4-2,4-1-3-2,,Match Report,
2024-05-29,21:00,Sudamericana,Group stage,Wed,Home,W,2,1,pySportivo Trinidense,,,63,"29,227",Titi,3-5-2,4-4-2,,Match Report,
2024-06-02,18:30,Série A,Matchweek 7,Sun,Home,W,1,0,Ath Paranaense,1.3,0.7,52,"12,191",Guilherme Tinga,4-3-3,4-1-4-1,,Match Report,
2024-06-13,21:30,Série A,Matchweek 8,Thu,Away,L,0,1,Bahia,1.2,1.4,47,"29,889",Guilherme Tinga,4-3-3,4-1-2-1-2,,Match Report,
2024-06-16,17:30,Série A,Matchweek 9,Sun,Away,L,0,5,Cuiabá,0.1,3.6,45,"4,474",Guilherme Tinga,4-2-3-1,4-2-3-1,,Match Report,
2024-06-19,20:00,Série A,Matchweek 10,Wed,Home,W,1,0,Grêmio,1.7,1.0,52,"16,935",Guilherme Tinga,4-2-3-1,4-3-3,,Match Report,
2024-06-23,18:30,Série A,Matchweek 11,Sun,Away,D,1,1,Atlético Mineiro,1.3,0.9,34,"20,089",Guilherme Tinga,4-2-3-1,3-4-1-2,,Match Report,
2024-06-26,21:30,Série A,Matchweek 12,Wed,Home,W,3,0,Palmeiras,1.0,1.2,32,"28,613",Guilherme Tinga,4-2-3-1,3-4-3,,Match Report,
2024-06-30,16:00,Série A,Matchweek 13,Sun,Home,W,2,1,Juventude,2.6,1.1,38,"33,717",Guilherme Tinga,4-2-3-1,4-2-3-1,,Match Report,
2024-07-03,20:00,Série A,Matchweek 14,Wed,Away,L,0,2,Vasco da Gama,0.5,1.8,40,,Guilherme Tinga,4-2-3-1,4-2-3-1,,Match Report,
2024-07-07,16:00,Série A,Matchweek 15,Sun,Home,W,1,0,Fluminense,2.0,0.3,42,,Guilherme Tinga,4-2-3-1,4-2-3-1,,Match Report,
2024-07-11,20:00,Série A,Matchweek 16,Thu,Away,W,2,1,Flamengo,0.4,2.0,30,,Guilherme Tinga,4-2-3-1,4-2-3-1,,Match Report,
2024-07-17,21:30,Série A,Matchweek 17,Wed,Home,W,3,1,Vitória,2.0,1.3,48,,Guilherme Tinga,4-2-3-1,4-1-4-1,,Match Report,
2024-07-21,18:30,Série A,Matchweek 18,Sun,Home,W,3,1,Atl Goianiense,1.6,0.7,59,,Guilherme Tinga,4-2-3-1,5-4-1,,Match Report,
