Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-02,19:00,Sudamericana,Group stage,Tue,Away,D,0,0,arBelgrano,,,72,"32,756",Alan Patrick,4-4-2,4-4-2,Kevin Ortega,Match Report,
2024-04-10,21:00,Sudamericana,Group stage,Wed,Home,D,0,0,boReal Tomayapo,,,78,"29,643",Alan Patrick,4-4-2◆,5-4-1,Christian Ferreyra,Match Report,
2024-04-13,18:30,Série A,Matchweek 1,Sat,Home,W,2,1,Bahia,1.9,0.7,52,"19,103",Renê,4-4-2,4-4-2,Rodrigo José Pereira de Lima,Match Report,
2024-04-17,20:00,Série A,Matchweek 2,Wed,Away,W,1,0,Palmeiras,1.1,1.4,36,"13,464",Gabriel Mercado,4-2-3-1,3-4-3,Lucas Paulo Torezin,Match Report,
2024-04-21,16:00,Série A,Matchweek 3,Sun,Away,L,0,1,Ath Paranaense,1.6,0.8,54,"29,784",Renê,4-2-3-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2024-04-25,21:00,Sudamericana,Group stage,Thu,Away,W,2,1,ecDelfín,,,64,"8,524",Gabriel Mercado,4-2-3-1,4-4-2,Michael Espinoza,Match Report,
2024-04-28,20:00,Série A,Matchweek 4,Sun,Home,D,1,1,Atl Goianiense,1.9,0.3,71,"28,468",Mauricio,4-4-2,4-2-3-1,Edina Alves Batista,Match Report,
2024-05-28,21:30,Sudamericana,Group stage,Tue,Home,L,1,2,arBelgrano,,,75,"6,151",Alan Patrick,4-1-3-2,3-4-3,Alexis Herrera,Match Report,
2024-06-01,17:30,Série A,Matchweek 7,Sat,Away,W,1,0,Cuiabá,1.0,0.4,63,"5,747",Gabriel Mercado,4-1-3-2,4-3-3,Anderson Ribeiro Gonçalves,Match Report,
2024-06-04,20:30,Sudamericana,Group stage,Tue,Away,W,2,0,boReal Tomayapo,,,73,"5,872",Alan Patrick,4-4-2,5-4-1,Mathias de Armas,Match Report,
2024-06-08,21:30,Sudamericana,Group stage,Sat,Home,W,1,0,ecDelfín,,,73,"16,822",Alan Patrick,4-4-2,4-1-4-1,Felipe González,Match Report,
2024-06-13,20:00,Série A,Matchweek 8,Thu,Home,D,0,0,São Paulo,0.2,0.7,53,"17,987",Alan Patrick,4-1-3-2,4-2-3-1,Braulio Machado,Match Report,
2024-06-16,16:00,Série A,Matchweek 9,Sun,Away,L,1,2,Vitória,1.2,1.5,59,"14,251",Gabriel Mercado,4-2-3-1,4-1-4-1,Bruno Arleu,Match Report,
2024-06-19,21:30,Série A,Matchweek 10,Wed,Home,W,1,0,Corinthians,0.5,0.8,47,"14,447",Bruno Henrique,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
2024-06-22,17:30,Série A,Matchweek 11,Sat,Away,W,1,0,Grêmio,1.1,0.5,42,"27,961",Alan Patrick,4-2-3-1,4-2-3-1,Ramon Abatti,Match Report,
2024-06-26,21:30,Série A,Matchweek 12,Wed,Home,L,1,2,Atlético Mineiro,1.7,1.4,46,"9,978",Alan Patrick,4-3-3,4-1-4-1,Luiz Flávio de Oliveira,Match Report,
2024-06-30,18:30,Série A,Matchweek 13,Sun,Away,D,1,1,Criciúma,1.2,1.0,54,"14,946",Alan Patrick,4-2-3-1,5-3-2,Wagner do Nascimento Magalhães,Match Report,
2024-07-04,20:00,Série A,Matchweek 14,Thu,Away,D,1,1,Fluminense,0.7,0.3,45,,Alan Patrick,4-2-3-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2024-07-07,18:00,Série A,Matchweek 15,Sun,Home,L,1,2,Vasco da Gama,1.3,0.7,65,,Alan Patrick,4-2-3-1,4-2-3-1,Gustavo Ervino Bauermann,Match Report,
2024-07-10,,Série A,Matchweek 16,Wed,Away,,,,Red Bull Bragantino,,,,,,,,,,Match Postponed
2024-07-16,21:30,Sudamericana,Knockout round play-offs,Tue,Away,L,0,1,arRosario Central,,,61,,Alan Patrick,4-2-3-1,4-4-2,Cristián Garay,Match Report,Leg 1 of 2
2024-07-17,,Série A,Matchweek 17,Wed,Home,,,,Flamengo,,,,,,,,,,Match Postponed
2024-07-20,18:30,Série A,Matchweek 18,Sat,Away,L,0,1,Botafogo (RJ),0.7,0.5,52,,Gabriel Mercado,4-1-3-2,4-2-2-2,Flavio Rodrigues de Souza,Match Report,
2024-07-23,21:30,Sudamericana,Knockout round play-offs,Tue,Home,D,1,1,arRosario Central,,,76,,Alan Patrick,4-3-3,4-4-2,Gustavo Tejera,Match Report,Leg 2 of 2; Rosario Central won
2024-07-24,,Série A,Matchweek 19,Wed,Home,,,,Fortaleza,,,,,,,,,,Match Postponed
2024-07-27,20:00,Série A,Matchweek 20,Sat,Away,D,1,1,Bahia,1.5,0.9,48,,Gabriel Mercado,4-4-1-1,4-1-2-1-2,Matheus Delgado Candançan,Match Report,
2024-08-04,17:00,Série A,Matchweek 21,Sun,Home,D,1,1,Palmeiras,1.5,1.4,41,,Sergio Rochet,4-2-3-1,3-4-3,Wagner do Nascimento Magalhães,Match Report,
