Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-03,21:30,Libertadores,Group stage,Wed,Away,D,1,1,arSan Lorenzo,0.8,1.2,55,"20,007",Gustavo Gómez,3-4-3,4-2-3-1,,Match Report,
2024-04-11,21:00,Libertadores,Group stage,Thu,Home,W,3,1,uyLiverpool,1.8,0.7,62,"28,365",Gustavo Gómez,4-2-3-1,5-3-2,,Match Report,
2024-04-14,18:30,Série A,Matchweek 1,Sun,Away,W,1,0,Vitória,0.8,1.4,44,"30,644",Luan Garcia,4-2-3-1,4-3-3,,Match Report,
2024-04-17,20:00,Série A,Matchweek 2,Wed,Home,L,0,1,Internacional,1.4,1.1,64,"13,464",Gustavo Gómez,3-4-3,4-2-3-1,,Match Report,
2024-04-21,16:00,Série A,Matchweek 3,Sun,Home,D,0,0,Flamengo,0.4,0.2,50,"29,956",Gustavo Gómez,3-4-3,4-2-3-1,,Match Report,
2024-04-24,19:30,Libertadores,Group stage,Wed,Away,W,3,2,ecIndependiente,0.7,1.3,32,"6,552",Gustavo Gómez,4-2-3-1,4-2-3-1,,Match Report,
2024-04-29,20:00,Série A,Matchweek 4,Mon,Away,D,0,0,São Paulo,0.8,0.9,43,"55,694",Gustavo Gómez,4-2-3-1,3-4-3,,Match Report,
2024-05-05,17:30,Série A,Matchweek 5,Sun,Away,W,2,0,Cuiabá,1.8,0.4,55,"10,781",Gustavo Gómez,3-4-3,3-4-1-2,,Match Report,
2024-05-09,19:00,Libertadores,Group stage,Thu,Away,W,5,0,uyLiverpool,3.0,0.3,55,"1,848",Gustavo Gómez,4-2-3-1,5-3-2,,Match Report,
2024-05-12,16:00,Série A,Matchweek 6,Sun,Home,L,0,2,Ath Paranaense,1.7,0.9,62,"12,108",Gustavo Gómez,4-2-3-1,4-2-3-1,,Match Report,
2024-05-15,21:30,Libertadores,Group stage,Wed,Home,W,2,1,ecIndependiente,1.4,0.4,47,"31,672",Gustavo Gómez,4-2-2-2,5-4-1,,Match Report,
2024-05-30,19:00,Libertadores,Group stage,Thu,Home,D,0,0,arSan Lorenzo,0.6,0.3,73,"40,114",Gustavo Gómez,4-2-3-1,3-4-3,,Match Report,
2024-06-02,16:00,Série A,Matchweek 7,Sun,Away,W,2,1,Criciúma,2.7,1.2,61,"19,027",Gustavo Gómez,4-2-3-1,4-3-3,,Match Report,
2024-06-13,21:30,Série A,Matchweek 8,Thu,Home,W,2,0,Vasco da Gama,2.3,0.2,57,"37,641",Marcos Rocha,4-2-3-1,5-4-1,,Match Report,
2024-06-17,20:30,Série A,Matchweek 9,Mon,Away,W,4,0,Atlético Mineiro,2.8,0.4,48,"28,251",Marcos Rocha,4-2-3-1,3-4-3,,Match Report,
2024-06-20,21:30,Série A,Matchweek 10,Thu,Home,W,2,1,Red Bull Bragantino,3.1,1.4,42,"29,119",Raphael Veiga,4-2-3-1,4-3-3,,Match Report,
2024-06-23,18:30,Série A,Matchweek 11,Sun,Home,W,3,1,Juventude,2.9,1.4,56,"38,258",Marcos Rocha,4-2-3-1,4-2-3-1,,Match Report,
2024-06-26,21:30,Série A,Matchweek 12,Wed,Away,L,0,3,Fortaleza,1.2,1.0,68,"28,613",Marcos Rocha,3-4-3,4-2-3-1,,Match Report,
2024-07-01,20:00,Série A,Matchweek 13,Mon,Home,W,2,0,Corinthians,1.0,0.9,49,"41,175",Marcos Rocha,4-2-3-1,4-2-3-1,,Match Report,
2024-07-04,19:00,Série A,Matchweek 14,Thu,Away,D,2,2,Grêmio,2.3,2.2,60,,Marcos Rocha,4-3-3,4-2-3-1,,Match Report,
2024-07-07,18:30,Série A,Matchweek 15,Sun,Home,W,2,0,Bahia,0.9,1.9,45,,Gustavo Gómez,4-2-3-1,4-1-3-2,,Match Report,
2024-07-11,19:30,Série A,Matchweek 16,Thu,Home,W,3,1,Atl Goianiense,3.3,0.5,64,,Gustavo Gómez,4-2-3-1,5-4-1,,Match Report,
2024-07-17,21:30,Série A,Matchweek 17,Wed,Away,L,0,1,Botafogo (RJ),1.2,1.8,57,,Gustavo Gómez,4-2-3-1,4-2-3-1,,Match Report,
2024-07-20,21:00,Série A,Matchweek 18,Sat,Home,W,2,0,Cruzeiro,1.3,0.6,43,,Gustavo Gómez,4-2-3-1,4-3-3,,Match Report,
2024-07-24,21:30,Série A,Matchweek 19,Wed,Away,L,0,1,Fluminense,0.1,1.0,49,,Gustavo Gómez,4-2-3-1,4-2-3-1,,Match Report,
2024-07-27,19:00,Série A,Matchweek 20,Sat,Home,L,0,2,Vitória,0.8,0.6,70,,Rony,4-2-3-1,4-1-4-1,,Match Report,
2024-08-04,17:00,Série A,Matchweek 21,Sun,Away,D,1,1,Internacional,1.4,1.5,59,,Gustavo Gómez,3-4-3,4-2-3-1,,Match Report,
2024-08-11,16:00,Série A,Matchweek 22,Sun,Away,D,1,1,Flamengo,1.3,1.0,48,,Gustavo Gómez,3-4-3,4-2-3-1,,Match Report,
2024-08-14,21:30,Libertadores,Round of 16,Wed,Away,L,1,2,brBotafogo (RJ),0.3,1.7,49,"38,848",Gustavo Gómez,3-4-3,4-2-3-1,,Match Report,Leg 1 of 2
2024-08-18,16:00,Série A,Matchweek 23,Sun,Home,W,2,1,São Paulo,2.1,0.6,54,,Gustavo Gómez,4-2-3-1,3-4-3,,Match Report,
2024-08-21,21:30,Libertadores,Round of 16,Wed,Home,D,2,2,brBotafogo (RJ),2.7,1.2,65,"40,269",Gustavo Gómez,4-2-3-1,4-2-3-1,,Match Report,Leg 2 of 2; Botafogo (RJ) won
2024-08-24,18:30,Série A,Matchweek 24,Sat,Home,W,5,0,Cuiabá,2.6,0.8,57,,Wéverton,4-2-3-1,5-3-2,,Match Report,
2024-09-01,18:30,Série A,Matchweek 25,Sun,Away,W,2,0,Ath Paranaense,3.0,0.9,54,,Gustavo Gómez,4-2-3-1,4-4-2,Braulio Machado,Match Report,
2024-09-15,16:00,Série A,Matchweek 26,Sun,Home,W,5,0,Criciúma,1.9,0.7,53,,Gustavo Gómez,4-2-3-1,4-1-2-1-2,Alex Gomes Stefano,Match Report,
2024-09-22,16:00,Série A,Matchweek 27,Sun,Away,,,,Vasco da Gama,,,,,,,,,Head-to-Head,
2024-09-28,18:30,Série A,Matchweek 28,Sat,Home,,,,Atlético Mineiro,,,,,,,,,Head-to-Head,
2024-10-05,16:30,Série A,Matchweek 29,Sat,Away,,,,Red Bull Bragantino,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Away,,,,Juventude,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Home,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Away,,,,Corinthians,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Home,,,,Grêmio,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Away,,,,Bahia,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Away,,,,Atl Goianiense,,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Home,,,,Botafogo (RJ),,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Away,,,,Cruzeiro,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Home,,,,Fluminense,,,,,,,,,Head-to-Head,
