Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-14,16:00,Série A,Matchweek 1,Sun,Home,W,2,1,Grêmio,0.9,1.2,47,"17,722",Gary Medel,4-3-3,4-2-3-1,,Match Report,
2024-04-17,19:00,Série A,Matchweek 2,Wed,Away,L,1,2,Red Bull Bragantino,1.2,0.9,59,"5,448",Léo Pelé,4-3-3,4-3-3,,Match Report,
2024-04-20,16:00,Série A,Matchweek 3,Sat,Away,L,1,2,Fluminense,1.9,1.3,43,"25,842",Léo Pelé,4-3-3,4-2-3-1,,Match Report,
2024-04-27,16:00,Série A,Matchweek 4,Sat,Home,L,0,4,Criciúma,1.9,1.4,58,"17,124",Gary Medel,4-2-3-1,4-4-2,,Match Report,
2024-05-05,16:00,Série A,Matchweek 5,Sun,Away,L,0,1,Ath Paranaense,0.5,2.3,44,"31,192",Léo Pelé,4-3-3,4-2-3-1,,Match Report,
2024-05-12,18:30,Série A,Matchweek 6,Sun,Home,W,2,1,Vitória,1.7,1.7,56,"11,084",Léo Pelé,4-2-3-1,3-4-1-2,,Match Report,
2024-06-02,16:00,Série A,Matchweek 7,Sun,Home,L,1,6,Flamengo,0.1,3.8,27,"62,228",Léo Pelé,3-4-3,4-2-3-1,,Match Report,
2024-06-13,21:30,Série A,Matchweek 8,Thu,Away,L,0,2,Palmeiras,0.2,2.3,43,"37,641",Léo Pelé,5-4-1,4-2-3-1,,Match Report,
2024-06-16,18:30,Série A,Matchweek 9,Sun,Home,D,0,0,Cruzeiro,1.0,0.2,50,"11,275",Léo Pelé,4-2-3-1,4-3-2-1,,Match Report,
2024-06-19,20:00,Série A,Matchweek 10,Wed,Away,L,0,2,Juventude,0.3,1.3,46,"4,838",Léo Pelé,4-2-3-1,4-2-3-1,,Match Report,
2024-06-22,21:30,Série A,Matchweek 11,Sat,Home,W,4,1,São Paulo,1.3,0.4,41,"4,897",Pablo Vegetti,4-2-3-1,4-1-3-2,,Match Report,
2024-06-26,21:30,Série A,Matchweek 12,Wed,Away,L,1,2,Bahia,1.5,2.5,37,"38,318",Pablo Vegetti,4-2-3-1,4-1-3-2,,Match Report,
2024-06-29,18:30,Série A,Matchweek 13,Sat,Home,D,1,1,Botafogo (RJ),0.5,0.5,53,"15,593",Pablo Vegetti,4-2-3-1,4-4-2,,Match Report,
2024-07-03,20:00,Série A,Matchweek 14,Wed,Home,W,2,0,Fortaleza,1.8,0.5,60,,Pablo Vegetti,4-2-3-1,4-2-3-1,,Match Report,
2024-07-07,18:00,Série A,Matchweek 15,Sun,Away,W,2,1,Internacional,0.7,1.3,35,,Pablo Vegetti,4-2-3-1,4-2-3-1,,Match Report,
2024-07-10,19:00,Série A,Matchweek 16,Wed,Home,W,2,0,Corinthians,0.9,0.4,51,,Pablo Vegetti,4-2-3-1,4-2-3-1,,Match Report,
2024-07-17,19:00,Série A,Matchweek 17,Wed,Away,W,1,0,Atl Goianiense,1.2,0.9,48,,Pablo Vegetti,4-2-3-1,4-3-3,,Match Report,
2024-07-21,16:00,Série A,Matchweek 18,Sun,Away,L,0,2,Atlético Mineiro,0.6,2.2,47,"42,353",Pablo Vegetti,4-2-3-1,3-4-3,,Match Report,
2024-07-28,19:00,Série A,Matchweek 20,Sun,Away,L,0,1,Grêmio,0.9,1.7,47,,Pablo Vegetti,4-2-3-1,3-4-3,,Match Report,
2024-08-03,19:00,Série A,Matchweek 21,Sat,Home,D,2,2,Red Bull Bragantino,0.8,1.3,63,,Léo Pelé,4-2-3-1,4-3-3,,Match Report,
2024-08-10,21:30,Série A,Matchweek 22,Sat,Home,W,2,0,Fluminense,1.2,0.8,44,,Pablo Vegetti,4-2-3-1,4-2-3-1,,Match Report,
2024-08-18,16:00,Série A,Matchweek 23,Sun,Away,D,2,2,Criciúma,1.3,1.0,50,,Léo Jardim,4-2-3-1,4-2-3-1,,Match Report,
2024-08-26,21:00,Série A,Matchweek 24,Mon,Home,W,2,1,Ath Paranaense,0.7,0.7,46,"16,433",Pablo Vegetti,4-2-3-1,3-2-4-1,,Match Report,
2024-09-01,18:30,Série A,Matchweek 25,Sun,Away,W,1,0,Vitória,0.4,1.4,53,,Pablo Vegetti,4-2-3-1,4-3-3,Luiz Flávio de Oliveira,Match Report,
2024-09-15,18:30,Série A,Matchweek 26,Sun,Away,D,1,1,Flamengo,1.0,2.1,39,,Pablo Vegetti,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2024-09-22,16:00,Série A,Matchweek 27,Sun,Home,,,,Palmeiras,,,,,,,,,Head-to-Head,
2024-09-29,18:30,Série A,Matchweek 28,Sun,Away,,,,Cruzeiro,,,,,,,,,Head-to-Head,
2024-10-05,21:00,Série A,Matchweek 29,Sat,Home,,,,Juventude,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Away,,,,São Paulo,,,,,,,,,Head-to-Head,
2024-10-23,19:00,Série A,Matchweek 19,Wed,Home,,,,Cuiabá,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Home,,,,Bahia,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Away,,,,Botafogo (RJ),,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Away,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Home,,,,Internacional,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Away,,,,Corinthians,,,,,,,,,Head-to-Head,
