Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-14,18:30,Série A,Matchweek 1,Sun,Home,L,0,1,Palmeiras,1.4,0.8,56,"30,644",Zeca,4-3-3,4-2-3-1,,Match Report,
2024-04-21,16:00,Série A,Matchweek 3,Sun,Home,D,2,2,Bahia,1.6,2.5,42,"27,609",Zeca,4-4-1-1,4-3-3,,Match Report,
2024-04-28,16:00,Série A,Matchweek 4,Sun,Away,L,1,3,Cruzeiro,0.3,1.2,47,"20,083",Zeca,4-4-2,4-3-3,,Match Report,
2024-05-05,16:00,Série A,Matchweek 5,Sun,Home,L,1,3,São Paulo,0.2,2.9,34,"25,739",Zeca,3-4-1-2,3-4-1-2,,Match Report,
2024-05-12,18:30,Série A,Matchweek 6,Sun,Away,L,1,2,Vasco da Gama,1.7,1.7,44,"11,084",Camutanga,3-4-1-2,4-2-3-1,,Match Report,
2024-06-01,16:00,Série A,Matchweek 7,Sat,Home,L,0,2,Atl Goianiense,0.6,1.4,34,"16,008",Wagner,4-4-2,4-3-3,,Match Report,
2024-06-05,19:00,Série A,Matchweek 2,Wed,Away,D,0,0,Cuiabá,1.0,0.4,46,"3,614",Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-06-11,19:00,Série A,Matchweek 8,Tue,Away,D,1,1,Juventude,0.5,0.7,40,"6,186",Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-06-16,16:00,Série A,Matchweek 9,Sun,Home,W,2,1,Internacional,1.5,1.2,41,"14,251",Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-06-20,18:30,Série A,Matchweek 10,Thu,Home,W,4,2,Atlético Mineiro,1.5,1.9,39,"15,044",Wagner,4-1-4-1,3-4-3,,Match Report,
2024-06-23,18:30,Série A,Matchweek 11,Sun,Away,L,1,2,Red Bull Bragantino,0.7,1.4,37,"4,426",Wagner,5-3-2,4-3-3,,Match Report,
2024-06-27,19:00,Série A,Matchweek 12,Thu,Away,W,1,0,Fluminense,0.5,0.3,37,"24,269",Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-06-30,18:30,Série A,Matchweek 13,Sun,Home,L,0,1,Ath Paranaense,1.0,0.9,59,"20,376",Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-07-04,20:00,Série A,Matchweek 14,Thu,Away,L,2,3,Corinthians,1.9,0.6,56,,Wagner,4-1-4-1,4-1-4-1,,Match Report,
2024-07-07,18:30,Série A,Matchweek 15,Sun,Home,W,2,1,Criciúma,1.6,1.0,45,,Wagner,4-1-4-1,4-4-2,,Match Report,
2024-07-11,21:30,Série A,Matchweek 16,Thu,Home,L,0,1,Botafogo (RJ),1.0,2.1,46,,Wagner,4-1-4-1,4-4-2,,Match Report,
2024-07-17,21:30,Série A,Matchweek 17,Wed,Away,L,1,3,Fortaleza,1.3,2.0,52,,Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-07-21,11:00,Série A,Matchweek 18,Sun,Away,L,0,2,Grêmio,0.2,1.4,41,,Wagner,3-4-3,4-4-2,,Match Report,
2024-07-24,20:00,Série A,Matchweek 19,Wed,Home,L,1,2,Flamengo,1.4,1.0,44,,Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-07-27,19:00,Série A,Matchweek 20,Sat,Away,W,2,0,Palmeiras,0.6,0.8,30,,Wagner,4-1-4-1,4-2-3-1,,Match Report,
2024-08-03,16:00,Série A,Matchweek 21,Sat,Home,W,1,0,Cuiabá,1.6,0.8,47,,Wagner,4-3-3,4-2-3-1,,Match Report,
2024-08-11,16:00,Série A,Matchweek 22,Sun,Away,L,0,2,Bahia,1.0,0.6,44,,Wagner,4-3-3,4-1-3-2,,Match Report,
2024-08-19,20:00,Série A,Matchweek 23,Mon,Home,D,2,2,Cruzeiro,1.2,1.2,31,,Wagner,4-3-3,4-3-3,,Match Report,
2024-08-25,18:30,Série A,Matchweek 24,Sun,Away,L,1,2,São Paulo,1.2,0.6,42,,Wagner,4-1-4-1,4-3-3,,Match Report,
2024-09-01,18:30,Série A,Matchweek 25,Sun,Home,L,0,1,Vasco da Gama,1.4,0.4,47,,Wagner,4-3-3,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2024-09-14,16:00,Série A,Matchweek 26,Sat,Away,W,2,0,Atl Goianiense,0.8,0.7,36,,Wagner,4-2-3-1,4-2-3-1,Edina Alves,Match Report,
2024-09-21,16:00,Série A,Matchweek 27,Sat,Home,,,,Juventude,,,,,,,,,Head-to-Head,
2024-09-29,18:30,Série A,Matchweek 28,Sun,Away,,,,Internacional,,,,,,,,,Head-to-Head,
2024-10-05,16:30,Série A,Matchweek 29,Sat,Away,,,,Atlético Mineiro,,,,,,,,,Head-to-Head,
2024-10-20,,Série A,Matchweek 30,Sun,Home,,,,Red Bull Bragantino,,,,,,,,,Head-to-Head,
2024-10-26,,Série A,Matchweek 31,Sat,Home,,,,Fluminense,,,,,,,,,Head-to-Head,
2024-11-06,,Série A,Matchweek 32,Wed,Away,,,,Ath Paranaense,,,,,,,,,Head-to-Head,
2024-11-13,,Série A,Matchweek 33,Wed,Home,,,,Corinthians,,,,,,,,,Head-to-Head,
2024-11-20,,Série A,Matchweek 34,Wed,Away,,,,Criciúma,,,,,,,,,Head-to-Head,
2024-11-24,,Série A,Matchweek 35,Sun,Away,,,,Botafogo (RJ),,,,,,,,,Head-to-Head,
2024-12-01,,Série A,Matchweek 36,Sun,Home,,,,Fortaleza,,,,,,,,,Head-to-Head,
2024-12-04,,Série A,Matchweek 37,Wed,Home,,,,Grêmio,,,,,,,,,Head-to-Head,
2024-12-08,,Série A,Matchweek 38,Sun,Away,,,,Flamengo,,,,,,,,,Head-to-Head,
