Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Kaique Rocha,brBRA,DF,23-204,21.6,30,21,22,6,2,20,32,62.5,12,23,16,7,26,56,106,1,Matches
Erick,brBRA,"MF,DF",26-310,18.7,30,22,15,12,3,10,32,31.3,22,35,8,27,28,58,36,0,Matches
Lucas Esquivel,arARG,DF,22-341,17.8,46,31,19,25,2,19,43,44.2,24,17,6,11,20,66,60,0,Matches
Fernandinho,brBRA,MF,39-138,15.2,24,18,8,12,4,9,18,50.0,9,10,3,7,10,34,22,0,Matches
Thiago Heleno,brBRA,DF,36-002,14.5,14,7,7,7,0,5,9,55.6,4,24,17,7,18,32,58,1,Matches
Leonardo Linck,brBRA,GK,23-200,13.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,8,2,Matches
Christian,brBRA,"MF,FW",23-275,13.3,17,10,4,11,2,4,13,30.8,9,13,3,10,8,25,8,0,Matches
Leonardo Godoy,arARG,DF,29-144,11.9,13,11,10,3,0,4,12,33.3,8,11,4,7,7,20,21,0,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,11.9,24,16,4,10,10,12,32,37.5,20,10,1,9,5,29,9,0,Matches
Julimar,brBRA,"FW,MF",23-238,13.3,22,13,4,11,7,8,15,53.3,7,15,1,14,12,34,22,0,Matches
Mateo Gamarra,pyPAR,DF,23-335,11.6,24,14,16,8,0,12,21,57.1,9,17,11,6,16,40,45,0,Matches
Tomás Cuello,arARG,"FW,MF",24-198,10.5,14,10,8,6,0,5,16,31.3,11,16,1,15,8,22,5,0,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,9.7,15,9,2,10,3,6,20,30.0,14,19,0,19,1,16,5,0,Matches
Nikão,brBRA,"FW,MF",32-052,9.7,18,12,5,6,7,7,16,43.8,9,8,1,7,6,24,4,0,Matches
Pablo,brBRA,"FW,MF",32-088,10.1,10,8,2,8,0,1,5,20.0,4,5,2,3,1,11,7,1,Matches
Gabriel,brBRA,MF,32-071,9.4,28,19,9,17,2,13,32,40.6,19,12,1,11,14,42,14,0,Matches
Gonzalo Mastriani,uyURU,FW,31-144,8.7,12,7,4,4,4,5,11,45.5,6,6,1,5,3,15,10,0,Matches
Bento,brBRA,GK,25-101,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Lucas Di Yorio,arARG,FW,27-302,6.9,4,2,1,2,1,1,5,20.0,4,4,0,4,2,6,8,0,Matches
Fernando,brBRA,DF,25-005,5.8,8,4,5,1,2,6,11,54.5,5,6,0,6,12,20,10,0,Matches
Mádson,brBRA,DF,32-250,7.6,7,3,4,1,2,3,5,60.0,2,9,6,3,9,16,19,0,Matches
João Machado Cruz,brBRA,MF,18-130,4.3,8,3,4,2,2,2,9,22.2,7,4,0,4,1,9,4,0,Matches
Mycael,brBRA,GK,20-191,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Filipinho,brBRA,MF,22-337,1.9,13,8,5,5,3,6,10,60.0,4,6,2,4,5,18,2,0,Matches
Emersonn,brBRA,"FW,MF",20-065,1.8,3,1,0,3,0,0,1,0.0,1,1,0,1,1,4,2,0,Matches
José Vitor Silva Neves,brBRA,"MF,FW",24-140,2.0,8,4,3,4,1,2,3,66.7,1,7,0,7,2,10,1,0,Matches
Alex Santana,brBRA,"MF,FW",29-129,1.1,2,0,0,1,1,1,5,20.0,4,1,0,1,0,2,0,0,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,0.3,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,0,0,Matches
Kayke Santos,brBRA,FW,16-146,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,24.0,394,253,161,175,58,161,380,42.4,219,281,85,196,215,609,488,5,
Opponent Total,,,28.0,24.0,395,249,203,154,38,180,375,48.0,195,242,96,146,229,624,619,3,
