Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Adriano Martins,brBRA,DF,27-171,22.6,31,23,21,10,0,15,24,62.5,9,29,21,8,40,71,109,1,Matches
Guilherme Romão,brBRA,DF,26-348,22.5,24,12,9,14,1,9,17,52.9,8,18,5,13,25,49,61,0,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,21.9,18,11,7,7,4,5,18,27.8,13,32,5,27,11,29,22,0,Matches
Ronaldo,brBRA,GK,28-028,22.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,0,Matches
Shaylon,brBRA,"FW,MF",27-145,19.2,11,4,6,4,1,4,27,14.8,23,15,1,14,14,25,13,0,Matches
Gabriel Baralhas,brBRA,MF,25-345,16.6,38,20,11,23,4,12,35,34.3,23,25,5,20,20,58,24,2,Matches
Rhaldney,brBRA,MF,25-304,16.4,48,33,12,28,8,16,43,37.2,27,20,5,15,9,57,15,0,Matches
Maguinho,brBRA,DF,31-257,15.1,29,12,14,12,3,11,17,64.7,6,16,6,10,15,44,28,0,Matches
Alix Vinicius,brBRA,DF,24-318,12.7,10,9,7,2,1,8,12,66.7,4,22,14,8,12,22,74,0,Matches
Emiliano Rodríguez,uyURU,FW,21-065,12.2,7,4,1,3,3,3,12,25.0,9,8,1,7,1,8,9,0,Matches
Lucas Kal,brBRA,"MF,DF",28-187,12.8,14,7,7,4,3,7,16,43.8,9,13,3,10,15,29,21,0,Matches
Alejo Cruz,uyURU,"MF,FW",24-018,13.2,23,16,9,10,4,12,24,50.0,12,21,2,19,12,35,9,0,Matches
Luiz Felipe,brBRA,DF,31-010,9.1,11,8,7,4,0,5,12,41.7,7,10,8,2,15,26,44,0,Matches
Bruno Tubarão,brBRA,DF,29-198,8.1,21,12,12,8,1,8,13,61.5,5,6,1,5,6,27,18,0,Matches
Budiga Roni,brBRA,"MF,DF",25-157,7.9,20,17,9,6,5,9,21,42.9,12,14,8,6,7,27,16,1,Matches
Pedrão,brBRA,DF,31-276,6.1,15,7,10,4,1,6,7,85.7,1,9,4,5,1,16,25,0,Matches
Gonzalo Freitas,uyURU,MF,32-353,6.0,16,9,7,5,4,5,14,35.7,9,5,2,3,10,26,22,0,Matches
Janderson,brBRA,"FW,MF",25-206,5.9,13,8,7,6,0,5,11,45.5,6,3,0,3,1,14,1,0,Matches
Joel Campbell,crCRC,"MF,FW",32-085,4.7,8,6,1,4,3,5,9,55.6,4,2,0,2,2,10,1,0,Matches
Derek,brBRA,FW,26-292,4.5,8,3,1,4,3,3,6,50.0,3,9,0,9,1,9,2,0,Matches
Jan Carlos Hurtado,veVEN,FW,24-198,4.3,2,2,0,2,0,0,4,0.0,4,5,1,4,2,4,4,0,Matches
Pedro Rangel,brBRA,GK,24-082,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Vágner Love,brBRA,"FW,MF",40-100,2.0,0,0,0,0,0,0,4,0.0,4,3,0,3,1,1,2,0,Matches
Yony González,coCOL,"FW,MF",30-070,3.0,2,2,1,1,0,1,1,100.0,0,5,1,4,1,3,5,0,Matches
Yeferson Rodallega,coCOL,DF,23-301,1.2,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,7,0,Matches
Philipe Sampaio,brBRA,DF,29-313,1.0,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0,Matches
Gabriel Barros,brBRA,"FW,MF",22-330,0.9,2,1,2,0,0,2,5,40.0,3,1,0,1,0,2,0,0,Matches
Dé Marcão,brBRA,DF,23-127,0.8,4,0,4,0,0,1,2,50.0,1,1,1,0,3,7,4,0,Matches
Luiz Gustavo,brBRA,DF,21-112,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,Matches
Max,brBRA,"FW,MF",22-083,2.9,9,6,4,3,2,7,8,87.5,1,1,0,1,0,9,2,0,Matches
Danielzinho,brBRA,"MF,FW",28-252,1.1,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Jorginho,brBRA,"MF,FW",33-258,0.8,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,1,0,Matches
Rafael Haller,uyURU,DF,24-033,0.6,2,1,1,0,1,1,3,33.3,2,1,1,0,2,4,3,0,Matches
Mateo Zuleta,coCOL,"FW,MF",22-104,0.5,2,1,0,1,1,1,4,25.0,3,2,0,2,1,3,0,0,Matches
Matías Lacava,veVEN,MF,21-331,0.4,1,0,0,1,0,0,0,,0,1,0,1,1,2,0,0,Matches
Gustavo Campanharo,brBRA,MF,32-168,0.2,2,1,2,0,0,0,1,0.0,1,1,0,1,0,2,2,0,Matches
Eli,brBRA,FW,20-180,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Randerson,brBRA,MF,20-191,0.2,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Squad Total,,,27.3,26.0,397,240,175,168,54,163,381,42.8,218,303,96,207,230,627,557,4,
Opponent Total,,,28.2,26.0,386,250,193,150,43,198,358,55.3,160,273,95,178,206,592,614,11,
