Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Paulinho,brBRA,"FW,MF",24-066,18.9,21,12,4,12,5,3,10,30.0,7,11,3,8,4,25,6,0,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,18.6,31,20,11,15,5,15,23,65.2,8,10,4,6,12,43,22,0,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,18.4,27,16,15,11,1,16,26,61.5,10,21,11,10,10,37,69,0,Matches
Renzo Saravia,arARG,DF,31-095,15.7,58,34,34,17,7,30,58,51.7,28,25,6,19,20,78,24,0,Matches
Bruno Fuchs,brBRA,DF,25-171,15.2,33,19,20,8,5,21,27,77.8,6,21,12,9,20,53,60,0,Matches
Hulk,brBRA,FW,38-056,14.0,9,4,1,5,3,4,8,50.0,4,3,0,3,1,10,10,0,Matches
Otávio,brBRA,MF,30-138,13.9,35,19,12,20,3,15,23,65.2,8,15,5,10,18,53,20,0,Matches
Éverson,brBRA,GK,34-059,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Alan Franco,ecECU,MF,26-029,13.0,25,15,9,11,5,13,18,72.2,5,10,1,9,17,42,7,0,Matches
Guilherme Arana,brBRA,DF,27-158,12.1,21,15,11,6,4,10,19,52.6,9,12,3,9,13,34,12,0,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,10.0,26,17,8,12,6,8,15,53.3,7,5,0,5,7,33,8,0,Matches
Matheus Mendes,brBRA,GK,25-193,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Matches
Igor Gomes,brBRA,MF,25-186,9.1,13,9,6,5,2,6,11,54.5,5,9,0,9,7,20,5,0,Matches
Federico Zaracho,arARG,MF,26-193,8.0,20,11,7,9,4,7,18,38.9,11,9,0,9,11,31,2,0,Matches
Fausto Vera,arARG,MF,24-177,6.6,14,9,5,6,3,5,13,38.5,8,2,1,1,5,19,5,0,Matches
Bernard,brBRA,"MF,FW",32-011,6.2,12,7,3,7,2,5,11,45.5,6,3,1,2,2,14,3,0,Matches
Igor Rabello,brBRA,DF,29-144,6.2,15,7,4,11,0,8,11,72.7,3,9,6,3,8,23,37,0,Matches
Júnior Alonso,pyPAR,DF,31-223,5.6,10,5,4,6,0,6,12,50.0,6,3,2,1,7,17,18,0,Matches
Rômulo,brBRA,DF,20-232,5.5,14,9,8,5,1,8,12,66.7,4,8,3,5,9,23,24,0,Matches
Eduardo Vargas,clCHI,"FW,MF",34-304,5.6,6,5,3,3,0,3,4,75.0,1,4,1,3,2,8,4,0,Matches
Alisson,brBRA,"DF,MF",18-364,5.3,11,9,4,2,5,3,8,37.5,5,3,0,3,2,13,4,0,Matches
Brahian Palacios,coCOL,"DF,MF",21-300,5.3,7,5,4,2,1,3,11,27.3,8,7,0,7,3,10,5,0,Matches
Mariano,brBRA,DF,38-088,3.6,8,7,4,3,1,6,8,75.0,2,1,1,0,2,10,14,0,Matches
Mauricio Lemos,uyURU,DF,28-266,3.2,3,2,1,2,0,1,3,33.3,2,5,3,2,2,5,9,0,Matches
Lyanco,brBRA,DF,27-231,3.5,7,5,3,4,0,4,7,57.1,3,9,5,4,11,18,9,1,Matches
Paulo Vitor,brBRA,MF,20-024,3.0,9,2,5,4,0,6,12,50.0,6,5,0,5,1,10,10,0,Matches
Rubens,brBRA,"DF,FW",23-090,2.8,15,11,7,6,2,6,11,54.5,5,8,1,7,6,21,9,0,Matches
Jemerson,brBRA,DF,32-026,2.3,2,1,1,1,0,2,2,100.0,0,4,3,1,5,7,4,0,Matches
Deyverson,brBRA,FW,33-134,2.5,1,0,1,0,0,0,1,0.0,1,2,0,2,0,1,6,0,Matches
Pedrinho,brBRA,"MF,DF",26-159,2.3,6,5,3,3,0,3,3,100.0,0,2,0,2,1,7,1,0,Matches
Alan Kardec,brBRA,"FW,DF",35-251,0.9,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Robert Conceição,brBRA,"MF,DF",21-061,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Isaac,brBRA,FW,20-177,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Victor Hugo,brBRA,MF,19-313,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,28.6,24.0,459,280,198,196,65,217,386,56.2,169,227,72,155,206,665,421,2,
Opponent Total,,,28.9,24.0,427,264,192,171,64,206,391,52.7,185,258,100,158,214,641,516,7,
