Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Bastos,aoANG,DF,33-176,22.9,27,22,14,10,3,15,24,62.5,9,20,14,6,26,53,93,1,Matches
John,brBRA,GK,28-219,23.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,14,1,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,18.4,28,16,10,10,8,6,23,26.1,17,20,2,18,8,36,22,0,Matches
Marlon Freitas,brBRA,MF,29-176,18.5,29,20,16,12,1,19,29,65.5,10,29,13,16,15,44,28,0,Matches
Lucas Halter,brBRA,DF,24-140,14.8,12,10,11,1,0,9,20,45.0,11,7,7,0,11,23,67,2,Matches
Júnior Santos,brBRA,FW,29-344,14.6,12,8,4,4,4,7,14,50.0,7,10,3,7,2,14,7,0,Matches
Gregore,brBRA,MF,30-201,14.1,62,41,32,28,2,24,49,49.0,25,16,5,11,18,80,33,0,Matches
Cuiabano,brBRA,DF,21-216,13.4,41,29,22,15,4,20,30,66.7,10,17,2,15,21,62,45,0,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,14.7,13,8,6,6,1,8,11,72.7,3,7,0,7,6,19,9,0,Matches
Damián Suárez,uyURU,DF,36-145,13.8,32,23,16,12,4,19,41,46.3,22,12,3,9,9,41,25,0,Matches
Alexander Barboza,arARG,DF,29-187,12.6,11,7,7,3,1,6,8,75.0,2,20,15,5,15,26,70,0,Matches
Danilo Barbosa,brBRA,MF,28-204,11.9,26,19,15,10,1,13,18,72.2,5,14,7,7,24,50,31,0,Matches
Jefferson Savarino,veVEN,"MF,FW",27-313,13.1,6,2,2,2,2,5,12,41.7,7,7,2,5,2,8,7,0,Matches
Mateo Ponte,uyURU,DF,21-118,9.4,28,21,14,11,3,7,16,43.8,9,6,3,3,18,46,16,0,Matches
Tiquinho Soares,brBRA,"FW,MF",33-246,11.1,8,4,3,3,2,2,5,40.0,3,9,0,9,2,10,8,0,Matches
Fernando Marçal,brBRA,DF,35-213,8.3,17,9,10,6,1,6,15,40.0,9,7,1,6,18,35,34,0,Matches
Igor,brBRA,"FW,MF",23-207,7.3,2,2,0,2,0,1,5,20.0,4,11,2,9,1,3,5,0,Matches
Carlos Eduardo,brBRA,"FW,MF",34-338,6.8,5,3,3,2,0,2,6,33.3,4,3,1,2,6,11,2,0,Matches
Óscar Romero,pyPAR,"MF,FW",32-077,7.2,19,12,11,3,5,9,18,50.0,9,7,0,7,6,25,10,0,Matches
Thiago Almada,arARG,"FW,MF",23-146,4.8,1,0,1,0,0,0,8,0.0,8,4,0,4,2,3,1,0,Matches
Jeffinho,brBRA,"FW,MF",24-264,3.6,6,2,1,5,0,4,9,44.4,5,1,0,1,2,8,0,0,Matches
Hugo,brBRA,DF,22-365,4.9,11,7,9,1,1,6,12,50.0,6,4,1,3,5,16,11,0,Matches
Gatito Fernández,pyPAR,GK,36-174,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Allan,brBRA,MF,33-255,2.3,12,6,6,4,2,8,10,80.0,2,3,2,1,4,16,2,0,Matches
Carlos Alberto,brBRA,FW,22-158,2.0,2,2,1,1,0,0,1,0.0,1,3,1,2,0,2,1,0,Matches
Kauê,brBRA,"MF,FW",19-333,1.9,3,0,2,0,1,1,4,25.0,3,3,0,3,0,3,5,0,Matches
Matheus Martins,brBRA,"MF,FW",21-065,1.8,2,1,1,1,0,2,3,66.7,1,1,0,1,2,4,2,0,Matches
Vitinho,brBRA,DF,25-058,0.7,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
Matheus Nascimento,brBRA,FW,20-200,0.3,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
Diego Hernández,uyURU,"FW,MF",24-089,2.3,6,4,2,3,1,3,5,60.0,2,5,1,4,1,7,4,0,Matches
Yarlen Augusto,brBRA,MF,18-212,0.9,2,1,0,1,1,0,2,0.0,2,2,0,2,1,3,0,0,Matches
Patrick de Paula,brBRA,"MF,FW",25-011,0.3,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,0,0,Matches
Pablo,brBRA,DF,33-090,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
Fabiano,brBRA,DF,18-157,0.2,3,2,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,Matches
Jacob Montes,niNCA,"FW,MF",25-335,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Alex Telles,brBRA,DF,31-279,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,28.8,26.0,430,284,223,158,49,205,405,50.6,200,254,87,167,226,656,559,4,
Opponent Total,,,28.4,26.0,423,247,214,173,36,163,349,46.7,186,296,86,210,205,628,595,8,
