Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,22.7,32,21,8,14,10,13,57,22.8,44,22,3,19,18,50,8,0,Matches
Raniele,brBRA,"MF,DF",27-263,19.4,45,21,19,23,3,23,51,45.1,28,31,12,19,35,80,54,0,Matches
Hugo,brBRA,DF,27-021,19.3,48,22,22,19,7,26,44,59.1,18,17,5,12,21,69,68,0,Matches
Cacá,brBRA,DF,25-147,19.8,24,12,19,4,1,20,24,83.3,4,36,27,9,12,36,90,1,Matches
Wesley,brBRA,FW,19-198,16.0,14,11,2,6,6,8,19,42.1,11,23,0,23,8,22,0,0,Matches
Félix Torres Caicedo,ecECU,DF,27-252,15.5,22,11,16,6,0,11,22,50.0,11,11,6,5,22,44,65,0,Matches
Yuri Alberto,brBRA,FW,23-185,15.7,6,3,0,3,3,3,8,37.5,5,8,1,7,6,12,8,0,Matches
Matheuzinho,brBRA,DF,24-011,15.9,35,30,21,10,4,20,41,48.8,21,23,9,14,19,54,43,2,Matches
Ángel Romero,pyPAR,FW,32-077,12.1,9,5,1,7,1,5,22,22.7,17,9,0,9,3,12,10,0,Matches
Breno,brBRA,MF,19-212,11.6,16,9,3,10,3,6,18,33.3,12,21,4,17,15,31,18,0,Matches
Igor Coronado,brBRA,"MF,FW",32-032,12.4,27,14,10,11,6,11,27,40.7,16,25,3,22,9,36,6,0,Matches
Hugo Souza,brBRA,GK,25-232,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
André Ramalho,brBRA,DF,32-216,9.0,13,8,11,2,0,5,9,55.6,4,12,6,6,16,29,36,0,Matches
Gustavo Henrique,brBRA,DF,31-179,8.2,9,6,6,3,0,4,4,100.0,0,13,10,3,9,18,35,0,Matches
Fagner,brBRA,"DF,MF",35-100,7.7,15,5,6,6,3,7,17,41.2,10,4,2,2,8,23,11,1,Matches
Matheus Donelli,brBRA,GK,22-125,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Carlos Miguel,brBRA,GK,25-346,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches
Ryan Gustavo,brBRA,MF,21-066,5.8,27,14,9,16,2,14,28,50.0,14,12,1,11,7,34,10,0,Matches
Matheus Bidu,brBRA,DF,25-138,6.2,13,6,7,6,0,5,9,55.6,4,6,1,5,11,24,17,0,Matches
Pedro Raul,brBRA,FW,27-319,5.8,10,8,0,9,1,4,8,50.0,4,4,1,3,0,10,6,0,Matches
Gustavo Mosquito,brBRA,FW,27-012,4.5,7,4,3,3,1,1,8,12.5,7,1,0,1,3,10,1,0,Matches
Alex Santana,brBRA,MF,29-129,3.8,12,6,8,4,0,7,10,70.0,3,3,2,1,4,16,6,0,Matches
Pedro Henrique,brBRA,"FW,MF",34-095,3.8,8,4,3,3,2,2,4,50.0,2,2,0,2,1,9,4,0,Matches
Caetano,brBRA,DF,25-087,3.1,4,3,2,2,0,2,3,66.7,1,4,4,0,4,8,20,0,Matches
Talles Magno,brBRA,"MF,FW",22-085,2.2,2,2,1,0,1,1,3,33.3,2,6,1,5,2,4,1,0,Matches
Charles Rigon Matos,brBRA,"MF,DF",28-092,3.6,16,14,8,6,2,9,22,40.9,13,5,2,3,6,22,8,0,Matches
Cássio,brBRA,GK,37-105,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
Léo Mana,brBRA,DF,20-166,2.3,6,3,4,2,0,2,7,28.6,5,5,3,2,3,9,10,0,Matches
Fausto Vera,arARG,MF,24-177,2.4,1,1,0,1,0,1,4,25.0,3,2,1,1,5,6,0,0,Matches
José Andrés Martínez,veVEN,MF,30-043,1.7,5,1,2,2,1,1,2,50.0,1,2,1,1,2,7,4,0,Matches
Giovane,brBRA,"FW,MF",20-300,3.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,3,0,Matches
Paulinho,brBRA,MF,36-056,1.3,6,5,2,3,1,4,6,66.7,2,2,1,1,0,6,3,0,Matches
Raul Bicalho,brBRA,DF,25-148,1.0,0,0,0,0,0,0,0,,0,0,0,0,4,4,2,0,Matches
Gabriel Moscardo,brBRA,MF,18-357,0.9,4,3,2,2,0,2,4,50.0,2,1,0,1,0,4,4,0,Matches
Héctor,esESP,"DF,FW",29-005,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Maycon,brBRA,MF,27-066,0.5,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Matheus Araújo,brBRA,MF,22-120,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Arthur,brBRA,FW,21-191,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
André Carrillo,pePER,"MF,FW",33-097,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Biro,brBRA,"MF,DF",20-152,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Kayke,brBRA,"MF,FW",20-144,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
João Pedro,brBRA,DF,20-263,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.6,26.0,438,253,195,185,58,217,485,44.7,268,313,106,207,253,691,556,6,
Opponent Total,,,28.7,26.0,489,303,246,190,53,227,432,52.5,205,275,96,179,235,724,598,8,
