Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,22.6,35,22,20,9,6,21,38,55.3,17,26,5,21,25,60,52,0,Matches
Gustavo,brBRA,GK,31-193,21.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20.0,31,24,24,5,2,17,21,81.0,4,32,19,13,26,57,131,0,Matches
Yannick Bolasie,cdCOD,FW,35-118,17.4,20,13,5,5,10,7,11,63.6,4,9,1,8,3,23,8,0,Matches
Barreto,brBRA,MF,28-284,16.4,29,20,15,11,3,16,39,41.0,23,36,9,27,10,39,23,0,Matches
Claudinho,brBRA,DF,23-361,16.7,40,25,24,12,4,26,63,41.3,37,25,6,19,25,65,35,0,Matches
Newton,brBRA,MF,24-191,15.7,34,18,15,17,2,13,29,44.8,16,11,2,9,15,49,41,1,Matches
Arthur,brBRA,FW,32-096,13.8,4,2,0,3,1,1,3,33.3,2,10,1,9,1,5,15,0,Matches
Miguel Trauco,pePER,DF,32-025,12.4,21,17,15,5,1,10,18,55.6,8,11,5,6,7,28,31,0,Matches
Matheusinho,brBRA,"MF,FW",26-221,11.6,13,6,9,3,1,7,16,43.8,9,10,0,10,9,22,7,0,Matches
Higor Meritão,brBRA,MF,30-088,10.8,27,16,12,15,0,15,44,34.1,29,15,6,9,22,49,22,1,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,12.9,20,11,10,8,2,8,25,32.0,17,14,2,12,5,25,10,0,Matches
Tobias Figueiredo,ptPOR,DF,30-230,11.1,13,10,8,5,0,8,13,61.5,5,19,17,2,14,27,65,0,Matches
Wilker Ángel,veVEN,DF,31-185,9.8,9,5,6,3,0,6,10,60.0,4,24,14,10,12,21,61,1,Matches
Marquinhos Gabriel,brBRA,MF,34-060,9.4,10,4,7,2,1,4,10,40.0,6,8,1,7,6,16,9,0,Matches
Éder,itITA,FW,37-309,8.5,7,4,0,4,3,2,3,66.7,1,2,0,2,1,8,0,0,Matches
Walisson Maia,brBRA,DF,33-029,9.5,9,8,6,3,0,2,7,28.6,5,8,8,0,7,16,54,2,Matches
Ronald,brBRA,MF,27-093,9.4,31,15,16,9,6,15,32,46.9,17,11,0,11,8,39,6,0,Matches
Allano,brBRA,"FW,MF",29-148,8.0,16,11,8,7,1,9,19,47.4,10,14,1,13,2,18,2,0,Matches
Jonathan,brBRA,DF,32-025,5.7,11,5,9,0,2,6,15,40.0,9,9,1,8,6,17,15,0,Matches
Alisson,brBRA,GK,29-103,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Luis Eduardo Marques dos Santos,brBRA,DF,27-112,2.5,6,4,5,1,0,3,7,42.9,4,3,0,3,3,9,4,0,Matches
Patrick de Paula,brBRA,MF,25-011,1.9,8,4,5,3,0,7,10,70.0,3,2,0,2,1,9,6,0,Matches
Renato Kayser,brBRA,FW,28-215,0.9,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Felipe Vizeu,brBRA,FW,27-191,1.1,3,2,1,2,0,1,2,50.0,1,1,0,1,0,3,0,0,Matches
Yerson Candelo,coCOL,DF,32-208,0.3,3,1,1,2,0,0,0,,0,0,0,0,1,4,0,0,Matches
João Carlos,brBRA,"MF,FW",23-090,0.3,2,2,0,1,1,2,2,100.0,0,0,0,0,1,3,1,0,Matches
Mateo Barcia,uyURU,"MF,FW",23-213,0.3,4,3,1,3,0,3,5,60.0,2,0,0,0,1,5,1,0,Matches
Eliédson,brBRA,MF,21-186,0.3,2,2,2,0,0,2,3,66.7,1,2,1,1,0,2,1,0,Matches
Sergio Antonio De Luiz Junior,brBRA,MF,29-166,0.2,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
Werik Popó,brBRA,FW,22-338,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,30.9,25.0,409,255,225,138,46,211,447,47.2,236,303,99,204,211,620,607,6,
Opponent Total,,,28.5,25.0,443,271,163,210,70,187,393,47.6,206,263,87,176,234,677,427,8,
