Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,23.1,18,12,7,8,3,10,23,43.5,13,10,1,9,6,24,5,0,Matches
William,brBRA,DF,29-169,22.4,78,50,26,40,12,40,75,53.3,35,35,5,30,33,111,63,0,Matches
João Marcelo,brBRA,DF,24-098,22.0,32,20,22,9,1,19,21,90.5,2,30,21,9,32,64,123,0,Matches
Lucas Romero,arARG,MF,30-154,20.0,53,36,17,26,10,22,48,45.8,26,20,3,17,15,68,18,0,Matches
Zé Ivaldo,brBRA,DF,27-211,21.5,22,13,15,6,1,16,31,51.6,15,22,13,9,14,36,93,1,Matches
Lucas Silva,brBRA,MF,31-216,15.0,11,5,4,6,1,5,18,27.8,13,22,4,18,4,15,21,1,Matches
Marlon,brBRA,DF,27-122,15.9,36,23,19,14,3,17,24,70.8,7,23,6,17,16,52,40,1,Matches
Anderson,brBRA,GK,26-198,15.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,3,Matches
Arthur,brBRA,FW,26-078,14.1,16,10,6,5,5,5,13,38.5,8,8,1,7,3,19,6,0,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,11.9,29,17,10,13,6,10,25,40.0,15,33,4,29,4,33,15,1,Matches
Ramiro Benetti,brBRA,MF,31-120,11.0,21,12,7,10,4,15,36,41.7,21,13,3,10,13,34,21,0,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,10.0,11,9,5,2,4,4,13,30.8,9,10,1,9,3,14,7,0,Matches
Cássio,brBRA,GK,37-105,11.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
Kaiki,brBRA,DF,21-195,9.4,31,25,12,16,3,9,16,56.3,7,10,1,9,19,50,34,1,Matches
Matheus Henrique,brBRA,"MF,FW",26-275,8.9,19,11,6,9,4,8,11,72.7,3,14,3,11,3,22,8,0,Matches
Rafael Silva,brBRA,FW,32-168,5.9,4,3,1,3,0,3,3,100.0,0,3,0,3,1,5,4,0,Matches
Kaio Jorge,brBRA,FW,22-239,7.0,1,1,0,1,0,0,1,0.0,1,5,0,5,0,1,7,0,Matches
Lucas Villalba,arARG,DF,30-031,6.7,6,3,5,1,0,3,4,75.0,1,11,5,6,9,15,28,0,Matches
Lautaro Díaz,arARG,FW,26-121,4.5,6,5,1,2,3,1,2,50.0,1,1,0,1,3,9,6,0,Matches
Neris,brBRA,DF,32-094,3.4,6,3,3,2,1,3,4,75.0,1,2,2,0,3,9,11,0,Matches
Walace,brBRA,MF,29-168,3.2,3,2,3,0,0,1,5,20.0,4,0,0,0,5,8,2,0,Matches
Robert,brBRA,"MF,FW",19-159,4.4,3,1,2,1,0,2,6,33.3,4,4,2,2,1,4,5,1,Matches
Juan Ignacio Dinenno,arARG,"FW,DF",30-022,2.7,4,2,0,4,0,1,2,50.0,1,1,0,1,0,4,3,0,Matches
Machado,brBRA,MF,28-243,1.9,4,2,1,3,0,1,1,100.0,0,2,0,2,5,9,0,0,Matches
Vitor Hugo Amorim,brBRA,"MF,FW",20-214,4.8,8,3,3,5,0,4,6,66.7,2,4,2,2,3,11,4,0,Matches
João Wellington,brBRA,"MF,FW",20-261,2.0,7,5,1,3,3,1,2,50.0,1,0,0,0,4,11,3,0,Matches
Helibelton Palacios,coCOL,DF,31-100,1.0,1,0,1,0,0,1,1,100.0,0,1,1,0,3,4,0,0,Matches
José Cifuentes,ecECU,MF,25-191,0.8,3,2,0,2,1,2,3,66.7,1,0,0,0,0,3,3,0,Matches
Mateus Vital,brBRA,"MF,FW",26-220,2.2,7,5,3,2,2,1,5,20.0,4,1,0,1,0,7,0,0,Matches
Rafael Elias,brBRA,FW,25-160,1.1,0,0,0,0,0,0,5,0.0,5,1,1,0,0,0,2,0,Matches
Arthur Rodrigues,brBRA,"FW,MF",20-220,0.9,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
João Pedro,brBRA,"FW,MF",21-230,0.9,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,0,Matches
Wesley Gasolina,brBRA,"DF,MF",24-190,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Fabrizio Peralta,pyPAR,MF,22-048,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.5,26.0,442,282,181,194,67,205,407,50.4,202,287,79,208,205,647,541,9,
Opponent Total,,,28.6,26.0,420,264,197,167,56,214,435,49.2,221,310,79,231,229,649,555,7,
