Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Walter,brBRA,GK,36-306,24.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,7,2,Matches
Marllon Borges,brBRA,DF,32-156,23.0,27,20,22,5,0,18,24,75.0,6,34,21,13,25,52,114,0,Matches
Isidro Pitta,pyPAR,FW,25-036,21.3,5,3,0,3,2,2,8,25.0,6,6,0,6,1,6,16,0,Matches
Alan Empereur,brBRA,DF,30-193,20.8,16,12,11,5,0,11,18,61.1,7,16,10,6,16,32,80,1,Matches
Lucas Mineiro,brBRA,MF,28-208,19.9,47,27,16,29,2,15,26,57.7,11,35,13,22,7,54,44,1,Matches
Denilson,brBRA,MF,23-180,16.5,32,12,11,15,6,14,23,60.9,9,8,0,8,7,39,10,0,Matches
Ramon,brBRA,DF,23-190,17.4,36,22,23,10,3,12,18,66.7,6,15,4,11,17,53,51,0,Matches
Matheus Alexandre,brBRA,DF,25-165,16.3,33,24,23,8,2,25,38,65.8,13,22,3,19,25,58,40,0,Matches
Clayson,brBRA,"FW,MF",29-184,12.5,7,5,1,4,2,3,25,12.0,22,16,1,15,3,10,10,0,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,13.1,16,11,7,8,1,7,22,31.8,15,6,0,6,8,24,7,0,Matches
Max,brBRA,MF,23-130,11.2,13,9,4,6,3,6,14,42.9,8,14,2,12,13,26,8,0,Matches
Fernando Sobral,brBRA,MF,29-277,12.6,43,29,21,18,4,19,35,54.3,16,18,3,15,7,50,22,0,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,10.4,13,5,9,4,0,8,15,53.3,7,9,3,6,13,26,53,0,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,10.4,14,8,6,6,2,4,7,57.1,3,9,1,8,2,16,6,0,Matches
Railan,brBRA,"DF,FW",24-193,8.9,15,9,8,5,2,7,13,53.8,6,4,1,3,15,30,18,0,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,6.6,8,3,1,6,1,5,9,55.6,4,3,0,3,6,14,0,0,Matches
Rikelme,brBRA,DF,21-065,5.5,12,8,8,4,0,9,13,69.2,4,6,0,6,11,23,16,0,Matches
Filipe Augusto,brBRA,MF,31-038,4.3,5,2,4,0,1,2,6,33.3,4,5,0,5,4,9,9,0,Matches
Juan Pablo,brBRA,DF,22-147,2.8,10,7,4,5,1,6,11,54.5,5,0,0,0,2,12,7,0,Matches
André Luis,brBRA,"FW,MF",27-151,4.6,9,6,4,2,3,6,11,54.5,5,4,2,2,1,10,4,0,Matches
Deyverson,brBRA,FW,33-134,2.4,2,1,1,0,1,1,2,50.0,1,2,0,2,1,3,3,0,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,2.2,5,5,4,1,0,3,4,75.0,1,0,0,0,3,8,4,0,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,3.6,6,5,3,2,1,1,5,20.0,4,6,1,5,1,7,5,0,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,1.2,3,2,3,0,0,3,4,75.0,1,3,0,3,1,4,1,0,Matches
Luciano Giménez,arARG,"FW,MF",24-214,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,0.5,2,2,1,1,0,0,0,,0,1,0,1,0,2,0,0,Matches
Jadson,brBRA,MF,19-040,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,25.0,380,237,196,147,37,187,352,53.1,165,243,65,178,191,571,544,4,
Opponent Total,,,28.2,25.0,384,247,179,155,50,162,377,43.0,215,248,76,172,214,598,462,12,
