Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Agustín Rossi,arARG,GK,29-029,24.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Matches
Gerson,brBRA,"MF,FW",27-122,20.3,42,29,21,13,8,13,28,46.4,15,15,3,12,3,45,16,0,Matches
Fabrício Bruno,brBRA,DF,28-220,19.6,22,13,15,6,1,12,14,85.7,2,13,11,2,12,34,82,0,Matches
Pedro,brBRA,FW,27-091,18.4,12,5,0,6,6,2,5,40.0,3,15,2,13,6,18,15,0,Matches
Ayrton Lucas,brBRA,DF,27-092,16.9,26,17,16,7,3,9,24,37.5,15,15,2,13,11,37,28,0,Matches
Luiz Araújo,brBRA,"FW,MF",28-109,16.7,36,24,14,15,7,12,27,44.4,15,24,3,21,20,56,14,0,Matches
Léo Pereira,brBRA,DF,28-232,16.2,24,17,16,8,0,15,24,62.5,9,15,10,5,9,33,68,0,Matches
Wesley,brBRA,DF,21-013,16.2,44,37,27,14,3,18,37,48.6,19,22,10,12,23,67,51,0,Matches
David Luiz,brBRA,DF,37-150,13.7,10,7,4,5,1,2,6,33.3,4,9,5,4,10,20,59,1,Matches
Bruno Henrique,brBRA,FW,33-264,13.8,19,12,6,7,6,5,14,35.7,9,14,0,14,9,28,11,0,Matches
Leo Ortiz,brBRA,"MF,DF",28-260,13.2,21,9,12,7,2,14,19,73.7,5,13,6,7,13,34,26,0,Matches
Allan,brBRA,MF,27-200,12.5,23,12,8,14,1,12,20,60.0,8,13,4,9,13,36,17,1,Matches
Erick Pulgar,clCHI,MF,30-248,11.2,30,18,14,13,3,17,32,53.1,15,10,4,6,20,50,13,0,Matches
Everton Soares,brBRA,FW,28-181,6.0,9,6,1,5,3,1,6,16.7,5,10,0,10,2,11,5,0,Matches
Giorgian De Arrascaeta,uyURU,MF,30-110,8.7,13,9,3,5,5,6,19,31.6,13,9,1,8,3,16,3,0,Matches
Nicolás De La Cruz,uyURU,MF,27-110,8.6,18,12,2,10,6,7,14,50.0,7,11,3,8,8,26,5,1,Matches
Guillermo Varela,uyURU,DF,31-179,8.2,11,9,7,2,2,5,8,62.5,3,6,2,4,10,21,12,0,Matches
Lorran,brBRA,"MF,FW",18-077,6.6,11,9,6,3,2,4,11,36.4,7,4,0,4,2,13,0,0,Matches
Matías Viña,uyURU,DF,26-315,4.7,8,5,3,5,0,5,10,50.0,5,5,0,5,5,13,14,0,Matches
Carlinhos,brBRA,FW,27-220,4.1,5,1,2,1,2,2,4,50.0,2,0,0,0,0,5,3,0,Matches
Matheus Gonçalves,brBRA,"FW,MF",19-032,2.2,5,3,3,0,2,3,7,42.9,4,1,0,1,2,7,1,0,Matches
Igor,brBRA,MF,21-196,0.8,4,3,2,1,1,1,1,100.0,0,4,2,2,3,7,0,0,Matches
Gabriel Barbosa,brBRA,"MF,FW",28-020,3.5,4,2,2,2,0,2,6,33.3,4,1,0,1,0,4,0,0,Matches
Victor Hugo,brBRA,"FW,MF",20-131,2.9,5,4,2,2,1,2,6,33.3,4,2,0,2,0,5,2,0,Matches
Matheus Cunha,brBRA,GK,23-118,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Michael,brBRA,FW,28-191,1.0,1,0,0,0,1,0,0,,0,1,0,1,1,2,3,0,Matches
Gonzalo Plata,ecECU,FW,23-323,1.0,2,2,1,1,0,1,5,20.0,4,0,0,0,1,3,0,0,Matches
Alex Sandro,brBRA,DF,33-237,1.0,2,2,0,1,1,0,0,,0,0,0,0,1,3,2,0,Matches
Evertton,brBRA,MF,21-204,1.0,4,3,1,0,3,1,1,100.0,0,3,1,2,3,7,3,0,Matches
Werton,brBRA,"MF,FW",21-003,0.5,3,2,1,2,0,2,4,50.0,2,1,0,1,1,4,0,0,Matches
Carlos Alcaraz,arARG,MF,21-294,0.5,2,1,2,0,0,0,1,0.0,1,0,0,0,0,2,2,0,Matches
Cleiton,brBRA,DF,21-147,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,28.2,25.0,416,273,191,155,70,173,354,48.9,181,236,69,167,192,608,459,3,
Opponent Total,,,28.2,25.0,436,271,200,183,53,216,456,47.4,240,283,81,202,214,650,592,9,
