Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Fábio,brBRA,GK,43-355,25.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,14,4,Matches
Martinelli,brBRA,"MF,DF",23-132,18.4,24,18,10,12,2,14,26,53.8,12,32,11,21,11,35,33,0,Matches
Ganso,brBRA,MF,34-343,17.8,28,18,10,16,2,9,20,45.0,11,11,2,9,9,37,9,1,Matches
Samuel Xavier,brBRA,DF,34-105,17.8,33,20,19,12,2,19,30,63.3,11,13,5,8,17,50,38,0,Matches
Jhon Arias,coCOL,FW,26-364,14.9,27,15,10,7,10,13,25,52.0,12,18,1,17,6,33,9,0,Matches
Germán Cano,arARG,FW,36-230,12.4,6,4,1,4,1,3,5,60.0,2,4,2,2,1,7,9,1,Matches
Marquinhos,brBRA,"FW,DF",21-165,12.7,22,11,10,10,2,13,20,65.0,7,19,0,19,10,32,17,0,Matches
Thiago dos Santos,brBRA,DF,35-014,12.9,20,13,18,2,0,14,23,60.9,9,15,10,5,20,40,61,1,Matches
André,brBRA,MF,23-065,11.9,24,16,5,17,2,8,14,57.1,6,16,8,8,15,39,14,0,Matches
Diogo Barbosa,brBRA,DF,32-033,11.6,19,14,11,5,3,13,24,54.2,11,6,1,5,8,27,26,0,Matches
Marcelo,brBRA,DF,36-130,9.4,19,14,8,7,4,10,29,34.5,19,13,2,11,8,27,13,0,Matches
Lima,brBRA,"MF,FW",28-100,10.8,21,8,6,11,4,8,16,50.0,8,7,0,7,12,33,6,0,Matches
Antonio Carlos,brBRA,DF,31-196,10.0,5,3,4,1,0,2,4,50.0,2,9,8,1,18,23,60,1,Matches
Keno,brBRA,"FW,MF",35-009,9.4,22,12,3,14,5,5,14,35.7,9,7,3,4,6,28,12,1,Matches
Kauã Elias,brBRA,FW,18-175,8.9,14,6,3,5,6,9,12,75.0,3,3,0,3,2,16,5,0,Matches
Thiago Silva,brBRA,DF,39-363,8.0,8,5,4,4,0,2,4,50.0,2,7,5,2,7,15,47,0,Matches
Alexsander,brBRA,MF,20-347,8.8,24,12,9,9,6,11,29,37.9,18,13,3,10,9,33,9,0,Matches
Felipe Melo,brBRA,DF,41-085,4.6,5,3,4,1,0,3,7,42.9,4,5,3,2,7,12,26,0,Matches
Manoel,brBRA,DF,34-206,5.5,4,3,3,0,1,1,5,20.0,4,7,6,1,2,6,19,0,Matches
John Kennedy,brBRA,"FW,MF",22-124,7.3,5,3,0,4,1,2,7,28.6,5,6,1,5,0,5,8,0,Matches
Kevin Serna,coCOL,FW,26-277,4.6,15,12,9,2,4,10,16,62.5,6,4,0,4,5,20,2,0,Matches
Marlon,brBRA,DF,29-012,3.9,4,4,2,2,0,1,2,50.0,1,6,5,1,3,7,17,1,Matches
Guga,brBRA,DF,26-021,2.9,6,6,2,4,0,5,5,100.0,0,6,3,3,2,8,13,0,Matches
Gabriel,brBRA,MF,31-001,2.6,10,7,4,4,2,6,12,50.0,6,3,0,3,10,20,3,2,Matches
Facundo Bernal,uyURU,MF,21-029,2.6,4,1,2,2,0,2,3,66.7,1,6,1,5,5,9,6,0,Matches
Renato Augusto,brBRA,"MF,FW",36-224,3.5,8,5,3,1,4,5,9,55.6,4,0,0,0,5,13,3,0,Matches
Douglas Costa,brBRA,FW,34-005,3.2,6,6,3,2,1,1,3,33.3,2,4,0,4,2,8,2,0,Matches
David Terans,uyURU,"MF,FW",30-039,2.4,6,4,1,4,1,4,7,57.1,3,4,0,4,0,6,1,0,Matches
Ignácio,brBRA,DF,27-293,2.0,11,6,8,2,1,4,4,100.0,0,3,2,1,0,11,8,0,Matches
Nonato,brBRA,MF,26-200,2.1,13,5,8,5,0,5,10,50.0,5,3,3,0,2,15,3,0,Matches
Isaac,brBRA,"FW,DF",20-148,1.7,2,2,0,0,2,2,3,66.7,1,3,0,3,0,2,1,0,Matches
Esquerdinha,brBRA,"DF,FW",18-204,1.4,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,4,0,Matches
Felipe Vieira,,"DF,MF",,1.8,5,3,3,1,1,1,1,100.0,0,1,1,0,4,9,10,0,Matches
Jan Lucumí González,coCOL,"FW,MF",20-221,1.0,4,0,3,1,0,1,3,33.3,2,4,1,3,1,5,1,0,Matches
Lucas Calegari,brBRA,DF,22-205,0.9,4,4,2,1,1,2,2,100.0,0,1,1,0,1,5,1,0,Matches
Gabriel Fuentes,coCOL,DF,27-223,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,31.0,25.0,429,264,189,172,68,209,397,52.6,188,261,89,172,209,638,511,12,
Opponent Total,,,28.3,25.0,610,394,264,243,103,310,573,54.1,263,242,57,185,230,840,436,4,
