Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,7,1,Matches
Emanuel Brítez,arARG,DF,32-177,19.0,43,27,31,10,2,24,39,61.5,15,21,12,9,15,58,93,0,Matches
Guilherme Tinga,brBRA,DF,31-018,19.7,29,19,21,7,1,16,29,55.2,13,17,4,13,29,58,95,1,Matches
Breno,brBRA,FW,28-239,16.6,11,5,6,5,0,3,5,60.0,2,10,2,8,3,14,11,0,Matches
Hércules,brBRA,MF,23-335,15.5,35,21,13,20,2,13,36,36.1,23,15,3,12,5,40,20,0,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,14.9,23,8,7,16,0,7,22,31.8,15,20,1,19,5,28,15,0,Matches
Felipe Jonatan,brBRA,DF,26-217,15.7,20,14,9,8,3,9,25,36.0,16,14,5,9,23,43,64,0,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,15.0,16,12,3,9,4,6,22,27.3,16,13,0,13,9,25,7,0,Matches
Juan Martín Lucero,arARG,FW,32-294,15.0,11,6,0,9,2,4,19,21.1,15,9,4,5,0,11,15,0,Matches
Titi,brBRA,DF,36-191,14.4,19,11,16,3,0,9,20,45.0,11,17,11,6,16,35,49,3,Matches
Lucas Sasha,brBRA,MF,34-202,13.4,60,41,22,34,4,26,56,46.4,30,35,9,26,26,86,28,0,Matches
Pedro Borges,brBRA,MF,27-200,12.5,57,30,30,23,4,24,33,72.7,9,20,11,9,19,76,34,0,Matches
Tomás Cardona,arARG,DF,28-345,12.0,8,5,4,4,0,5,11,45.5,6,27,15,12,22,30,76,3,Matches
Renato Kayser,brBRA,FW,28-215,10.6,13,6,2,7,4,4,14,28.6,10,10,0,10,2,15,15,0,Matches
Benjamín Kuscevic,clCHI,DF,28-140,10.6,18,12,11,6,1,9,13,69.2,4,15,10,5,9,27,73,2,Matches
Bruno Pacheco,brBRA,DF,32-286,10.7,25,14,18,6,1,18,23,78.3,5,8,2,6,11,36,30,1,Matches
Matheus Rossetto,brBRA,MF,28-108,7.5,7,5,1,5,1,1,8,12.5,7,6,0,6,9,16,9,0,Matches
José Welison,brBRA,MF,29-192,6.7,21,14,13,8,0,9,16,56.3,7,15,5,10,8,29,13,1,Matches
Marinho,brBRA,FW,34-113,6.6,9,6,4,1,4,4,10,40.0,6,10,0,10,2,11,4,1,Matches
Moises,brBRA,FW,28-017,6.6,5,3,1,4,0,2,12,16.7,10,3,0,3,4,9,8,0,Matches
Imanol Machuca,arARG,"FW,MF",24-248,4.8,8,6,3,5,0,4,8,50.0,4,5,0,5,0,8,0,0,Matches
Leandro Emmanuel Martínez,arARG,"MF,FW",30-107,4.0,11,3,6,4,1,7,12,58.3,5,10,3,7,2,13,2,1,Matches
Kervin Andrade,veVEN,MF,19-159,3.5,1,1,1,0,0,1,3,33.3,2,6,0,6,2,3,1,0,Matches
Eros Mancuso,arARG,DF,25-155,0.8,2,1,1,1,0,1,1,100.0,0,4,1,3,0,2,0,0,Matches
Kauan,brBRA,MF,19-156,0.6,1,0,0,1,0,0,2,0.0,2,1,0,1,1,2,1,0,Matches
Pedro Rocha Neves,brBRA,"FW,MF",29-355,0.5,3,2,1,0,2,2,3,66.7,1,2,0,2,0,3,1,0,Matches
Calebe,brBRA,"FW,MF",24-142,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Luis Eduardo Marques dos Santos,brBRA,"FW,DF",27-112,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,30.5,26.0,457,272,225,196,36,208,444,46.8,236,313,98,215,222,679,671,14,
Opponent Total,,,27.8,26.0,380,251,162,172,46,168,374,44.9,206,261,88,173,183,563,488,5,
