Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Wesley,brBRA,"FW,MF",25-173,17.4,23,19,7,12,4,13,32,40.6,19,18,2,16,5,28,10,0,Matches
Thiago Maia,brBRA,MF,27-180,14.5,35,27,11,19,5,19,34,55.9,15,16,5,11,23,58,27,2,Matches
Bruno Henrique,brBRA,"MF,FW",34-334,15.1,29,19,7,15,7,18,41,43.9,23,25,7,18,11,40,25,0,Matches
Vitão,brBRA,DF,24-230,14.0,12,9,10,0,2,7,14,50.0,7,16,8,8,12,24,62,0,Matches
Sergio Rochet,uyURU,GK,31-180,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,0,Matches
Gabriel Mercado,arARG,DF,37-185,12.8,17,6,9,7,1,9,12,75.0,3,7,4,3,10,27,36,0,Matches
Rafael Borré,coCOL,FW,29-004,10.9,9,7,3,4,2,2,13,15.4,11,8,0,8,2,11,10,0,Matches
Fernando,brBRA,"DF,MF",37-056,11.6,23,17,13,9,1,10,15,66.7,5,10,3,7,16,39,36,0,Matches
Romulo,brBRA,MF,24-202,11.4,29,17,14,14,1,13,21,61.9,8,16,8,8,19,48,25,1,Matches
Bruno Gomes,brBRA,"DF,MF",23-168,11.0,28,17,13,10,5,9,19,47.4,10,13,2,11,9,37,24,1,Matches
Renê,brBRA,DF,32-005,10.6,31,20,10,18,3,11,17,64.7,6,7,2,5,17,48,28,0,Matches
Robert Renan,brBRA,DF,20-344,10.7,24,21,16,8,0,14,25,56.0,11,10,5,5,20,44,36,1,Matches
Alexandro Bernabei,arARG,DF,23-361,9.9,21,13,8,11,2,9,20,45.0,11,9,4,5,26,47,22,0,Matches
Gabriel Carvalho,brBRA,"FW,MF",17-033,8.4,16,11,6,8,2,6,18,33.3,12,18,0,18,1,17,6,0,Matches
Fabricio Bustos,arARG,DF,28-144,9.6,38,23,20,12,6,18,25,72.0,7,10,2,8,11,49,29,0,Matches
Wanderson,brBRA,"FW,MF",29-348,8.6,8,4,1,5,2,3,10,30.0,7,6,0,6,5,13,6,0,Matches
Alan Patrick,brBRA,"MF,FW",33-129,8.0,11,9,3,5,3,6,13,46.2,7,9,0,9,1,12,1,0,Matches
Fabrício,brBRA,GK,38-256,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Igor Gomes,brBRA,DF,23-197,6.9,14,8,8,5,1,10,18,55.6,8,15,8,7,7,21,30,0,Matches
Lucas Alario,arARG,FW,31-347,6.8,5,1,1,2,2,0,5,0.0,5,1,0,1,1,6,12,0,Matches
Enner Valencia,ecECU,FW,34-320,5.2,5,4,1,1,3,2,4,50.0,2,4,0,4,1,6,1,0,Matches
Bruno Tabata,brBRA,"MF,FW",27-173,5.1,5,2,1,3,1,2,4,50.0,2,4,1,3,0,5,4,0,Matches
Agustín Rogel,uyURU,DF,26-338,4.3,4,3,1,3,0,3,5,60.0,2,2,0,2,6,10,16,0,Matches
Mauricio,brBRA,MF,23-120,4.2,6,5,0,5,1,1,3,33.3,2,2,0,2,1,7,1,0,Matches
Hugo Mallo,esESP,DF,33-089,4.0,9,7,5,1,3,5,6,83.3,1,4,0,4,4,13,8,0,Matches
Hyoran,brBRA,"FW,MF",31-117,3.7,8,6,2,5,1,3,9,33.3,6,4,0,4,0,8,3,1,Matches
Lucca Holanda,brBRA,"FW,MF",21-170,3.0,3,3,0,1,2,2,5,40.0,3,2,0,2,0,3,0,0,Matches
Charles Aránguiz,clCHI,MF,35-155,3.2,6,5,0,5,1,3,8,37.5,5,4,1,3,1,7,4,0,Matches
Anthoni,brBRA,GK,22-240,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Lucca Drummond,brBRA,FW,20-251,1.8,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
Gustavo Prado,brBRA,"FW,MF",19-105,5.1,17,11,4,8,5,6,18,33.3,12,10,0,10,1,18,4,0,Matches
Matheus Dias,brBRA,"FW,MF",27-225,0.8,3,2,1,2,0,3,5,60.0,2,0,0,0,1,4,0,0,Matches
Ricardo Mathias,brBRA,"FW,MF",18-056,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Nathan,brBRA,DF,23-014,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.6,24.0,441,296,175,199,67,207,419,49.4,212,250,62,188,212,653,485,7,
Opponent Total,,,28.4,24.0,415,266,201,167,47,196,416,47.1,220,255,87,168,237,652,524,8,
