Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Wéverton,brBRA,GK,36-281,25.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,6,0,Matches
Aníbal Moreno,arARG,MF,25-129,19.0,33,24,14,19,0,14,53,26.4,39,12,2,10,34,67,14,1,Matches
Murilo Cerqueira,brBRA,DF,27-176,17.5,28,19,12,14,2,10,18,55.6,8,14,9,5,17,45,66,0,Matches
Raphael Veiga,brBRA,MF,29-092,17.0,16,11,3,12,1,4,18,22.2,14,11,4,7,5,21,5,0,Matches
Estevão,brBRA,FW,18-148,15.5,23,18,12,5,6,11,31,35.5,20,8,0,8,6,29,7,0,Matches
Gustavo Gómez,pyPAR,DF,31-136,16.0,20,14,10,9,1,8,11,72.7,3,24,18,6,21,41,61,0,Matches
José López,arARG,FW,23-288,14.9,10,6,0,6,4,3,14,21.4,11,21,2,19,3,13,6,0,Matches
Joaquín Piquerez,uyURU,DF,26-026,14.6,27,14,15,7,5,18,36,50.0,18,20,4,16,13,40,28,0,Matches
Marcos Rocha,brBRA,DF,35-283,15.5,35,20,17,14,4,13,30,43.3,17,17,6,11,22,57,32,2,Matches
Rony,brBRA,FW,29-131,15.2,14,8,0,8,6,3,9,33.3,6,6,0,6,2,16,9,0,Matches
Richard Ríos,coCOL,MF,24-109,10.6,30,17,8,14,8,7,27,25.9,20,11,0,11,10,40,4,0,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,10.2,26,16,10,14,2,11,23,47.8,12,15,5,10,10,36,9,0,Matches
Mayke,brBRA,DF,31-314,9.6,29,17,10,19,0,13,24,54.2,11,9,3,6,22,51,17,0,Matches
Zé Rafael,brBRA,MF,31-095,9.2,23,14,6,15,2,10,25,40.0,15,8,2,6,11,34,6,0,Matches
Vitor Reis,brBRA,DF,18-251,9.2,16,4,8,7,1,12,20,60.0,8,9,7,2,5,21,37,0,Matches
Kaiky Naves,brBRA,DF,22-134,8.1,25,14,14,10,1,13,18,72.2,5,11,5,6,17,42,34,0,Matches
Lázaro,brBRA,"FW,MF",22-191,8.3,5,2,0,1,4,3,5,60.0,2,8,0,8,0,5,2,0,Matches
Vanderlan,brBRA,DF,22-012,8.2,17,11,4,11,2,8,13,61.5,5,9,1,8,8,25,17,0,Matches
Mauricio,brBRA,"MF,FW",23-120,6.1,9,3,1,7,1,6,8,75.0,2,5,1,4,4,13,3,0,Matches
Caio Paulista,brBRA,"DF,FW",26-131,5.1,15,10,5,9,1,9,13,69.2,4,2,0,2,3,18,8,1,Matches
Endrick,brBRA,"MF,FW",18-060,5.0,5,2,1,4,0,3,5,60.0,2,5,0,5,0,5,2,0,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,5.8,16,10,8,5,3,7,17,41.2,10,13,3,10,4,20,6,0,Matches
Fabinho,brBRA,MF,22-163,4.5,6,4,4,1,1,1,8,12.5,7,9,3,6,6,12,5,0,Matches
Dudu,brBRA,"FW,MF",32-256,3.4,3,3,0,3,0,2,2,100.0,0,0,0,0,2,5,1,0,Matches
Agustín Giay,arARG,DF,20-247,2.8,15,4,9,4,2,9,12,75.0,3,4,2,2,3,18,3,0,Matches
Luan Garcia,brBRA,DF,31-132,2.6,2,1,0,2,0,1,3,33.3,2,2,2,0,2,4,5,1,Matches
Luis Guilherme,brBRA,"FW,DF",18-223,2.0,2,2,1,0,1,1,1,100.0,0,0,0,0,0,2,1,0,Matches
Romulo,brBRA,"FW,MF",22-348,1.7,6,4,3,1,2,2,4,50.0,2,1,0,1,0,6,1,0,Matches
Jhonatan Jowjow,brBRA,MF,22-010,1.6,5,3,2,2,1,0,4,0.0,4,3,0,3,3,8,4,0,Matches
Marcelo Lomba,brBRA,GK,37-276,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Luighi,brBRA,"MF,FW",18-142,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
García,brBRA,"MF,FW",22-259,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Squad Total,,,27.2,26.0,462,276,178,223,61,203,454,44.7,251,259,79,180,233,695,400,5,
Opponent Total,,,28.3,26.0,453,280,238,173,42,227,444,51.1,217,292,124,168,235,688,711,11,
