Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Luan Cândido,brBRA,DF,23-230,19.0,40,27,20,18,2,16,28,57.1,12,22,13,9,30,70,90,1,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,1,Matches
Lucas Evangelista,brBRA,MF,29-136,16.0,23,11,10,11,2,11,22,50.0,11,19,7,12,11,34,17,0,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,16.7,17,7,9,6,2,6,11,54.5,5,9,1,8,5,22,6,0,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,13.1,43,28,23,16,4,20,38,52.6,18,19,7,12,23,66,45,1,Matches
Pedro Henrique,brBRA,DF,28-353,13.8,27,20,24,3,0,14,22,63.6,8,14,9,5,7,34,62,3,Matches
Eduardo Sasha,brBRA,FW,32-208,12.7,4,2,2,1,1,2,5,40.0,3,9,3,6,4,8,9,0,Matches
Helinho,brBRA,"FW,MF",24-147,12.2,9,6,2,2,5,1,11,9.1,10,18,0,18,10,19,11,0,Matches
Jadsom,brBRA,"MF,DF",23-122,11.3,46,30,30,10,6,20,35,57.1,15,6,2,4,14,60,30,0,Matches
Raul,brBRA,MF,28-070,11.8,21,16,8,11,2,13,24,54.2,11,10,3,7,19,40,22,1,Matches
Vitinho,brBRA,"FW,MF",25-171,12.9,21,13,7,12,2,13,19,68.4,6,21,2,19,7,28,22,0,Matches
Nathan Mendes,brBRA,DF,22-031,12.4,24,15,14,7,3,16,25,64.0,9,11,5,6,11,35,27,0,Matches
Douglas Mendes,brBRA,DF,20-098,12.3,20,13,10,10,0,9,13,69.2,4,14,8,6,11,31,55,0,Matches
Eric Ramires,brBRA,MF,24-040,11.5,23,16,11,7,5,12,25,48.0,13,9,2,7,8,31,8,0,Matches
Eduardo Santos,brBRA,DF,26-296,11.0,21,18,12,9,0,8,12,66.7,4,16,12,4,12,33,63,1,Matches
Lincoln,brBRA,"MF,FW",25-317,9.8,22,15,6,9,7,8,21,38.1,13,14,3,11,6,28,12,1,Matches
Gustavinho,brBRA,"MF,FW",20-149,8.8,22,9,6,10,6,8,21,38.1,13,13,1,12,4,26,10,0,Matches
Thiago Borbas,uyURU,FW,22-165,10.6,7,4,0,5,2,3,6,50.0,3,8,4,4,2,9,14,0,Matches
José Hurtado,ecECU,DF,22-271,6.7,15,10,7,6,2,9,12,75.0,3,3,2,1,9,24,24,1,Matches
Lucão,brBRA,GK,23-206,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Jhonatan Jowjow,brBRA,"MF,FW",22-010,4.1,12,9,5,3,4,7,9,77.8,2,5,1,4,1,13,3,0,Matches
Lucas Cunha,brBRA,DF,27-240,4.7,4,4,3,1,0,1,4,25.0,3,7,6,1,2,6,29,0,Matches
Guilherme,brBRA,DF,22-218,4.5,9,4,8,1,0,7,10,70.0,3,4,1,3,8,17,20,0,Matches
Matheus Fernandes,brBRA,MF,26-081,3.6,19,14,8,7,4,7,14,50.0,7,8,0,8,7,26,7,0,Matches
Ignacio Laquintana,uyURU,"FW,MF",25-231,3.1,3,1,2,1,0,1,4,25.0,3,1,0,1,3,6,1,0,Matches
Vinicius Mendonça,brBRA,FW,20-212,2.1,7,7,4,1,2,3,5,60.0,2,4,0,4,0,7,4,0,Matches
Talisson,brBRA,FW,22-121,1.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Fabrício,brBRA,GK,24-096,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Leonardo Realpe,ecECU,DF,23-206,1.0,2,2,1,1,0,0,2,0.0,2,3,2,1,4,6,8,0,Matches
Bruninho,brBRA,"FW,MF",21-189,0.9,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0,Matches
Everton,brBRA,FW,22-208,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Juliano,brBRA,FW,16-202,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Chumbinho,brBRA,"MF,FW",20-363,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Riquelme,brBRA,MF,18-256,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,1,1,0,Matches
Squad Total,,,25.2,25.0,464,302,233,169,62,216,402,53.7,186,270,94,176,218,682,615,10,
Opponent Total,,,28.5,25.0,422,260,193,174,55,189,407,46.4,218,267,76,191,249,671,532,9,
