Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Robert Arboleda,ecECU,DF,32-333,20.7,29,17,17,12,0,14,22,63.6,8,20,12,8,19,48,80,2,Matches
Jonathan Calleri,arARG,FW,30-362,17.6,7,6,0,5,2,1,8,12.5,7,5,0,5,3,10,15,0,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,17.6,41,25,27,10,4,23,37,62.2,14,17,0,17,14,55,25,0,Matches
Welington,brBRA,DF,23-213,16.9,36,20,16,18,2,17,28,60.7,11,10,4,6,20,56,29,0,Matches
Alan Franco,arARG,DF,27-344,15.5,19,12,11,7,1,9,17,52.9,8,15,11,4,6,25,56,1,Matches
Luciano,brBRA,"MF,FW",31-124,15.5,17,11,5,9,3,5,15,33.3,10,17,2,15,5,22,5,0,Matches
Alisson,brBRA,MF,31-086,15.0,25,16,12,11,2,15,29,51.7,14,13,3,10,13,38,13,0,Matches
Rafael Pires,brBRA,GK,35-088,15.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches
Lucas Moura,brBRA,"FW,MF",32-037,14.5,16,7,2,10,4,8,13,61.5,5,7,0,7,12,28,10,0,Matches
Luiz Gustavo,brBRA,MF,37-058,14.7,23,12,13,10,0,8,16,50.0,8,11,3,8,23,46,13,1,Matches
Jandrei,brBRA,GK,31-202,11.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,5,2,Matches
Damián Bobadilla,pyPAR,MF,23-070,9.0,28,15,12,15,1,10,20,50.0,10,15,1,14,5,33,6,0,Matches
André Silva,brBRA,"FW,MF",27-108,10.2,1,0,0,1,0,1,8,12.5,7,9,1,8,5,6,10,0,Matches
Diego,brBRA,DF,25-060,9.9,13,8,8,5,0,6,11,54.5,5,10,5,5,12,25,49,0,Matches
Ferreira,brBRA,"FW,MF",26-263,9.4,17,12,9,6,2,7,14,50.0,7,9,1,8,4,21,4,0,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,8.8,12,8,6,5,1,5,14,35.7,9,5,1,4,8,20,5,0,Matches
Nahuel Ferraresi,veVEN,DF,25-305,8.8,20,17,9,9,2,13,24,54.2,11,20,9,11,7,27,36,0,Matches
Wellington Rato,brBRA,"FW,MF",32-083,8.7,10,3,4,5,1,5,16,31.3,11,4,1,3,2,12,5,0,Matches
Michel Araujo,uyURU,"DF,FW",27-357,8.1,22,14,12,8,2,10,27,37.0,17,10,0,10,6,28,13,0,Matches
José Sabino,brBRA,DF,27-330,5.0,8,7,5,1,2,2,5,40.0,3,4,4,0,8,16,29,0,Matches
Patryck,brBRA,"DF,FW",21-245,4.3,10,5,5,4,1,6,13,46.2,7,3,0,3,5,15,7,0,Matches
Giuliano Galoppo,arARG,MF,25-093,4.1,7,4,1,5,1,3,8,37.5,5,4,0,4,5,12,5,1,Matches
Marcos Antônio,brBRA,MF,24-098,3.4,5,3,2,3,0,3,5,60.0,2,6,0,6,2,7,11,0,Matches
William Gomes,brBRA,"FW,MF",18-188,3.3,7,6,5,2,0,4,11,36.4,7,7,0,7,2,9,0,0,Matches
Juan Santos,brBRA,"FW,MF",22-197,2.9,4,3,0,4,0,1,3,33.3,2,7,1,6,2,6,2,0,Matches
Pablo Maia,brBRA,MF,22-253,2.9,7,2,3,3,1,1,3,33.3,2,4,2,2,0,7,0,0,Matches
Rafinha,brBRA,DF,39-012,2.6,4,1,4,0,0,3,7,42.9,4,4,2,2,2,6,8,1,Matches
João Moreira,ptPOR,"DF,MF",20-121,1.9,4,2,0,4,0,2,3,66.7,1,1,0,1,3,7,3,1,Matches
Erick,brBRA,"MF,FW",26-284,3.9,7,4,3,3,1,0,2,0.0,2,2,0,2,2,9,4,0,Matches
Liziero,brBRA,MF,26-225,1.1,9,6,5,4,0,5,5,100.0,0,1,0,1,0,9,2,0,Matches
Ruan,brBRA,DF,25-104,1.0,3,3,2,1,0,3,3,100.0,0,1,1,0,0,3,8,0,Matches
Santiago Longo,arARG,MF,26-160,0.8,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,3,0,Matches
Rodrigo,brBRA,MF,20-187,0.7,4,2,1,2,1,2,4,50.0,2,3,0,3,1,5,4,0,Matches
James Rodríguez,coCOL,MF,33-069,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Jamal Lewis,nirNIR,DF,26-238,0.2,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,2,0,Matches
Henrique,brBRA,FW,17-315,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.0,26.0,418,252,200,184,34,194,396,49.0,202,246,64,182,197,615,469,10,
Opponent Total,,,28.4,26.0,424,258,203,185,36,200,423,47.3,223,275,95,180,176,600,483,9,
