Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Lucas Arcanjo,brBRA,GK,26-042,26.0,1,0,1,0,0,1,4,25.0,3,0,0,0,1,2,7,3,Matches
Wagner,brBRA,DF,25-058,24.1,24,12,15,8,1,14,19,73.7,5,32,23,9,36,60,132,1,Matches
Willian,brBRA,MF,31-126,20.6,33,23,13,19,1,17,35,48.6,18,23,4,19,18,51,35,1,Matches
Matheusinho,brBRA,"MF,FW",26-337,18.8,33,22,15,10,8,13,24,54.2,11,9,2,7,21,54,4,0,Matches
Alerrandro,brBRA,FW,24-251,17.1,16,11,4,11,1,6,18,33.3,12,18,5,13,7,23,17,0,Matches
Lucas Esteves,brBRA,"DF,MF",24-087,21.6,36,26,26,8,2,16,28,57.1,12,21,5,16,20,56,55,0,Matches
Willean Lepo,brBRA,DF,27-247,18.0,56,39,39,10,7,41,70,58.6,29,25,8,17,27,83,61,1,Matches
Luan Silva,brBRA,MF,25-128,13.6,15,10,4,10,1,7,11,63.6,4,10,0,10,20,35,23,0,Matches
Osvaldo,brBRA,"MF,FW",37-161,11.9,8,7,4,4,0,5,19,26.3,14,10,1,9,6,14,5,0,Matches
Léo Naldi,brBRA,MF,23-032,11.6,37,24,18,17,2,18,30,60.0,12,18,5,13,16,53,21,1,Matches
Janderson,brBRA,"FW,MF",25-136,10.0,15,9,7,8,0,4,8,50.0,4,11,1,10,1,16,14,1,Matches
Caio Vinícius,brBRA,"DF,MF",25-252,6.7,14,7,8,5,1,5,9,55.6,4,7,2,5,6,20,26,0,Matches
Raúl Cáceres,pyPAR,"DF,MF",33-001,8.0,22,13,11,9,2,15,26,57.7,11,5,1,4,5,27,29,0,Matches
Patric Calmon PK,brBRA,DF,30-076,5.5,10,5,4,5,1,6,8,75.0,2,7,4,3,15,25,16,0,Matches
Neris,brBRA,DF,32-094,5.1,10,4,7,3,0,7,11,63.6,4,8,4,4,4,14,23,0,Matches
Ricardo,brBRA,MF,30-205,4.7,19,14,8,9,2,9,17,52.9,8,4,2,2,4,23,6,0,Matches
Camutanga,brBRA,DF,30-358,5.0,8,5,7,0,1,5,9,55.6,4,7,6,1,2,10,19,0,Matches
Bruno Uvini,brBRA,DF,33-108,4.8,1,1,0,1,0,1,1,100.0,0,6,3,3,6,7,15,0,Matches
Machado,brBRA,MF,28-243,4.6,7,5,3,4,0,5,9,55.6,4,3,0,3,4,11,9,0,Matches
Zeca,brBRA,DF,30-126,4.3,10,5,5,3,2,3,8,37.5,5,4,3,1,3,13,8,0,Matches
Rodrigo Andrade,brBRA,"MF,FW",27-107,4.3,6,5,4,1,1,4,5,80.0,1,8,3,5,3,9,3,0,Matches
Dudu,brBRA,MF,25-106,3.3,12,6,6,6,0,2,9,22.2,7,7,0,7,2,14,1,0,Matches
Jean Mota,brBRA,MF,30-340,4.1,3,2,1,2,0,2,6,33.3,4,1,1,0,0,3,5,0,Matches
Reynaldo Cesar Moraes,brBRA,DF,27-260,4.0,10,6,6,4,0,3,6,50.0,3,9,5,4,0,10,22,0,Matches
Carlos Eduardo,brBRA,"FW,MF",27-345,3.2,9,8,4,2,3,4,7,57.1,3,3,0,3,1,10,11,0,Matches
Erick Castillo,ecECU,"FW,MF",29-227,3.0,2,0,2,0,0,2,4,50.0,2,4,0,4,0,2,4,0,Matches
Mateus Gonçalves Martins,brBRA,"MF,FW",29-357,2.3,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,2,0,Matches
Luiz Adriano,brBRA,FW,37-160,2.2,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches
Everaldo,brBRA,"MF,FW",30-114,1.6,3,2,2,1,0,2,3,66.7,1,0,0,0,0,3,1,0,Matches
Daniel Jr,brBRA,"MF,FW",22-133,1.5,3,1,1,2,0,2,4,50.0,2,0,0,0,0,3,0,0,Matches
Gustavo Mosquito,brBRA,FW,27-012,1.3,2,1,0,2,0,0,0,,0,1,1,0,1,3,2,0,Matches
José Hugo,brBRA,"MF,FW",24-338,5.6,11,10,3,6,2,6,11,54.5,5,4,0,4,4,15,4,0,Matches
EDU,brBRA,DF,24-095,1.5,1,1,1,0,0,0,1,0.0,1,3,2,1,1,2,13,0,Matches
Iury de Castilho,brBRA,"FW,MF",29-013,1.4,2,0,2,0,0,1,1,100.0,0,2,0,2,0,2,1,0,Matches
Fábio Soares,brBRA,MF,19-291,1.0,4,3,2,2,0,1,1,100.0,0,3,0,3,0,4,2,0,Matches
Lawan,brBRA,FW,19-117,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Pablo Baianinho,brBRA,"MF,DF",21-047,0.3,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
Léo Gamalho,brBRA,FW,38-233,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Luis Miguel,brBRA,"MF,FW",19-228,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
José Breno,brBRA,MF,20-105,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Squad Total,,,27.6,26.0,445,288,233,174,38,227,426,53.3,199,276,92,184,235,680,596,8,
Opponent Total,,,28.5,26.0,501,323,198,226,77,211,415,50.8,204,249,75,174,199,700,494,3,
