Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Kaique Rocha,brBRA,DF,23-204,21.6,33,1.53,25,1,3,2,0,2,2,0.09,2,0,0,0,0,0,Matches
Erick,brBRA,"MF,DF",26-310,18.7,33,1.76,30,0,0,1,2,0,2,0.11,2,0,0,0,0,0,Matches
Lucas Esquivel,arARG,DF,22-341,17.8,52,2.92,35,12,2,1,2,0,6,0.34,4,0,0,0,2,0,Matches
Fernandinho,brBRA,MF,39-138,15.2,72,4.75,57,8,1,1,2,3,8,0.53,7,0,0,0,0,1,Matches
Thiago Heleno,brBRA,DF,36-002,14.5,9,0.62,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Leonardo Linck,brBRA,GK,23-200,13.6,4,0.29,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christian,brBRA,"MF,FW",23-275,13.3,34,2.56,24,2,0,3,4,1,2,0.15,2,0,0,0,0,0,Matches
Leonardo Godoy,arARG,DF,29-144,11.9,17,1.43,12,2,1,0,2,0,3,0.25,2,0,1,0,0,0,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,11.9,67,5.63,50,9,2,3,1,2,8,0.67,7,1,0,0,0,0,Matches
Julimar,brBRA,"FW,MF",23-238,13.3,46,3.45,33,1,5,5,1,1,2,0.15,0,0,0,2,0,0,Matches
Mateo Gamarra,pyPAR,DF,23-335,11.6,9,0.78,6,1,0,1,0,1,2,0.17,2,0,0,0,0,0,Matches
Tomás Cuello,arARG,"FW,MF",24-198,10.5,51,4.85,35,3,7,4,2,0,3,0.29,3,0,0,0,0,0,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,9.7,33,3.39,24,3,2,2,2,0,2,0.21,1,0,1,0,0,0,Matches
Nikão,brBRA,"FW,MF",32-052,9.7,50,5.16,38,4,2,3,1,2,2,0.21,2,0,0,0,0,0,Matches
Pablo,brBRA,"FW,MF",32-088,10.1,28,2.78,24,1,0,2,0,1,1,0.10,1,0,0,0,0,0,Matches
Gabriel,brBRA,MF,32-071,9.4,27,2.87,25,0,0,0,1,1,1,0.11,1,0,0,0,0,0,Matches
Gonzalo Mastriani,uyURU,FW,31-144,8.7,19,2.18,16,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Bento,brBRA,GK,25-101,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Di Yorio,arARG,FW,27-302,6.9,12,1.75,6,0,3,3,0,0,0,0.00,0,0,0,0,0,0,Matches
Fernando,brBRA,DF,25-005,5.8,16,2.77,13,1,1,0,1,0,1,0.17,1,0,0,0,0,0,Matches
Mádson,brBRA,DF,32-250,7.6,21,2.77,13,6,0,0,2,0,1,0.13,1,0,0,0,0,0,Matches
João Machado Cruz,brBRA,MF,18-130,4.3,22,5.14,19,1,1,1,0,0,2,0.47,2,0,0,0,0,0,Matches
Mycael,brBRA,GK,20-191,3.4,1,0.30,0,1,0,0,0,0,1,0.30,0,1,0,0,0,0,Matches
Filipinho,brBRA,MF,22-337,1.9,2,1.03,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Emersonn,brBRA,"FW,MF",20-065,1.8,4,2.24,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
José Vitor Silva Neves,brBRA,"MF,FW",24-140,2.0,3,1.53,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Santana,brBRA,"MF,FW",29-129,1.1,2,1.78,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,0.3,5,19.57,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kayke Santos,brBRA,FW,16-146,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,27.3,24.0,672,28.00,505,61,31,35,26,14,49,2.04,40,2,2,2,2,1,
Opponent Total,,,28.0,24.0,548,22.83,390,51,41,33,27,6,45,1.87,26,5,5,7,2,0,
