Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Adriano Martins,brBRA,DF,27-171,22.6,15,0.66,15,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Guilherme Romão,brBRA,DF,26-348,22.5,61,2.72,41,7,3,4,6,0,5,0.22,4,0,0,1,0,0,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,21.9,49,2.23,38,1,3,2,5,0,1,0.05,1,0,0,0,0,0,Matches
Ronaldo,brBRA,GK,28-028,22.0,4,0.18,3,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches
Shaylon,brBRA,"FW,MF",27-145,19.2,83,4.32,45,33,2,2,1,0,1,0.05,0,1,0,0,0,0,Matches
Gabriel Baralhas,brBRA,MF,25-345,16.6,56,3.38,41,2,1,5,4,3,4,0.24,3,0,0,1,0,0,Matches
Rhaldney,brBRA,MF,25-304,16.4,38,2.32,33,0,0,3,1,1,1,0.06,1,0,0,0,0,0,Matches
Maguinho,brBRA,DF,31-257,15.1,32,2.12,27,2,0,2,1,0,2,0.13,1,0,0,0,1,0,Matches
Alix Vinicius,brBRA,DF,24-318,12.7,17,1.34,15,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Emiliano Rodríguez,uyURU,FW,21-065,12.2,20,1.61,12,1,3,1,2,1,0,0.00,0,0,0,0,0,0,Matches
Lucas Kal,brBRA,"MF,DF",28-187,12.8,10,0.78,7,0,1,1,0,1,1,0.08,1,0,0,0,0,0,Matches
Alejo Cruz,uyURU,"MF,FW",24-018,13.2,65,4.92,37,23,0,3,2,0,3,0.23,1,1,0,1,0,0,Matches
Luiz Felipe,brBRA,DF,31-010,9.1,6,0.66,4,0,0,0,2,0,2,0.22,1,0,0,0,1,0,Matches
Bruno Tubarão,brBRA,DF,29-198,8.1,20,2.48,18,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Budiga Roni,brBRA,"MF,DF",25-157,7.9,9,1.15,8,0,0,1,0,0,1,0.13,1,0,0,0,0,0,Matches
Pedrão,brBRA,DF,31-276,6.1,2,0.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gonzalo Freitas,uyURU,MF,32-353,6.0,2,0.33,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Janderson,brBRA,"FW,MF",25-206,5.9,23,3.92,13,6,1,2,1,0,1,0.17,0,0,0,1,0,0,Matches
Joel Campbell,crCRC,"MF,FW",32-085,4.7,22,4.64,17,0,1,2,1,1,0,0.00,0,0,0,0,0,0,Matches
Derek,brBRA,FW,26-292,4.5,19,4.25,9,0,3,3,4,0,1,0.22,0,0,1,0,0,0,Matches
Jan Carlos Hurtado,veVEN,FW,24-198,4.3,13,2.99,9,0,2,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Pedro Rangel,brBRA,GK,24-082,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vágner Love,brBRA,"FW,MF",40-100,2.0,5,2.56,3,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Yony González,coCOL,"FW,MF",30-070,3.0,15,5.06,8,0,2,2,3,0,1,0.34,1,0,0,0,0,0,Matches
Yeferson Rodallega,coCOL,DF,23-301,1.2,1,0.85,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Philipe Sampaio,brBRA,DF,29-313,1.0,2,2.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Gabriel Barros,brBRA,"FW,MF",22-330,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dé Marcão,brBRA,DF,23-127,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luiz Gustavo,brBRA,DF,21-112,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Max,brBRA,"FW,MF",22-083,2.9,15,5.11,7,0,1,2,5,0,2,0.68,0,0,0,1,1,0,Matches
Danielzinho,brBRA,"MF,FW",28-252,1.1,8,6.99,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Jorginho,brBRA,"MF,FW",33-258,0.8,6,7.40,2,0,0,0,3,1,2,2.47,1,0,0,0,1,0,Matches
Rafael Haller,uyURU,DF,24-033,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mateo Zuleta,coCOL,"FW,MF",22-104,0.5,3,5.51,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Matías Lacava,veVEN,MF,21-331,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gustavo Campanharo,brBRA,MF,32-168,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Eli,brBRA,FW,20-180,0.2,1,6.43,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Randerson,brBRA,MF,20-191,0.2,1,6.43,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,27.3,26.0,626,24.08,427,76,26,43,45,9,30,1.15,17,3,1,5,4,0,
Opponent Total,,,28.2,26.0,609,23.42,441,49,34,39,35,11,70,2.69,48,4,6,6,6,0,
