Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Paulinho,brBRA,"FW,MF",24-066,18.9,75,3.97,60,2,5,4,4,0,3,0.16,2,0,0,0,1,0,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,18.6,79,4.24,49,13,1,9,5,2,9,0.48,5,2,0,2,0,0,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,18.4,17,0.92,14,0,1,1,1,0,2,0.11,2,0,0,0,0,0,Matches
Renzo Saravia,arARG,DF,31-095,15.7,37,2.35,35,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Bruno Fuchs,brBRA,DF,25-171,15.2,24,1.58,21,0,1,1,0,1,2,0.13,2,0,0,0,0,0,Matches
Hulk,brBRA,FW,38-056,14.0,57,4.08,25,7,5,9,11,0,8,0.57,4,0,1,3,0,0,Matches
Otávio,brBRA,MF,30-138,13.9,19,1.36,15,1,1,0,1,1,2,0.14,1,1,0,0,0,0,Matches
Éverson,brBRA,GK,34-059,14.0,1,0.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alan Franco,ecECU,MF,26-029,13.0,31,2.38,28,1,0,2,0,0,1,0.08,1,0,0,0,0,0,Matches
Guilherme Arana,brBRA,DF,27-158,12.1,44,3.63,37,2,0,3,1,1,3,0.25,2,0,0,1,0,0,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,10.0,15,1.49,7,1,1,2,4,0,1,0.10,1,0,0,0,0,0,Matches
Matheus Mendes,brBRA,GK,25-193,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Igor Gomes,brBRA,MF,25-186,9.1,34,3.75,29,3,1,0,1,0,2,0.22,2,0,0,0,0,0,Matches
Federico Zaracho,arARG,MF,26-193,8.0,25,3.11,18,2,1,2,2,0,1,0.12,0,0,0,0,1,0,Matches
Fausto Vera,arARG,MF,24-177,6.6,8,1.22,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Bernard,brBRA,"MF,FW",32-011,6.2,29,4.66,23,3,3,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Igor Rabello,brBRA,DF,29-144,6.2,7,1.13,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Júnior Alonso,pyPAR,DF,31-223,5.6,10,1.78,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rômulo,brBRA,DF,20-232,5.5,9,1.64,7,0,0,1,0,1,1,0.18,1,0,0,0,0,0,Matches
Eduardo Vargas,clCHI,"FW,MF",34-304,5.6,27,4.84,18,0,3,1,5,0,4,0.72,1,0,0,0,3,0,Matches
Alisson,brBRA,"DF,MF",18-364,5.3,17,3.19,7,4,2,0,3,1,0,0.00,0,0,0,0,0,0,Matches
Brahian Palacios,coCOL,"DF,MF",21-300,5.3,15,2.85,7,1,2,2,3,0,5,0.95,2,0,0,1,2,0,Matches
Mariano,brBRA,DF,38-088,3.6,10,2.77,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mauricio Lemos,uyURU,DF,28-266,3.2,1,0.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lyanco,brBRA,DF,27-231,3.5,1,0.28,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Paulo Vitor,brBRA,MF,20-024,3.0,7,2.32,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rubens,brBRA,"DF,FW",23-090,2.8,8,2.82,7,0,0,0,0,1,1,0.35,1,0,0,0,0,0,Matches
Jemerson,brBRA,DF,32-026,2.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Deyverson,brBRA,FW,33-134,2.5,4,1.62,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedrinho,brBRA,"MF,DF",26-159,2.3,12,5.22,11,0,0,0,1,0,2,0.87,1,0,0,0,1,0,Matches
Alan Kardec,brBRA,"FW,DF",35-251,0.9,4,4.50,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Robert Conceição,brBRA,"MF,DF",21-061,0.1,4,32.73,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Isaac,brBRA,FW,20-177,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Victor Hugo,brBRA,MF,19-313,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.6,24.0,631,26.29,469,42,29,39,44,8,48,2.00,29,3,1,7,8,0,
Opponent Total,,,28.9,24.0,480,20.00,324,48,29,27,40,12,61,2.54,39,5,4,7,5,1,
