Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Marcos Felipe,brBRA,GK,28-159,26.0,4,0.15,3,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Jean Lucas,brBRA,MF,26-089,23.4,61,2.60,50,1,1,4,4,1,7,0.30,7,0,0,0,0,0,Matches
Gabriel,brBRA,DF,23-136,24.0,9,0.37,8,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Caio Alexandre,brBRA,MF,25-208,22.3,53,2.38,50,0,1,1,1,0,3,0.13,3,0,0,0,0,0,Matches
Cauly Oliveira Souza,brBRA,"MF,FW",29-004,21.3,101,4.73,64,18,7,2,8,2,10,0.47,6,1,1,0,2,0,Matches
Luciano Juba,brBRA,DF,25-021,22.9,51,2.23,40,9,0,0,2,0,3,0.13,3,0,0,0,0,0,Matches
Everton Ribeiro,brBRA,MF,35-162,20.2,78,3.87,68,3,1,2,3,1,11,0.55,11,0,0,0,0,0,Matches
Thaciano,brBRA,FW,29-130,19.2,43,2.24,28,2,3,6,4,0,4,0.21,3,0,0,1,0,0,Matches
Everaldo Stum,brBRA,FW,33-076,17.7,34,1.93,23,1,2,7,1,0,5,0.28,3,0,1,1,0,0,Matches
Kanu,brBRA,DF,27-196,20.0,4,0.20,4,0,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
Santiago Arias,coCOL,DF,32-250,14.2,33,2.32,27,2,0,2,1,1,1,0.07,0,0,0,1,0,0,Matches
Gilberto,brBRA,DF,31-196,10.3,23,2.23,22,0,0,1,0,0,1,0.10,1,0,0,0,0,0,Matches
Víctor Cuesta,arARG,DF,35-305,5.1,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ademir Santos,brBRA,"FW,MF",29-216,6.0,19,3.14,12,0,5,1,1,0,4,0.66,2,0,1,1,0,0,Matches
Rezende,brBRA,"MF,DF",29-261,5.9,4,0.68,2,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Biel,brBRA,"FW,MF",23-171,7.7,36,4.70,26,3,2,2,3,0,5,0.65,4,0,1,0,0,0,Matches
Carlos de Pena,uyURU,MF,32-192,6.0,27,4.48,15,9,1,1,1,0,5,0.83,3,2,0,0,0,0,Matches
Iago,brBRA,"DF,MF",27-180,4.1,6,1.47,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oscar Estupiñan,coCOL,"FW,MF",27-265,2.8,8,2.86,7,0,0,0,0,1,1,0.36,1,0,0,0,0,0,Matches
Luciano Rodríguez,uyURU,FW,21-065,1.9,9,4.82,5,0,0,1,3,0,0,0.00,0,0,0,0,0,0,Matches
Cicinho,bgBUL,"DF,FW",35-268,0.9,3,3.18,3,0,0,0,0,0,1,1.06,1,0,0,0,0,0,Matches
David Duarte,brBRA,DF,29-239,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rafael Ratão,brBRA,"FW,MF",28-294,2.4,12,4.98,6,0,3,3,0,0,5,2.07,2,0,2,1,0,0,Matches
Yago,brBRA,MF,29-229,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vitor Hugo,brBRA,DF,33-122,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tiago,brBRA,FW,19-164,0.1,1,6.92,1,0,0,0,0,0,1,6.92,1,0,0,0,0,0,Matches
Ruan Pablo,brBRA,MF,16-058,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.6,26.0,621,23.88,472,51,26,34,32,6,70,2.69,54,3,6,5,2,0,
Opponent Total,,,28.2,26.0,584,22.46,404,51,40,42,37,10,47,1.81,29,5,2,6,4,1,
