Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Bastos,aoANG,DF,33-176,22.9,13,0.57,12,0,0,1,0,0,2,0.09,2,0,0,0,0,0,Matches
John,brBRA,GK,28-219,23.0,7,0.30,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,18.4,62,3.37,35,1,11,5,10,0,7,0.38,4,0,1,0,2,0,Matches
Marlon Freitas,brBRA,MF,29-176,18.5,60,3.25,58,0,0,2,0,0,5,0.27,4,0,0,1,0,0,Matches
Lucas Halter,brBRA,DF,24-140,14.8,13,0.88,12,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
Júnior Santos,brBRA,FW,29-344,14.6,36,2.47,20,0,10,3,3,0,5,0.34,2,0,2,1,0,0,Matches
Gregore,brBRA,MF,30-201,14.1,29,2.05,26,1,1,0,1,0,3,0.21,3,0,0,0,0,0,Matches
Cuiabano,brBRA,DF,21-216,13.4,28,2.09,21,3,0,4,0,0,6,0.45,4,1,0,1,0,0,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,14.7,40,2.73,35,2,0,1,1,1,4,0.27,3,0,0,1,0,0,Matches
Damián Suárez,uyURU,DF,36-145,13.8,33,2.39,25,7,0,0,1,0,2,0.14,1,1,0,0,0,0,Matches
Alexander Barboza,arARG,DF,29-187,12.6,9,0.71,6,0,0,2,0,1,1,0.08,1,0,0,0,0,0,Matches
Danilo Barbosa,brBRA,MF,28-204,11.9,21,1.76,14,0,1,2,4,0,3,0.25,1,0,0,1,1,0,Matches
Jefferson Savarino,veVEN,"MF,FW",27-313,13.1,68,5.17,42,22,0,4,0,0,8,0.61,7,1,0,0,0,0,Matches
Mateo Ponte,uyURU,DF,21-118,9.4,17,1.81,14,0,1,1,0,1,3,0.32,2,0,0,0,0,1,Matches
Tiquinho Soares,brBRA,"FW,MF",33-246,11.1,31,2.79,27,0,0,3,1,0,6,0.54,5,0,0,1,0,0,Matches
Fernando Marçal,brBRA,DF,35-213,8.3,20,2.40,11,8,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Igor,brBRA,"FW,MF",23-207,7.3,28,3.83,15,0,2,8,2,1,4,0.55,1,0,0,3,0,0,Matches
Carlos Eduardo,brBRA,"FW,MF",34-338,6.8,18,2.64,13,1,0,2,2,0,1,0.15,1,0,0,0,0,0,Matches
Óscar Romero,pyPAR,"MF,FW",32-077,7.2,27,3.74,10,9,2,4,2,0,3,0.42,0,3,0,0,0,0,Matches
Thiago Almada,arARG,"FW,MF",23-146,4.8,30,6.25,19,7,1,3,0,0,2,0.42,1,0,0,1,0,0,Matches
Jeffinho,brBRA,"FW,MF",24-264,3.6,10,2.78,5,1,1,3,0,0,2,0.56,1,0,0,1,0,0,Matches
Hugo,brBRA,DF,22-365,4.9,13,2.64,8,4,0,0,1,0,2,0.41,0,1,0,0,1,0,Matches
Gatito Fernández,pyPAR,GK,36-174,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Allan,brBRA,MF,33-255,2.3,2,0.89,2,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
Carlos Alberto,brBRA,FW,22-158,2.0,6,2.93,2,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Kauê,brBRA,"MF,FW",19-333,1.9,1,0.54,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matheus Martins,brBRA,"MF,FW",21-065,1.8,7,3.91,6,0,0,0,1,0,1,0.56,1,0,0,0,0,0,Matches
Vitinho,brBRA,DF,25-058,0.7,2,2.69,2,0,0,0,0,0,1,1.34,1,0,0,0,0,0,Matches
Matheus Nascimento,brBRA,FW,20-200,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Diego Hernández,uyURU,"FW,MF",24-089,2.3,12,5.22,6,4,1,0,1,0,3,1.30,1,1,1,0,0,0,Matches
Yarlen Augusto,brBRA,MF,18-212,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrick de Paula,brBRA,"MF,FW",25-011,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo,brBRA,DF,33-090,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fabiano,brBRA,DF,18-157,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jacob Montes,niNCA,"FW,MF",25-335,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Telles,brBRA,DF,31-279,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.8,26.0,643,24.73,453,71,34,51,30,4,76,2.92,48,8,4,11,4,1,
Opponent Total,,,28.4,26.0,584,22.46,417,58,25,35,40,9,41,1.58,27,1,3,5,4,1,
