Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,22.7,128,5.63,76,37,0,6,7,2,6,0.26,2,3,0,1,0,0,Matches
Raniele,brBRA,"MF,DF",27-263,19.4,32,1.65,26,0,0,0,4,2,2,0.10,0,0,0,0,2,0,Matches
Hugo,brBRA,DF,27-021,19.3,30,1.56,21,4,1,0,3,1,3,0.16,3,0,0,0,0,0,Matches
Cacá,brBRA,DF,25-147,19.8,16,0.81,13,0,0,3,0,0,2,0.10,2,0,0,0,0,0,Matches
Wesley,brBRA,FW,19-198,16.0,75,4.70,45,2,17,2,8,1,5,0.31,2,0,3,0,0,0,Matches
Félix Torres Caicedo,ecECU,DF,27-252,15.5,16,1.03,14,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Yuri Alberto,brBRA,FW,23-185,15.7,39,2.48,23,0,2,7,5,2,4,0.25,3,0,0,0,0,1,Matches
Matheuzinho,brBRA,DF,24-011,15.9,44,2.76,32,7,2,1,2,0,1,0.06,1,0,0,0,0,0,Matches
Ángel Romero,pyPAR,FW,32-077,12.1,36,2.97,28,0,1,2,4,1,2,0.16,1,0,0,0,1,0,Matches
Breno,brBRA,MF,19-212,11.6,26,2.24,21,2,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Igor Coronado,brBRA,"MF,FW",32-032,12.4,70,5.67,46,14,1,2,5,2,2,0.16,2,0,0,0,0,0,Matches
Hugo Souza,brBRA,GK,25-232,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
André Ramalho,brBRA,DF,32-216,9.0,9,1.00,5,1,0,3,0,0,2,0.22,2,0,0,0,0,0,Matches
Gustavo Henrique,brBRA,DF,31-179,8.2,5,0.61,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Fagner,brBRA,"DF,MF",35-100,7.7,24,3.13,18,6,0,0,0,0,4,0.52,2,2,0,0,0,0,Matches
Matheus Donelli,brBRA,GK,22-125,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Miguel,brBRA,GK,25-346,6.0,2,0.33,2,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Ryan Gustavo,brBRA,MF,21-066,5.8,4,0.68,2,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Matheus Bidu,brBRA,DF,25-138,6.2,17,2.76,12,2,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Raul,brBRA,FW,27-319,5.8,15,2.57,10,0,0,3,0,2,2,0.34,1,0,0,1,0,0,Matches
Gustavo Mosquito,brBRA,FW,27-012,4.5,12,2.68,10,0,1,0,0,1,1,0.22,0,0,0,0,0,1,Matches
Alex Santana,brBRA,MF,29-129,3.8,7,1.82,7,0,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
Pedro Henrique,brBRA,"FW,MF",34-095,3.8,12,3.17,9,0,0,2,1,0,1,0.26,1,0,0,0,0,0,Matches
Caetano,brBRA,DF,25-087,3.1,3,0.96,2,0,0,1,0,0,1,0.32,1,0,0,0,0,0,Matches
Talles Magno,brBRA,"MF,FW",22-085,2.2,3,1.34,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Charles Rigon Matos,brBRA,"MF,DF",28-092,3.6,4,1.13,4,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
Cássio,brBRA,GK,37-105,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Léo Mana,brBRA,DF,20-166,2.3,4,1.73,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fausto Vera,arARG,MF,24-177,2.4,5,2.12,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
José Andrés Martínez,veVEN,MF,30-043,1.7,4,2.29,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Giovane,brBRA,"FW,MF",20-300,3.0,8,2.63,4,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Paulinho,brBRA,MF,36-056,1.3,4,3.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Raul Bicalho,brBRA,DF,25-148,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gabriel Moscardo,brBRA,MF,18-357,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Héctor,esESP,"DF,FW",29-005,0.6,1,1.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Maycon,brBRA,MF,27-066,0.5,4,7.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matheus Araújo,brBRA,MF,22-120,0.5,1,2.09,0,1,0,0,0,0,1,2.09,0,1,0,0,0,0,Matches
Arthur,brBRA,FW,21-191,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
André Carrillo,pePER,"MF,FW",33-097,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Biro,brBRA,"MF,DF",20-152,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kayke,brBRA,"MF,FW",20-144,0.2,2,12.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
João Pedro,brBRA,DF,20-263,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,26.6,26.0,667,25.65,463,78,26,40,44,16,42,1.62,26,6,3,2,3,2,
Opponent Total,,,28.7,26.0,632,24.31,445,63,39,39,33,13,54,2.08,36,3,5,4,3,3,
