Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,22.6,67,2.96,36,25,0,3,2,1,7,0.31,3,3,0,0,1,0,Matches
Gustavo,brBRA,GK,31-193,21.7,2,0.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20.0,18,0.90,15,1,0,2,0,0,2,0.10,1,0,0,1,0,0,Matches
Yannick Bolasie,cdCOD,FW,35-118,17.4,43,2.47,23,0,9,5,4,2,7,0.40,4,0,2,1,0,0,Matches
Barreto,brBRA,MF,28-284,16.4,27,1.65,21,0,2,2,2,0,4,0.24,2,0,0,2,0,0,Matches
Claudinho,brBRA,DF,23-361,16.7,61,3.65,45,7,3,3,1,2,4,0.24,2,0,1,1,0,0,Matches
Newton,brBRA,MF,24-191,15.7,28,1.79,26,0,0,1,0,1,1,0.06,1,0,0,0,0,0,Matches
Arthur,brBRA,FW,32-096,13.8,39,2.83,22,0,0,7,10,0,1,0.07,0,0,0,1,0,0,Matches
Miguel Trauco,pePER,DF,32-025,12.4,23,1.86,13,8,0,1,0,1,1,0.08,0,0,0,1,0,0,Matches
Matheusinho,brBRA,"MF,FW",26-221,11.6,55,4.74,48,2,4,1,0,0,4,0.34,3,0,0,1,0,0,Matches
Higor Meritão,brBRA,MF,30-088,10.8,14,1.30,11,0,0,2,0,1,1,0.09,1,0,0,0,0,0,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,12.9,37,2.86,21,8,1,4,3,0,2,0.15,0,0,0,2,0,0,Matches
Tobias Figueiredo,ptPOR,DF,30-230,11.1,7,0.63,5,0,0,2,0,0,1,0.09,1,0,0,0,0,0,Matches
Wilker Ángel,veVEN,DF,31-185,9.8,7,0.72,6,0,0,1,0,0,2,0.20,1,0,0,1,0,0,Matches
Marquinhos Gabriel,brBRA,MF,34-060,9.4,38,4.04,30,0,3,4,1,0,1,0.11,1,0,0,0,0,0,Matches
Éder,itITA,FW,37-309,8.5,22,2.59,20,0,0,2,0,0,2,0.24,2,0,0,0,0,0,Matches
Walisson Maia,brBRA,DF,33-029,9.5,6,0.63,5,0,0,1,0,0,1,0.11,0,0,0,1,0,0,Matches
Ronald,brBRA,MF,27-093,9.4,36,3.83,20,6,5,2,1,2,4,0.43,3,0,1,0,0,0,Matches
Allano,brBRA,"FW,MF",29-148,8.0,36,4.41,27,0,1,2,5,1,2,0.25,1,0,0,0,1,0,Matches
Jonathan,brBRA,DF,32-025,5.7,15,2.62,12,1,0,2,0,0,2,0.35,1,0,0,1,0,0,Matches
Alisson,brBRA,GK,29-103,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luis Eduardo Marques dos Santos,brBRA,DF,27-112,2.5,7,2.85,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrick de Paula,brBRA,MF,25-011,1.9,6,3.09,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Renato Kayser,brBRA,FW,28-215,0.9,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Felipe Vizeu,brBRA,FW,27-191,1.1,4,3.64,1,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Yerson Candelo,coCOL,DF,32-208,0.3,2,6.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
João Carlos,brBRA,"MF,FW",23-090,0.3,1,3.33,0,1,0,0,0,0,1,3.33,0,1,0,0,0,0,Matches
Mateo Barcia,uyURU,"MF,FW",23-213,0.3,2,7.20,1,0,1,0,0,0,1,3.60,0,0,1,0,0,0,Matches
Eliédson,brBRA,MF,21-186,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sergio Antonio De Luiz Junior,brBRA,MF,29-166,0.2,1,4.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Werik Popó,brBRA,FW,22-338,0.1,1,9.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,30.9,25.0,606,24.24,424,60,31,49,31,11,51,2.04,27,4,5,13,2,0,
Opponent Total,,,28.5,25.0,711,28.44,530,56,44,36,33,12,70,2.80,55,5,1,2,6,1,
