Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,23.1,115,4.97,81,17,8,2,6,1,14,0.61,10,0,3,1,0,0,Matches
William,brBRA,DF,29-169,22.4,61,2.72,39,10,4,4,1,3,10,0.45,6,0,1,2,0,1,Matches
João Marcelo,brBRA,DF,24-098,22.0,21,0.95,20,0,0,1,0,0,3,0.14,3,0,0,0,0,0,Matches
Lucas Romero,arARG,MF,30-154,20.0,52,2.60,45,1,1,3,0,2,7,0.35,7,0,0,0,0,0,Matches
Zé Ivaldo,brBRA,DF,27-211,21.5,18,0.84,14,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Silva,brBRA,MF,31-216,15.0,42,2.80,34,2,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Marlon,brBRA,DF,27-122,15.9,30,1.88,27,2,0,1,0,0,4,0.25,3,0,0,1,0,0,Matches
Anderson,brBRA,GK,26-198,15.0,1,0.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arthur,brBRA,FW,26-078,14.1,40,2.83,30,1,3,4,2,0,3,0.21,2,0,0,1,0,0,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,11.9,38,3.19,28,7,1,2,0,0,4,0.34,4,0,0,0,0,0,Matches
Ramiro Benetti,brBRA,MF,31-120,11.0,17,1.54,14,2,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,10.0,21,2.10,19,0,1,0,0,1,3,0.30,2,0,1,0,0,0,Matches
Cássio,brBRA,GK,37-105,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kaiki,brBRA,DF,21-195,9.4,19,2.01,12,0,2,3,1,1,2,0.21,2,0,0,0,0,0,Matches
Matheus Henrique,brBRA,"MF,FW",26-275,8.9,30,3.37,21,1,2,4,1,1,1,0.11,1,0,0,0,0,0,Matches
Rafael Silva,brBRA,FW,32-168,5.9,8,1.37,5,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Kaio Jorge,brBRA,FW,22-239,7.0,19,2.72,14,0,1,1,3,0,1,0.14,1,0,0,0,0,0,Matches
Lucas Villalba,arARG,DF,30-031,6.7,6,0.89,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lautaro Díaz,arARG,FW,26-121,4.5,10,2.22,8,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Neris,brBRA,DF,32-094,3.4,3,0.89,3,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
Walace,brBRA,MF,29-168,3.2,5,1.58,2,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert,brBRA,"MF,FW",19-159,4.4,9,2.05,6,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Juan Ignacio Dinenno,arARG,"FW,DF",30-022,2.7,2,0.75,1,0,0,1,0,0,1,0.38,0,0,0,1,0,0,Matches
Machado,brBRA,MF,28-243,1.9,3,1.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vitor Hugo Amorim,brBRA,"MF,FW",20-214,4.8,11,2.31,6,0,0,4,0,1,2,0.42,1,0,0,1,0,0,Matches
João Wellington,brBRA,"MF,FW",20-261,2.0,3,1.53,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Helibelton Palacios,coCOL,DF,31-100,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
José Cifuentes,ecECU,MF,25-191,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mateus Vital,brBRA,"MF,FW",26-220,2.2,8,3.65,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Rafael Elias,brBRA,FW,25-160,1.1,3,2.62,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Arthur Rodrigues,brBRA,"FW,MF",20-220,0.9,3,3.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
João Pedro,brBRA,"FW,MF",21-230,0.9,1,1.11,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Wesley Gasolina,brBRA,"DF,MF",24-190,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fabrizio Peralta,pyPAR,MF,22-048,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,27.5,26.0,601,23.12,455,43,34,35,20,14,57,2.19,44,0,5,7,0,1,
Opponent Total,,,28.6,26.0,557,21.42,376,62,31,43,29,16,42,1.62,27,3,2,6,2,2,
