Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Walter,brBRA,GK,36-306,24.0,6,0.25,4,2,0,0,0,0,2,0.08,1,1,0,0,0,0,Matches
Marllon Borges,brBRA,DF,32-156,23.0,15,0.65,12,1,0,1,1,0,1,0.04,0,0,0,0,1,0,Matches
Isidro Pitta,pyPAR,FW,25-036,21.3,42,1.97,32,0,3,4,3,0,3,0.14,1,0,1,0,1,0,Matches
Alan Empereur,brBRA,DF,30-193,20.8,28,1.35,21,5,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
Lucas Mineiro,brBRA,MF,28-208,19.9,25,1.26,22,0,1,2,0,0,2,0.10,1,0,0,1,0,0,Matches
Denilson,brBRA,MF,23-180,16.5,60,3.64,47,3,5,3,1,1,7,0.42,6,0,1,0,0,0,Matches
Ramon,brBRA,DF,23-190,17.4,42,2.42,32,6,3,1,0,0,1,0.06,1,0,0,0,0,0,Matches
Matheus Alexandre,brBRA,DF,25-165,16.3,24,1.48,19,3,1,0,0,1,1,0.06,0,1,0,0,0,0,Matches
Clayson,brBRA,"FW,MF",29-184,12.5,29,2.33,18,5,1,0,5,0,5,0.40,1,1,1,0,2,0,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,13.1,34,2.59,23,0,6,1,3,1,3,0.23,2,0,0,1,0,0,Matches
Max,brBRA,MF,23-130,11.2,39,3.48,23,10,2,1,3,0,5,0.45,3,2,0,0,0,0,Matches
Fernando Sobral,brBRA,MF,29-277,12.6,38,3.01,29,7,1,1,0,0,3,0.24,2,1,0,0,0,0,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,10.4,9,0.87,6,1,0,0,1,1,1,0.10,1,0,0,0,0,0,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,10.4,27,2.60,17,0,5,1,3,1,0,0.00,0,0,0,0,0,0,Matches
Railan,brBRA,"DF,FW",24-193,8.9,21,2.35,14,0,2,4,1,0,2,0.22,1,0,0,1,0,0,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,6.6,18,2.73,9,7,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Rikelme,brBRA,DF,21-065,5.5,6,1.09,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Filipe Augusto,brBRA,MF,31-038,4.3,6,1.38,4,0,1,1,0,0,1,0.23,1,0,0,0,0,0,Matches
Juan Pablo,brBRA,DF,22-147,2.8,2,0.72,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
André Luis,brBRA,"FW,MF",27-151,4.6,9,1.95,5,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Deyverson,brBRA,FW,33-134,2.4,2,0.82,1,0,1,0,0,0,1,0.41,0,0,1,0,0,0,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,2.2,3,1.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,3.6,7,1.94,2,0,0,1,4,0,0,0.00,0,0,0,0,0,0,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,1.2,5,4.33,3,0,1,1,0,0,1,0.87,1,0,0,0,0,0,Matches
Luciano Giménez,arARG,"FW,MF",24-214,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,0.5,3,6.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jadson,brBRA,MF,19-040,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.4,25.0,500,20.00,355,52,35,25,28,5,40,1.60,23,6,4,3,4,0,
Opponent Total,,,28.2,25.0,610,24.40,456,62,20,32,32,8,67,2.68,42,5,3,8,8,1,
