Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Fábio,brBRA,GK,43-355,25.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Martinelli,brBRA,"MF,DF",23-132,18.4,26,1.41,22,0,1,1,2,0,1,0.05,0,0,0,0,1,0,Matches
Ganso,brBRA,MF,34-343,17.8,70,3.93,48,20,0,0,1,1,5,0.28,4,1,0,0,0,0,Matches
Samuel Xavier,brBRA,DF,34-105,17.8,29,1.63,24,1,1,2,1,0,3,0.17,3,0,0,0,0,0,Matches
Jhon Arias,coCOL,FW,26-364,14.9,53,3.55,36,5,4,1,5,2,5,0.34,4,0,0,0,0,1,Matches
Germán Cano,arARG,FW,36-230,12.4,10,0.81,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Marquinhos,brBRA,"FW,DF",21-165,12.7,33,2.60,24,0,1,4,3,1,1,0.08,1,0,0,0,0,0,Matches
Thiago dos Santos,brBRA,DF,35-014,12.9,6,0.46,6,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
André,brBRA,MF,23-065,11.9,25,2.10,22,1,0,0,1,1,2,0.17,2,0,0,0,0,0,Matches
Diogo Barbosa,brBRA,DF,32-033,11.6,20,1.72,19,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marcelo,brBRA,DF,36-130,9.4,21,2.23,16,2,1,2,0,0,1,0.11,1,0,0,0,0,0,Matches
Lima,brBRA,"MF,FW",28-100,10.8,17,1.57,8,5,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
Antonio Carlos,brBRA,DF,31-196,10.0,6,0.60,6,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Keno,brBRA,"FW,MF",35-009,9.4,27,2.86,20,0,5,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Kauã Elias,brBRA,FW,18-175,8.9,19,2.13,15,0,1,3,0,0,2,0.22,1,0,1,0,0,0,Matches
Thiago Silva,brBRA,DF,39-363,8.0,6,0.75,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Alexsander,brBRA,MF,20-347,8.8,26,2.96,20,0,3,1,1,1,1,0.11,1,0,0,0,0,0,Matches
Felipe Melo,brBRA,DF,41-085,4.6,1,0.20,1,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
Manoel,brBRA,DF,34-206,5.5,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
John Kennedy,brBRA,"FW,MF",22-124,7.3,15,2.06,10,0,2,0,3,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Serna,coCOL,FW,26-277,4.6,10,2.18,8,0,2,0,0,0,5,1.09,3,0,2,0,0,0,Matches
Marlon,brBRA,DF,29-012,3.9,5,1.28,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Guga,brBRA,DF,26-021,2.9,7,2.45,6,1,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
Gabriel,brBRA,MF,31-001,2.6,4,1.51,1,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Facundo Bernal,uyURU,MF,21-029,2.6,3,1.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Renato Augusto,brBRA,"MF,FW",36-224,3.5,6,1.70,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Douglas Costa,brBRA,FW,34-005,3.2,17,5.24,15,1,0,1,0,0,1,0.31,1,0,0,0,0,0,Matches
David Terans,uyURU,"MF,FW",30-039,2.4,6,2.49,2,1,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Ignácio,brBRA,DF,27-293,2.0,3,1.53,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nonato,brBRA,MF,26-200,2.1,3,1.44,3,0,0,0,0,0,1,0.48,1,0,0,0,0,0,Matches
Isaac,brBRA,"FW,DF",20-148,1.7,4,2.42,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Esquerdinha,brBRA,"DF,FW",18-204,1.4,7,4.92,5,0,0,2,0,0,1,0.70,0,0,0,1,0,0,Matches
Felipe Vieira,,"DF,MF",,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jan Lucumí González,coCOL,"FW,MF",20-221,1.0,6,5.87,3,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Calegari,brBRA,DF,22-205,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gabriel Fuentes,coCOL,DF,27-223,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,31.0,25.0,493,19.72,372,39,27,25,23,7,33,1.32,26,1,3,1,1,1,
Opponent Total,,,28.3,25.0,606,24.24,438,54,32,39,25,18,43,1.72,18,6,5,6,5,3,
