Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,5,0.19,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Emanuel Brítez,arARG,DF,32-177,19.0,23,1.21,17,1,0,4,0,1,2,0.11,2,0,0,0,0,0,Matches
Guilherme Tinga,brBRA,DF,31-018,19.7,50,2.54,39,5,1,4,0,1,1,0.05,0,0,0,1,0,0,Matches
Breno,brBRA,FW,28-239,16.6,54,3.25,27,6,4,8,9,0,7,0.42,3,0,1,1,2,0,Matches
Hércules,brBRA,MF,23-335,15.5,36,2.30,30,0,4,2,0,0,5,0.32,4,0,1,0,0,0,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,14.9,68,4.56,38,21,2,3,3,1,7,0.47,5,2,0,0,0,0,Matches
Felipe Jonatan,brBRA,DF,26-217,15.7,30,1.91,18,4,2,2,2,2,2,0.13,1,0,0,0,1,0,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,15.0,34,2.27,21,3,1,3,5,1,6,0.40,4,0,0,0,1,1,Matches
Juan Martín Lucero,arARG,FW,32-294,15.0,22,1.46,13,0,1,2,5,1,1,0.07,1,0,0,0,0,0,Matches
Titi,brBRA,DF,36-191,14.4,6,0.42,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Sasha,brBRA,MF,34-202,13.4,18,1.34,15,0,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
Pedro Borges,brBRA,MF,27-200,12.5,15,1.20,13,0,0,1,0,1,3,0.24,3,0,0,0,0,0,Matches
Tomás Cardona,arARG,DF,28-345,12.0,5,0.42,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Renato Kayser,brBRA,FW,28-215,10.6,27,2.54,15,1,2,5,4,0,3,0.28,1,0,1,1,0,0,Matches
Benjamín Kuscevic,clCHI,DF,28-140,10.6,6,0.56,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Bruno Pacheco,brBRA,DF,32-286,10.7,15,1.40,9,2,2,0,1,1,2,0.19,0,0,2,0,0,0,Matches
Matheus Rossetto,brBRA,MF,28-108,7.5,15,2.01,15,0,0,0,0,0,2,0.27,2,0,0,0,0,0,Matches
José Welison,brBRA,MF,29-192,6.7,8,1.19,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marinho,brBRA,FW,34-113,6.6,29,4.38,12,9,1,2,5,0,4,0.60,2,1,0,0,1,0,Matches
Moises,brBRA,FW,28-017,6.6,34,5.17,19,0,13,1,1,0,5,0.76,3,0,2,0,0,0,Matches
Imanol Machuca,arARG,"FW,MF",24-248,4.8,29,5.99,16,4,5,2,2,0,2,0.41,1,1,0,0,0,0,Matches
Leandro Emmanuel Martínez,arARG,"MF,FW",30-107,4.0,12,3.03,10,0,0,2,0,0,1,0.25,0,0,0,1,0,0,Matches
Kervin Andrade,veVEN,MF,19-159,3.5,18,5.09,10,2,0,2,3,1,1,0.28,1,0,0,0,0,0,Matches
Eros Mancuso,arARG,DF,25-155,0.8,3,3.97,3,0,0,0,0,0,1,1.32,1,0,0,0,0,0,Matches
Kauan,brBRA,MF,19-156,0.6,2,3.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Rocha Neves,brBRA,"FW,MF",29-355,0.5,4,7.50,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Calebe,brBRA,"FW,MF",24-142,0.3,4,12.41,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luis Eduardo Marques dos Santos,brBRA,"FW,DF",27-112,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,30.5,26.0,572,22.00,372,60,39,47,43,11,55,2.12,34,4,7,4,5,1,
Opponent Total,,,27.8,26.0,680,26.15,483,70,29,51,33,14,45,1.73,28,5,2,7,2,1,
