Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
João Pedro,brBRA,DF,27-309,17.9,31,1.73,25,1,3,1,0,1,2,0.11,2,0,0,0,0,0,Matches
Dodi,brBRA,MF,28-155,16.1,21,1.31,14,0,3,1,1,2,1,0.06,1,0,0,0,0,0,Matches
Agustín Marchesín,arARG,GK,36-187,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,15.4,91,5.92,53,28,0,7,3,0,8,0.52,3,3,0,1,1,0,Matches
Reinaldo,brBRA,"DF,MF",34-357,15.1,49,3.24,25,14,4,2,1,3,1,0.07,1,0,0,0,0,0,Matches
Mathías Villasanti,pyPAR,MF,27-239,15.0,28,1.87,23,2,1,1,0,1,4,0.27,3,0,0,0,0,1,Matches
Cristian Pavón,arARG,"FW,MF",28-242,9.7,38,3.91,28,3,2,5,0,0,5,0.51,3,0,1,1,0,0,Matches
Rodrigo Ely,brBRA,DF,30-321,12.9,7,0.54,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Gustavo Martins Santos,brBRA,DF,22-039,11.5,2,0.17,1,0,0,1,0,0,1,0.09,0,0,0,1,0,0,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,13.8,34,2.47,25,0,6,1,2,0,2,0.15,2,0,0,0,0,0,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,10.5,53,5.06,34,4,8,2,5,0,2,0.19,2,0,0,0,0,0,Matches
Edenílson,brBRA,"FW,MF",34-276,8.2,11,1.34,8,0,1,2,0,0,1,0.12,0,0,1,0,0,0,Matches
Walter Kannemann,arARG,DF,33-189,8.1,6,0.74,2,0,0,3,1,0,2,0.25,0,0,0,2,0,0,Matches
João Pedro Pepê,brBRA,MF,26-257,8.2,10,1.22,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Fábio,brBRA,DF,34-072,7.5,15,1.99,12,1,0,1,1,0,1,0.13,0,1,0,0,0,0,Matches
João Pedro,itITA,FW,32-194,6.4,7,1.09,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Du Queiroz,brBRA,MF,24-244,6.5,11,1.69,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Miguel Monsalve,coCOL,"FW,MF",20-205,5.0,14,2.83,8,0,3,1,2,0,2,0.40,1,0,1,0,0,0,Matches
Nata,brBRA,DF,23-106,5.6,3,0.53,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Geromel,brBRA,DF,38-364,5.3,1,0.19,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Felipe Carballo,uyURU,MF,27-351,5.3,12,2.26,10,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rafael Cabral,brBRA,GK,34-122,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Everton,brBRA,"FW,MF",27-186,5.1,12,2.36,7,3,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Jemerson,brBRA,DF,32-026,3.8,3,0.78,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Martin Braithwaite,dkDEN,FW,33-106,3.2,8,2.50,4,0,1,3,0,0,3,0.94,1,0,0,2,0,0,Matches
Nathan,brBRA,"FW,MF",28-190,3.6,16,4.43,11,0,0,3,2,0,1,0.28,1,0,0,0,0,0,Matches
Caíque,brBRA,GK,27-050,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mayk,brBRA,DF,25-019,2.8,2,0.71,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Diego Costa,esESP,FW,35-348,2.3,2,0.79,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Zé Guilherme,brBRA,DF,19-187,2.5,2,0.81,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cuiabano,brBRA,DF,21-216,1.8,2,1.10,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Fernandes,brBRA,"FW,MF",19-216,5.2,12,2.33,8,0,3,0,1,0,1,0.19,1,0,0,0,0,0,Matches
Rodrigo Caio,brBRA,DF,31-033,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alexander Aravena,clCHI,FW,22-013,1.0,2,1.96,1,0,0,0,1,0,1,0.98,1,0,0,0,0,0,Matches
Matias Arezo,uyURU,"FW,MF",21-303,0.8,4,5.29,3,0,0,0,1,0,1,1.32,0,0,0,0,1,0,Matches
Alysson Edward,brBRA,"MF,FW",18-137,0.5,3,5.51,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Ronald,brBRA,"MF,DF",21-221,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.8,24.0,513,21.38,346,58,37,38,27,7,39,1.62,22,4,3,7,2,1,
Opponent Total,,,28.2,24.0,630,26.25,461,53,34,46,22,14,51,2.12,34,5,5,2,4,1,
