Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Wesley,brBRA,"FW,MF",25-173,17.4,74,4.27,36,3,17,5,12,1,5,0.29,1,0,1,1,2,0,Matches
Thiago Maia,brBRA,MF,27-180,14.5,32,2.20,30,0,0,1,0,1,4,0.28,3,0,0,0,0,1,Matches
Bruno Henrique,brBRA,"MF,FW",34-334,15.1,47,3.11,37,9,1,0,0,0,1,0.07,0,1,0,0,0,0,Matches
Vitão,brBRA,DF,24-230,14.0,10,0.71,7,0,0,2,0,1,1,0.07,0,0,0,1,0,0,Matches
Sergio Rochet,uyURU,GK,31-180,14.0,1,0.07,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gabriel Mercado,arARG,DF,37-185,12.8,9,0.70,6,0,1,1,1,0,2,0.16,1,0,0,0,1,0,Matches
Rafael Borré,coCOL,FW,29-004,10.9,17,1.56,12,1,0,4,0,0,2,0.18,2,0,0,0,0,0,Matches
Fernando,brBRA,"DF,MF",37-056,11.6,10,0.86,9,0,0,1,0,0,3,0.26,2,0,0,1,0,0,Matches
Romulo,brBRA,MF,24-202,11.4,13,1.14,10,0,0,1,1,1,2,0.18,2,0,0,0,0,0,Matches
Bruno Gomes,brBRA,"DF,MF",23-168,11.0,30,2.74,19,4,2,1,3,1,2,0.18,2,0,0,0,0,0,Matches
Renê,brBRA,DF,32-005,10.6,26,2.46,19,3,1,2,1,0,1,0.09,1,0,0,0,0,0,Matches
Robert Renan,brBRA,DF,20-344,10.7,14,1.31,13,0,1,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Alexandro Bernabei,arARG,DF,23-361,9.9,31,3.12,23,5,3,0,0,0,2,0.20,2,0,0,0,0,0,Matches
Gabriel Carvalho,brBRA,"FW,MF",17-033,8.4,41,4.88,27,5,5,4,0,0,3,0.36,3,0,0,0,0,0,Matches
Fabricio Bustos,arARG,DF,28-144,9.6,34,3.54,26,3,1,2,0,2,3,0.31,1,0,1,1,0,0,Matches
Wanderson,brBRA,"FW,MF",29-348,8.6,28,3.25,23,1,2,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Alan Patrick,brBRA,"MF,FW",33-129,8.0,50,6.23,37,5,6,2,0,0,2,0.25,1,0,0,1,0,0,Matches
Fabrício,brBRA,GK,38-256,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Igor Gomes,brBRA,DF,23-197,6.9,8,1.17,7,0,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches
Lucas Alario,arARG,FW,31-347,6.8,9,1.32,7,0,0,2,0,0,1,0.15,0,0,0,1,0,0,Matches
Enner Valencia,ecECU,FW,34-320,5.2,13,2.51,6,0,2,1,2,2,0,0.00,0,0,0,0,0,0,Matches
Bruno Tabata,brBRA,"MF,FW",27-173,5.1,28,5.49,19,4,1,2,2,0,5,0.98,4,0,0,1,0,0,Matches
Agustín Rogel,uyURU,DF,26-338,4.3,3,0.69,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Mauricio,brBRA,MF,23-120,4.2,16,3.78,13,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Hugo Mallo,esESP,DF,33-089,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hyoran,brBRA,"FW,MF",31-117,3.7,12,3.21,8,1,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Lucca Holanda,brBRA,"FW,MF",21-170,3.0,5,1.67,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Charles Aránguiz,clCHI,MF,35-155,3.2,6,1.88,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthoni,brBRA,GK,22-240,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucca Drummond,brBRA,FW,20-251,1.8,3,1.69,3,0,0,0,0,0,1,0.56,1,0,0,0,0,0,Matches
Gustavo Prado,brBRA,"FW,MF",19-105,5.1,20,3.89,17,0,1,2,0,0,2,0.39,1,0,0,1,0,0,Matches
Matheus Dias,brBRA,"FW,MF",27-225,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ricardo Mathias,brBRA,"FW,MF",18-056,0.7,5,7.03,2,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan,brBRA,DF,23-014,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.6,24.0,597,24.87,430,48,44,41,24,10,44,1.83,29,1,2,8,3,1,
Opponent Total,,,28.4,24.0,454,18.92,288,59,23,34,40,10,36,1.50,21,3,4,2,4,2,
