Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Wéverton,brBRA,GK,36-281,25.0,5,0.20,4,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Aníbal Moreno,arARG,MF,25-129,19.0,52,2.74,39,2,2,3,3,3,2,0.11,2,0,0,0,0,0,Matches
Murilo Cerqueira,brBRA,DF,27-176,17.5,19,1.09,16,0,1,0,0,2,2,0.11,1,0,1,0,0,0,Matches
Raphael Veiga,brBRA,MF,29-092,17.0,101,5.95,57,28,4,7,4,1,6,0.35,2,1,0,1,2,0,Matches
Estevão,brBRA,FW,18-148,15.5,86,5.57,45,5,16,10,7,3,14,0.91,7,1,4,0,1,1,Matches
Gustavo Gómez,pyPAR,DF,31-136,16.0,15,0.94,11,0,1,2,0,1,2,0.12,2,0,0,0,0,0,Matches
José López,arARG,FW,23-288,14.9,34,2.28,17,0,2,8,6,1,3,0.20,2,0,0,1,0,0,Matches
Joaquín Piquerez,uyURU,DF,26-026,14.6,45,3.08,34,5,0,3,3,0,0,0.00,0,0,0,0,0,0,Matches
Marcos Rocha,brBRA,DF,35-283,15.5,55,3.55,42,9,2,0,0,2,7,0.45,5,1,0,0,0,1,Matches
Rony,brBRA,FW,29-131,15.2,50,3.29,38,0,2,4,5,1,3,0.20,2,0,0,1,0,0,Matches
Richard Ríos,coCOL,MF,24-109,10.6,24,2.28,19,1,2,2,0,0,3,0.28,2,0,1,0,0,0,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,10.2,49,4.79,29,7,2,3,6,2,1,0.10,1,0,0,0,0,0,Matches
Mayke,brBRA,DF,31-314,9.6,28,2.91,23,2,1,2,0,0,1,0.10,1,0,0,0,0,0,Matches
Zé Rafael,brBRA,MF,31-095,9.2,31,3.30,23,1,2,1,1,3,5,0.53,2,0,0,1,1,1,Matches
Vitor Reis,brBRA,DF,18-251,9.2,9,0.98,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Kaiky Naves,brBRA,DF,22-134,8.1,17,2.10,15,0,0,2,0,0,2,0.25,2,0,0,0,0,0,Matches
Lázaro,brBRA,"FW,MF",22-191,8.3,32,3.88,22,2,4,3,1,0,1,0.12,0,1,0,0,0,0,Matches
Vanderlan,brBRA,DF,22-012,8.2,13,1.59,13,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Mauricio,brBRA,"MF,FW",23-120,6.1,16,2.63,14,0,1,0,1,0,1,0.16,0,0,0,0,1,0,Matches
Caio Paulista,brBRA,"DF,FW",26-131,5.1,18,3.50,11,0,5,1,1,0,1,0.19,1,0,0,0,0,0,Matches
Endrick,brBRA,"MF,FW",18-060,5.0,17,3.38,8,0,1,3,4,1,1,0.20,1,0,0,0,0,0,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,5.8,25,4.29,19,2,2,0,2,0,3,0.51,2,0,0,0,1,0,Matches
Fabinho,brBRA,MF,22-163,4.5,11,2.45,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dudu,brBRA,"FW,MF",32-256,3.4,14,4.10,11,1,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Agustín Giay,arARG,DF,20-247,2.8,6,2.14,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Luan Garcia,brBRA,DF,31-132,2.6,1,0.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luis Guilherme,brBRA,"FW,DF",18-223,2.0,18,8.85,11,4,3,0,0,0,2,0.98,1,1,0,0,0,0,Matches
Romulo,brBRA,"FW,MF",22-348,1.7,12,7.11,6,4,0,1,1,0,1,0.59,1,0,0,0,0,0,Matches
Jhonatan Jowjow,brBRA,MF,22-010,1.6,10,6.34,7,0,1,1,0,1,2,1.27,1,0,0,1,0,0,Matches
Marcelo Lomba,brBRA,GK,37-276,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luighi,brBRA,"MF,FW",18-142,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
García,brBRA,"MF,FW",22-259,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,27.2,26.0,813,31.27,558,74,54,58,48,21,65,2.50,40,5,6,5,6,3,
Opponent Total,,,28.3,26.0,548,21.08,388,54,40,27,29,10,34,1.31,25,1,5,1,2,0,
