Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Luan Cândido,brBRA,DF,23-230,19.0,16,0.84,13,1,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,4,0.22,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Evangelista,brBRA,MF,29-136,16.0,45,2.82,37,1,0,1,5,1,2,0.13,2,0,0,0,0,0,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,16.7,39,2.34,26,0,12,0,1,0,1,0.06,1,0,0,0,0,0,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,13.1,17,1.29,13,1,0,1,2,0,1,0.08,0,0,0,1,0,0,Matches
Pedro Henrique,brBRA,DF,28-353,13.8,15,1.09,14,0,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches
Eduardo Sasha,brBRA,FW,32-208,12.7,28,2.20,18,1,2,2,4,1,5,0.39,3,0,1,1,0,0,Matches
Helinho,brBRA,"FW,MF",24-147,12.2,66,5.39,40,9,10,2,3,2,7,0.57,5,0,2,0,0,0,Matches
Jadsom,brBRA,"MF,DF",23-122,11.3,14,1.24,12,1,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Raul,brBRA,MF,28-070,11.8,26,2.20,23,1,0,0,0,2,2,0.17,2,0,0,0,0,0,Matches
Vitinho,brBRA,"FW,MF",25-171,12.9,52,4.02,26,15,3,4,3,1,8,0.62,3,2,1,0,2,0,Matches
Nathan Mendes,brBRA,DF,22-031,12.4,24,1.93,18,2,0,3,1,0,1,0.08,0,0,0,1,0,0,Matches
Douglas Mendes,brBRA,DF,20-098,12.3,7,0.57,6,0,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
Eric Ramires,brBRA,MF,24-040,11.5,27,2.35,25,0,0,1,1,0,3,0.26,3,0,0,0,0,0,Matches
Eduardo Santos,brBRA,DF,26-296,11.0,7,0.64,5,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Lincoln,brBRA,"MF,FW",25-317,9.8,35,3.55,21,4,0,3,6,1,3,0.30,2,0,0,1,0,0,Matches
Gustavinho,brBRA,"MF,FW",20-149,8.8,34,3.87,20,11,1,1,1,0,4,0.46,3,1,0,0,0,0,Matches
Thiago Borbas,uyURU,FW,22-165,10.6,19,1.79,13,0,1,3,2,0,2,0.19,2,0,0,0,0,0,Matches
José Hurtado,ecECU,DF,22-271,6.7,19,2.82,15,1,0,2,1,0,4,0.59,2,0,0,2,0,0,Matches
Lucão,brBRA,GK,23-206,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jhonatan Jowjow,brBRA,"MF,FW",22-010,4.1,22,5.41,15,1,4,0,1,1,1,0.25,0,0,0,0,1,0,Matches
Lucas Cunha,brBRA,DF,27-240,4.7,2,0.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Guilherme,brBRA,DF,22-218,4.5,7,1.56,6,1,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Matheus Fernandes,brBRA,MF,26-081,3.6,14,3.93,7,1,1,2,1,2,1,0.28,1,0,0,0,0,0,Matches
Ignacio Laquintana,uyURU,"FW,MF",25-231,3.1,7,2.29,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Vinicius Mendonça,brBRA,FW,20-212,2.1,12,5.65,7,0,3,1,1,0,3,1.41,0,0,2,0,1,0,Matches
Talisson,brBRA,FW,22-121,1.3,4,3.16,0,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Fabrício,brBRA,GK,24-096,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leonardo Realpe,ecECU,DF,23-206,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bruninho,brBRA,"FW,MF",21-189,0.9,5,5.70,4,0,1,0,0,0,1,1.14,1,0,0,0,0,0,Matches
Everton,brBRA,FW,22-208,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Juliano,brBRA,FW,16-202,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Chumbinho,brBRA,"MF,FW",20-363,0.1,1,7.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Riquelme,brBRA,MF,18-256,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,25.2,25.0,569,22.76,396,53,40,31,36,13,54,2.16,35,3,6,6,4,0,
Opponent Total,,,28.5,25.0,599,23.96,452,57,22,34,23,11,48,1.92,40,1,1,6,0,0,
