Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Robert Arboleda,ecECU,DF,32-333,20.7,17,0.82,12,0,0,3,0,2,3,0.14,2,0,0,1,0,0,Matches
Jonathan Calleri,arARG,FW,30-362,17.6,35,1.98,24,0,3,6,2,0,5,0.28,3,0,0,2,0,0,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,17.6,54,3.06,41,9,1,2,1,0,5,0.28,5,0,0,0,0,0,Matches
Welington,brBRA,DF,23-213,16.9,33,1.95,21,8,2,2,0,0,2,0.12,1,1,0,0,0,0,Matches
Alan Franco,arARG,DF,27-344,15.5,13,0.84,12,0,0,1,0,0,2,0.13,2,0,0,0,0,0,Matches
Luciano,brBRA,"MF,FW",31-124,15.5,38,2.46,23,0,1,9,4,1,7,0.45,3,0,0,2,1,1,Matches
Alisson,brBRA,MF,31-086,15.0,41,2.73,35,0,2,1,2,1,5,0.33,4,0,1,0,0,0,Matches
Rafael Pires,brBRA,GK,35-088,15.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Moura,brBRA,"FW,MF",32-037,14.5,55,3.80,37,5,4,5,4,0,6,0.41,4,1,0,0,1,0,Matches
Luiz Gustavo,brBRA,MF,37-058,14.7,18,1.22,14,0,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
Jandrei,brBRA,GK,31-202,11.0,3,0.27,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Damián Bobadilla,pyPAR,MF,23-070,9.0,15,1.67,14,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
André Silva,brBRA,"FW,MF",27-108,10.2,30,2.93,18,0,4,5,1,2,3,0.29,2,0,1,0,0,0,Matches
Diego,brBRA,DF,25-060,9.9,10,1.01,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ferreira,brBRA,"FW,MF",26-263,9.4,55,5.86,31,11,7,2,4,0,2,0.21,0,0,1,0,1,0,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,8.8,31,3.50,20,4,1,4,1,1,3,0.34,3,0,0,0,0,0,Matches
Nahuel Ferraresi,veVEN,DF,25-305,8.8,12,1.37,8,1,1,2,0,0,2,0.23,1,0,1,0,0,0,Matches
Wellington Rato,brBRA,"FW,MF",32-083,8.7,31,3.56,23,7,0,1,0,0,3,0.34,2,1,0,0,0,0,Matches
Michel Araujo,uyURU,"DF,FW",27-357,8.1,25,3.09,15,3,6,1,0,0,1,0.12,1,0,0,0,0,0,Matches
José Sabino,brBRA,DF,27-330,5.0,4,0.80,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Patryck,brBRA,"DF,FW",21-245,4.3,6,1.40,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Giuliano Galoppo,arARG,MF,25-093,4.1,10,2.45,7,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Marcos Antônio,brBRA,MF,24-098,3.4,7,2.07,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
William Gomes,brBRA,"FW,MF",18-188,3.3,14,4.30,5,1,5,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Juan Santos,brBRA,"FW,MF",22-197,2.9,7,2.40,5,0,0,1,1,0,1,0.34,1,0,0,0,0,0,Matches
Pablo Maia,brBRA,MF,22-253,2.9,5,1.74,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rafinha,brBRA,DF,39-012,2.6,2,0.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
João Moreira,ptPOR,"DF,MF",20-121,1.9,2,1.04,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
Erick,brBRA,"MF,FW",26-284,3.9,23,5.90,17,5,0,0,1,0,3,0.77,3,0,0,0,0,0,Matches
Liziero,brBRA,MF,26-225,1.1,1,0.90,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ruan,brBRA,DF,25-104,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Longo,arARG,MF,26-160,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo,brBRA,MF,20-187,0.7,1,1.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
James Rodríguez,coCOL,MF,33-069,0.4,2,4.74,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jamal Lewis,nirNIR,DF,26-238,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Henrique,brBRA,FW,17-315,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,29.0,26.0,601,23.12,422,57,39,52,21,10,55,2.12,39,3,4,5,3,1,
Opponent Total,,,28.4,26.0,508,19.54,350,50,34,32,30,12,38,1.46,24,2,2,7,2,1,
