Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Léo Jardim,brBRA,GK,29-183,25.0,2,0.08,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Vegetti,arARG,FW,35-340,22.1,34,1.54,17,0,0,12,5,0,4,0.18,2,0,0,2,0,0,Matches
Paulo Henrique,brBRA,DF,28-056,20.6,44,2.13,34,0,5,1,2,2,2,0.10,1,0,0,0,1,0,Matches
Léo Pelé,brBRA,DF,28-197,20.0,16,0.80,16,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Maicon,brBRA,DF,36-005,19.9,14,0.70,11,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Piton,brBRA,DF,23-346,19.4,56,2.89,42,10,4,0,0,0,6,0.31,4,1,1,0,0,0,Matches
David,brBRA,FW,28-338,16.5,40,2.42,32,1,5,1,1,0,5,0.30,4,0,1,0,0,0,Matches
Hugo Moura,brBRA,MF,26-260,13.4,33,2.46,28,0,0,3,2,0,3,0.22,3,0,0,0,0,0,Matches
Mateus Cocão,brBRA,MF,22-185,14.6,27,1.85,23,0,2,1,0,1,4,0.27,4,0,0,0,0,0,Matches
Adson,brBRA,FW,23-349,13.6,53,3.90,46,2,5,0,0,0,5,0.37,4,0,1,0,0,0,Matches
Juan Sforza,arARG,MF,22-218,11.1,18,1.62,16,0,0,1,1,0,2,0.18,2,0,0,0,0,0,Matches
João Victor,brBRA,DF,26-064,9.3,10,1.08,6,2,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Pablo Galdames Millán,clCHI,MF,27-264,8.5,21,2.48,16,2,0,2,0,1,1,0.12,1,0,0,0,0,0,Matches
Dimitri Payet,frFRA,MF,37-174,7.8,33,4.24,20,10,0,1,1,1,7,0.90,5,2,0,0,0,0,Matches
Rossi,brBRA,"FW,MF",31-150,5.6,21,3.73,11,9,0,0,1,0,2,0.36,1,1,0,0,0,0,Matches
Victor Luis,brBRA,DF,31-088,4.4,6,1.36,5,1,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Rayan Vitor,brBRA,"FW,MF",18-047,5.9,22,3.73,12,2,5,1,0,2,3,0.51,2,0,1,0,0,0,Matches
João Pedro,brBRA,MF,19-153,4.8,10,2.08,8,0,0,2,0,0,3,0.62,2,0,0,1,0,0,Matches
Zé Gabriel,brBRA,MF,25-242,5.1,9,1.78,6,0,0,1,1,1,1,0.20,0,0,0,0,1,0,Matches
José Luis Rodríguez Bebanz,uyURU,DF,27-189,3.6,8,2.24,8,0,0,0,0,0,2,0.56,2,0,0,0,0,0,Matches
Bruno Praxedes,brBRA,MF,22-224,2.9,9,3.09,6,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Emerson Rodríguez,coCOL,FW,24-025,2.8,9,3.27,8,0,1,0,0,0,1,0.36,1,0,0,0,0,0,Matches
Guilherme Estrella,brBRA,MF,19-150,1.6,4,2.47,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Rojas,pyPAR,DF,28-142,1.9,2,1.03,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gary Medel,clCHI,DF,37-047,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leandrinho,brBRA,"DF,FW",19-186,2.5,4,1.57,2,0,1,1,0,0,1,0.39,1,0,0,0,0,0,Matches
Clayton,brBRA,FW,25-252,1.6,2,1.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Philippe Coutinho,brBRA,MF,32-099,1.3,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jean Meneses,clCHI,"FW,MF",31-187,1.2,1,0.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gabriel Souza,brBRA,FW,19-258,1.0,2,1.98,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Josef de Souza,brBRA,MF,35-221,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Erick Marcus,brBRA,"FW,MF",20-202,1.9,7,3.62,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Lyncon,brBRA,DF,19-135,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sergio Antonio De Luiz Junior,brBRA,"FW,MF",29-166,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Teixeira,brBRA,FW,34-257,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bruno Lopes,brBRA,FW,17-056,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Squad Total,,,28.1,25.0,519,20.76,391,43,30,31,14,10,53,2.12,40,4,4,3,2,0,
Opponent Total,,,28.4,25.0,698,27.92,525,63,29,40,34,7,62,2.48,45,5,5,5,1,1,
