Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Lucas Arcanjo,brBRA,GK,26-042,26.0,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Wagner,brBRA,DF,25-058,24.1,25,1.04,21,0,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
Willian,brBRA,MF,31-126,20.6,41,1.99,34,0,0,5,2,0,8,0.39,4,0,0,2,2,0,Matches
Matheusinho,brBRA,"MF,FW",26-337,18.8,60,3.19,35,13,4,3,4,1,7,0.37,4,2,0,1,0,0,Matches
Alerrandro,brBRA,FW,24-251,17.1,43,2.52,32,0,2,6,2,1,5,0.29,5,0,0,0,0,0,Matches
Lucas Esteves,brBRA,"DF,MF",24-087,21.6,38,1.76,27,3,2,1,4,1,3,0.14,1,0,0,1,1,0,Matches
Willean Lepo,brBRA,DF,27-247,18.0,41,2.28,26,4,8,1,1,1,1,0.06,1,0,0,0,0,0,Matches
Luan Silva,brBRA,MF,25-128,13.6,19,1.40,15,0,0,1,2,1,1,0.07,0,0,0,1,0,0,Matches
Osvaldo,brBRA,"MF,FW",37-161,11.9,43,3.61,28,8,2,2,3,0,3,0.25,3,0,0,0,0,0,Matches
Léo Naldi,brBRA,MF,23-032,11.6,19,1.64,12,0,0,1,4,2,0,0.00,0,0,0,0,0,0,Matches
Janderson,brBRA,"FW,MF",25-136,10.0,26,2.59,14,0,5,6,0,1,3,0.30,3,0,0,0,0,0,Matches
Caio Vinícius,brBRA,"DF,MF",25-252,6.7,4,0.60,3,0,1,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Raúl Cáceres,pyPAR,"DF,MF",33-001,8.0,24,3.01,20,4,0,0,0,0,4,0.50,3,1,0,0,0,0,Matches
Patric Calmon PK,brBRA,DF,30-076,5.5,6,1.09,6,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
Neris,brBRA,DF,32-094,5.1,5,0.98,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ricardo,brBRA,MF,30-205,4.7,11,2.36,6,0,0,0,1,4,0,0.00,0,0,0,0,0,0,Matches
Camutanga,brBRA,DF,30-358,5.0,2,0.40,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Bruno Uvini,brBRA,DF,33-108,4.8,1,0.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Machado,brBRA,MF,28-243,4.6,18,3.88,10,7,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Zeca,brBRA,DF,30-126,4.3,10,2.32,7,1,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Andrade,brBRA,"MF,FW",27-107,4.3,8,1.87,5,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Dudu,brBRA,MF,25-106,3.3,10,3.04,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Jean Mota,brBRA,MF,30-340,4.1,17,4.14,10,5,0,1,1,0,1,0.24,0,0,0,1,0,0,Matches
Reynaldo Cesar Moraes,brBRA,DF,27-260,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Eduardo,brBRA,"FW,MF",27-345,3.2,9,2.83,3,0,2,2,1,1,1,0.31,1,0,0,0,0,0,Matches
Erick Castillo,ecECU,"FW,MF",29-227,3.0,3,0.99,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Mateus Gonçalves Martins,brBRA,"MF,FW",29-357,2.3,11,4.71,9,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luiz Adriano,brBRA,FW,37-160,2.2,2,0.89,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0,Matches
Everaldo,brBRA,"MF,FW",30-114,1.6,2,1.28,0,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Jr,brBRA,"MF,FW",22-133,1.5,12,7.94,5,5,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Gustavo Mosquito,brBRA,FW,27-012,1.3,5,3.88,3,0,1,0,1,0,2,1.55,1,0,1,0,0,0,Matches
José Hugo,brBRA,"MF,FW",24-338,5.6,23,4.11,12,1,2,3,5,0,3,0.54,2,0,1,0,0,0,Matches
EDU,brBRA,DF,24-095,1.5,1,0.68,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Iury de Castilho,brBRA,"FW,MF",29-013,1.4,2,1.45,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
