,SCA,SCA Types,GCA,GCA Types,Player,Nation,Pos,Age,90s,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA90
75,4,"FW,MF",1,18.9,3.97,60,2,5,4,0,Matches,0.16,2,0,0,0,0
79,5,"DF,MF",0,18.3,4.31,49,13,1,9,2,Matches,0.49,5,2,0,2,0
16,1,"DF,MF",0,17.4,0.92,13,0,1,1,0,Matches,0.12,2,0,0,0,0
36,1,DF,0,15.4,2.33,34,1,0,0,0,Matches,0.00,0,0,0,0,0
23,0,DF,0,14.2,1.62,20,0,1,1,1,Matches,0.14,2,0,0,0,0
19,1,MF,0,13.9,1.36,15,1,1,0,1,Matches,0.14,1,1,0,0,0
57,11,FW,0,13.0,4.39,25,7,5,9,0,Matches,0.62,4,0,1,3,0
1,0,GK,0,13.0,0.08,1,0,0,0,0,Matches,0.00,0,0,0,0,0
31,0,MF,0,13.0,2.38,28,1,0,2,0,Matches,0.08,1,0,0,0,0
44,1,DF,0,12.1,3.63,37,2,0,3,1,Matches,0.25,2,0,0,1,0
0,0,GK,0,10.0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
13,4,"FW,MF",0,9.3,1.39,6,1,0,2,0,Matches,0.11,1,0,0,0,0
25,2,MF,1,8.0,3.11,18,2,1,2,0,Matches,0.12,0,0,0,0,0
34,1,MF,0,8.4,4.06,29,3,1,0,0,Matches,0.24,2,0,0,0,0
28,0,"MF,FW",0,5.9,4.73,22,3,3,0,0,Matches,0.17,1,0,0,0,0
7,0,DF,0,6.2,1.13,6,0,0,1,0,Matches,0.00,0,0,0,0,0
10,0,DF,0,5.6,1.78,10,0,0,0,0,Matches,0.00,0,0,0,0,0
7,0,MF,0,5.6,1.26,5,0,1,1,0,Matches,0.00,0,0,0,0,0
9,0,DF,0,5.5,1.64,7,0,0,1,1,Matches,0.18,1,0,0,0,0
27,5,"FW,MF",3,5.6,4.84,18,0,3,1,0,Matches,0.72,1,0,0,0,0
17,3,"DF,MF",0,5.3,3.19,7,4,2,0,1,Matches,0.00,0,0,0,0,0
1,0,DF,0,3.2,0.31,1,0,0,0,0,Matches,0.00,0,0,0,0,0
15,3,"DF,MF",2,4.6,3.29,7,1,2,2,0,Matches,1.10,2,0,0,1,0
7,0,MF,0,3.0,2.32,7,0,0,0,0,Matches,0.00,0,0,0,0,0
9,0,DF,0,2.9,3.09,8,1,0,0,0,Matches,0.00,0,0,0,0,0
0,0,DF,0,2.3,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
1,0,DF,0,2.5,0.39,1,0,0,0,0,Matches,0.00,0,0,0,0,0
4,0,FW,0,2.2,1.85,4,0,0,0,0,Matches,0.00,0,0,0,0,0
7,0,"DF,FW",0,2.0,3.46,6,0,0,0,1,Matches,0.49,1,0,0,0,0
12,1,"MF,DF",1,2.3,5.22,11,0,0,0,0,Matches,0.87,1,0,0,0,0
3,0,"FW,DF",0,0.7,4.29,3,0,0,0,0,Matches,0.00,0,0,0,0,0
4,0,"MF,DF",0,0.1,32.73,3,0,1,0,0,Matches,0.00,0,0,0,0,0
0,0,FW,0,0.1,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
0,0,MF,0,0.0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
