Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Kaique Rocha,brBRA,DF,23-204,21.6,1,0,0,14,8,1,4,26,21,0,0,0,81,56,20,73.7,Matches
Erick,brBRA,"MF,DF",26-310,18.7,1,0,0,24,19,1,5,28,22,0,0,0,67,31,33,48.4,Matches
Lucas Esquivel,arARG,DF,22-341,17.8,5,1,1,20,15,0,83,20,31,0,0,0,82,19,11,63.3,Matches
Fernandinho,brBRA,MF,39-138,15.2,6,0,0,29,21,1,46,10,18,0,0,0,91,17,11,60.7,Matches
Thiago Heleno,brBRA,DF,36-002,14.5,4,0,0,16,7,0,0,18,7,0,0,0,44,35,19,64.8,Matches
Leonardo Linck,brBRA,GK,23-200,13.6,0,1,0,0,1,0,0,0,0,0,0,0,10,3,0,100.0,Matches
Christian,brBRA,"MF,FW",23-275,13.3,5,0,0,31,22,3,27,8,10,0,0,0,35,11,9,55.0,Matches
Leonardo Godoy,arARG,DF,29-144,11.9,3,0,0,24,12,1,37,7,11,0,0,0,40,6,12,33.3,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,11.9,3,0,0,15,14,1,70,5,16,0,0,0,53,4,15,21.1,Matches
Julimar,brBRA,"FW,MF",23-238,13.3,2,0,0,19,8,4,33,12,13,0,0,0,48,34,28,54.8,Matches
Mateo Gamarra,pyPAR,DF,23-335,11.6,6,0,0,13,7,0,2,16,14,0,0,0,61,40,31,56.3,Matches
Tomás Cuello,arARG,"FW,MF",24-198,10.5,2,0,0,14,13,5,62,8,10,0,0,0,68,7,10,41.2,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,9.7,5,1,1,11,12,7,24,1,9,0,0,0,48,6,6,50.0,Matches
Nikão,brBRA,"FW,MF",32-052,9.7,0,0,0,5,19,2,42,6,12,0,0,0,51,10,17,37.0,Matches
Pablo,brBRA,"FW,MF",32-088,10.1,5,0,0,19,5,0,3,1,8,0,0,0,31,22,41,34.9,Matches
Gabriel,brBRA,MF,32-071,9.4,2,0,0,14,8,0,5,14,19,0,0,0,65,13,17,43.3,Matches
Gonzalo Mastriani,uyURU,FW,31-144,8.7,0,0,0,11,7,3,3,3,7,0,0,0,36,23,22,51.1,Matches
Bento,brBRA,GK,25-101,7.0,1,0,0,1,0,0,0,0,0,0,1,0,4,2,0,100.0,Matches
Lucas Di Yorio,arARG,FW,27-302,6.9,1,0,0,10,8,2,6,2,2,0,0,0,11,16,28,36.4,Matches
Fernando,brBRA,DF,25-005,5.8,2,0,0,9,7,0,23,12,4,0,0,0,21,10,7,58.8,Matches
Mádson,brBRA,DF,32-250,7.6,2,0,0,5,9,1,24,9,3,0,0,0,21,23,10,69.7,Matches
João Machado Cruz,brBRA,MF,18-130,4.3,2,0,0,8,3,0,25,1,3,0,0,0,20,2,4,33.3,Matches
Mycael,brBRA,GK,20-191,3.4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Filipinho,brBRA,MF,22-337,1.9,1,0,0,3,7,0,2,5,8,0,0,0,8,0,1,0.0,Matches
Emersonn,brBRA,"FW,MF",20-065,1.8,0,0,0,1,1,0,3,1,1,0,0,0,7,6,6,50.0,Matches
José Vitor Silva Neves,brBRA,"MF,FW",24-140,2.0,2,0,0,5,2,0,3,2,4,0,0,0,11,10,8,55.6,Matches
Alex Santana,brBRA,"MF,FW",29-129,1.1,2,0,0,3,1,0,0,0,0,0,0,0,6,2,4,33.3,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,0.3,0,0,0,2,0,0,4,0,0,0,0,0,0,1,1,50.0,Matches
Kayke Santos,brBRA,FW,16-146,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
Squad Total,,,27.3,24.0,63,4,2,326,236,32,536,215,253,0,1,0,1025,409,372,52.4,
Opponent Total,,,28.0,24.0,44,3,0,258,314,34,409,229,249,1,1,1,955,372,409,47.6,
