Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Adriano Martins,brBRA,DF,27-171,22.6,5,0,0,25,9,2,6,40,23,0,1,0,84,36,25,59.0,Matches
Guilherme Romão,brBRA,DF,26-348,22.5,5,0,0,15,36,4,56,25,12,0,0,0,90,45,34,57.0,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,21.9,4,0,0,22,38,9,24,11,11,0,0,0,92,18,47,27.7,Matches
Ronaldo,brBRA,GK,28-028,22.0,2,1,0,2,4,0,0,0,0,0,0,0,26,3,0,100.0,Matches
Shaylon,brBRA,"FW,MF",27-145,19.2,2,0,0,11,7,0,103,14,4,0,0,0,88,6,10,37.5,Matches
Gabriel Baralhas,brBRA,MF,25-345,16.6,6,0,0,18,20,1,10,20,20,0,0,0,83,21,22,48.8,Matches
Rhaldney,brBRA,MF,25-304,16.4,8,0,0,37,20,0,4,9,33,0,0,0,109,19,22,46.3,Matches
Maguinho,brBRA,DF,31-257,15.1,3,1,0,27,13,2,51,15,12,1,2,0,59,26,23,53.1,Matches
Alix Vinicius,brBRA,DF,24-318,12.7,3,2,1,15,4,2,1,12,9,0,0,2,61,31,21,59.6,Matches
Emiliano Rodríguez,uyURU,FW,21-065,12.2,2,0,0,10,22,8,7,1,4,0,0,0,40,40,60,40.0,Matches
Lucas Kal,brBRA,"MF,DF",28-187,12.8,1,0,0,11,4,0,7,15,7,0,0,0,45,14,12,53.8,Matches
Alejo Cruz,uyURU,"MF,FW",24-018,13.2,3,0,0,12,18,2,107,12,16,0,0,0,57,10,17,37.0,Matches
Luiz Felipe,brBRA,DF,31-010,9.1,4,1,0,14,3,0,1,15,8,1,1,0,24,19,7,73.1,Matches
Bruno Tubarão,brBRA,DF,29-198,8.1,4,1,1,9,6,0,33,6,12,0,0,0,35,12,9,57.1,Matches
Budiga Roni,brBRA,"MF,DF",25-157,7.9,3,0,0,7,7,0,6,7,17,0,0,0,40,3,6,33.3,Matches
Pedrão,brBRA,DF,31-276,6.1,3,0,0,8,4,0,0,1,7,0,0,0,21,19,7,73.1,Matches
Gonzalo Freitas,uyURU,MF,32-353,6.0,3,0,0,13,3,0,1,10,9,0,2,0,18,19,9,67.9,Matches
Janderson,brBRA,"FW,MF",25-206,5.9,3,1,0,10,11,0,51,1,8,0,0,0,27,1,7,12.5,Matches
Joel Campbell,crCRC,"MF,FW",32-085,4.7,2,0,0,2,6,0,15,2,6,0,0,0,23,6,12,33.3,Matches
Derek,brBRA,FW,26-292,4.5,1,1,0,12,8,1,2,1,3,0,0,0,10,11,35,23.9,Matches
Jan Carlos Hurtado,veVEN,FW,24-198,4.3,1,1,0,12,6,1,1,2,2,0,0,0,12,12,25,32.4,Matches
Pedro Rangel,brBRA,GK,24-082,4.0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
Vágner Love,brBRA,"FW,MF",40-100,2.0,1,0,0,1,3,0,2,1,0,0,0,0,5,4,9,30.8,Matches
Yony González,coCOL,"FW,MF",30-070,3.0,0,0,0,6,9,0,14,1,2,0,0,0,12,6,7,46.2,Matches
Yeferson Rodallega,coCOL,DF,23-301,1.2,0,0,0,0,0,0,4,0,1,0,0,0,4,0,1,0.0,Matches
Philipe Sampaio,brBRA,DF,29-313,1.0,0,0,0,1,2,0,1,0,1,0,0,0,5,4,1,80.0,Matches
Gabriel Barros,brBRA,"FW,MF",22-330,0.9,2,1,1,4,1,0,2,0,1,0,0,0,4,1,1,50.0,Matches
Dé Marcão,brBRA,DF,23-127,0.8,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,100.0,Matches
Luiz Gustavo,brBRA,DF,21-112,0.5,0,0,0,1,0,0,0,1,0,0,0,0,3,2,1,66.7,Matches
Max,brBRA,"FW,MF",22-083,2.9,2,0,0,7,8,2,11,0,6,1,0,0,17,3,6,33.3,Matches
Danielzinho,brBRA,"MF,FW",28-252,1.1,0,0,0,3,2,0,6,0,1,0,0,0,8,0,1,0.0,Matches
Jorginho,brBRA,"MF,FW",33-258,0.8,1,0,0,1,3,0,2,1,0,1,0,0,3,1,1,50.0,Matches
Rafael Haller,uyURU,DF,24-033,0.6,0,0,0,0,0,0,3,2,1,0,0,0,5,4,2,66.7,Matches
Mateo Zuleta,coCOL,"FW,MF",22-104,0.5,1,0,0,2,2,0,3,1,1,0,0,0,3,3,0,100.0,Matches
Matías Lacava,veVEN,MF,21-331,0.4,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0.0,Matches
Gustavo Campanharo,brBRA,MF,32-168,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100.0,Matches
Eli,brBRA,FW,20-180,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
Randerson,brBRA,MF,20-191,0.2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
Squad Total,,,27.3,26.0,77,10,3,320,279,34,537,230,240,4,6,2,1124,403,442,47.7,
Opponent Total,,,28.2,26.0,71,7,5,292,301,28,482,206,250,5,4,1,1142,442,404,52.2,
