Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Paulinho,brBRA,"FW,MF",24-066,18.9,3,1,0,10,17,9,13,4,12,1,0,0,74,10,24,29.4,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,18.6,3,0,0,9,27,4,183,12,20,0,0,0,80,12,19,38.7,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,18.4,7,2,2,25,10,0,2,10,16,0,0,0,70,43,26,62.3,Matches
Renzo Saravia,arARG,DF,31-095,15.7,2,0,0,35,22,1,40,20,34,0,1,0,115,18,13,58.1,Matches
Bruno Fuchs,brBRA,DF,25-171,15.2,8,1,1,16,9,0,7,20,19,0,0,0,68,22,15,59.5,Matches
Hulk,brBRA,FW,38-056,14.0,4,1,1,19,45,7,17,1,4,0,0,0,24,13,18,41.9,Matches
Otávio,brBRA,MF,30-138,13.9,1,0,0,19,12,0,6,18,19,0,0,0,70,18,19,48.6,Matches
Éverson,brBRA,GK,34-059,14.0,4,0,0,0,3,0,0,0,0,0,0,0,21,1,0,100.0,Matches
Alan Franco,ecECU,MF,26-029,13.0,4,0,0,24,12,0,9,17,15,0,0,0,49,18,8,69.2,Matches
Guilherme Arana,brBRA,DF,27-158,12.1,4,0,0,11,9,2,61,13,15,0,0,0,62,12,13,48.0,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,10.0,1,0,0,23,25,3,8,7,17,0,0,0,26,17,28,37.8,Matches
Matheus Mendes,brBRA,GK,25-193,10.0,0,0,0,0,3,0,0,0,0,0,0,0,11,1,0,100.0,Matches
Igor Gomes,brBRA,MF,25-186,9.1,4,0,0,13,15,0,23,7,9,0,0,0,54,5,8,38.5,Matches
Federico Zaracho,arARG,MF,26-193,8.0,1,0,0,8,14,1,5,11,11,0,0,0,39,7,9,43.8,Matches
Fausto Vera,arARG,MF,24-177,6.6,0,0,0,12,3,0,7,5,9,0,0,0,25,3,3,50.0,Matches
Bernard,brBRA,"MF,FW",32-011,6.2,1,0,0,13,6,1,23,2,7,0,0,0,28,0,2,0.0,Matches
Igor Rabello,brBRA,DF,29-144,6.2,2,1,0,9,2,0,0,8,7,0,1,0,27,23,12,65.7,Matches
Júnior Alonso,pyPAR,DF,31-223,5.6,2,0,0,10,0,0,5,7,5,0,0,0,16,25,12,67.6,Matches
Rômulo,brBRA,DF,20-232,5.5,4,1,1,9,1,0,3,9,9,0,0,0,24,11,5,68.8,Matches
Eduardo Vargas,clCHI,"FW,MF",34-304,5.6,0,0,0,3,13,5,3,2,5,2,0,0,19,9,13,40.9,Matches
Alisson,brBRA,"DF,MF",18-364,5.3,0,0,0,9,15,1,26,2,9,0,0,0,30,1,8,11.1,Matches
Brahian Palacios,coCOL,"DF,MF",21-300,5.3,2,0,0,9,9,1,18,3,5,2,0,0,20,1,5,16.7,Matches
Mariano,brBRA,DF,38-088,3.6,2,0,0,4,2,0,7,2,7,0,1,0,14,6,1,85.7,Matches
Mauricio Lemos,uyURU,DF,28-266,3.2,3,0,0,10,1,0,0,2,2,0,0,0,8,7,5,58.3,Matches
Lyanco,brBRA,DF,27-231,3.5,3,1,1,7,1,0,6,11,5,0,0,0,20,9,5,64.3,Matches
Paulo Vitor,brBRA,MF,20-024,3.0,1,0,0,7,5,0,0,1,2,0,0,0,18,6,4,60.0,Matches
Rubens,brBRA,"DF,FW",23-090,2.8,1,0,0,4,4,4,14,6,11,0,0,0,12,5,8,38.5,Matches
Jemerson,brBRA,DF,32-026,2.3,2,0,0,2,4,0,1,5,1,0,0,0,10,8,2,80.0,Matches
Deyverson,brBRA,FW,33-134,2.5,2,0,0,6,4,4,1,0,0,0,0,0,9,3,4,42.9,Matches
Pedrinho,brBRA,"MF,DF",26-159,2.3,1,0,0,1,4,0,4,1,5,1,0,0,11,3,3,50.0,Matches
Alan Kardec,brBRA,"FW,DF",35-251,0.9,0,0,0,2,3,0,0,0,0,0,0,0,2,7,5,58.3,Matches
Robert Conceição,brBRA,"MF,DF",21-061,0.1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,Matches
Isaac,brBRA,FW,20-177,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Victor Hugo,brBRA,MF,19-313,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.6,24.0,72,8,6,330,301,43,493,206,280,6,3,0,1058,324,297,52.2,
Opponent Total,,,28.9,24.0,70,3,0,321,315,21,357,214,264,3,8,0,984,297,325,47.7,
