Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,22.7,8,0,0,30,83,2,175,18,21,0,1,0,113,9,24,27.3,Matches
Raniele,brBRA,"MF,DF",27-263,19.4,6,0,0,24,25,1,11,35,21,1,0,0,72,41,40,50.6,Matches
Hugo,brBRA,DF,27-021,19.3,2,0,0,37,10,0,19,21,22,0,1,0,73,43,25,63.2,Matches
Cacá,brBRA,DF,25-147,19.8,3,1,0,23,11,0,1,12,12,0,1,2,55,57,31,64.8,Matches
Wesley,brBRA,FW,19-198,16.0,2,0,0,16,37,4,43,8,11,0,0,0,72,1,9,10.0,Matches
Félix Torres Caicedo,ecECU,DF,27-252,15.5,3,0,0,22,4,2,2,22,11,0,0,0,74,37,24,60.7,Matches
Yuri Alberto,brBRA,FW,23-185,15.7,4,1,0,23,27,10,3,6,3,0,0,0,50,24,49,32.9,Matches
Matheuzinho,brBRA,DF,24-011,15.9,2,0,0,11,16,2,55,19,30,1,0,0,53,8,12,40.0,Matches
Ángel Romero,pyPAR,FW,32-077,12.1,5,0,0,11,34,3,41,3,5,1,0,0,40,16,22,42.1,Matches
Breno,brBRA,MF,19-212,11.6,3,0,0,19,23,1,10,15,9,0,0,0,60,7,6,53.8,Matches
Igor Coronado,brBRA,"MF,FW",32-032,12.4,3,0,0,19,20,0,96,9,14,0,0,0,45,3,10,23.1,Matches
Hugo Souza,brBRA,GK,25-232,10.0,2,0,0,0,1,0,0,0,0,0,0,0,8,1,0,100.0,Matches
André Ramalho,brBRA,DF,32-216,9.0,3,0,0,11,3,0,0,16,8,0,1,0,33,15,7,68.2,Matches
Gustavo Henrique,brBRA,DF,31-179,8.2,6,1,1,10,4,0,0,9,6,0,0,0,14,23,13,63.9,Matches
Fagner,brBRA,"DF,MF",35-100,7.7,1,0,0,1,5,0,35,8,5,0,0,0,29,1,1,50.0,Matches
Matheus Donelli,brBRA,GK,22-125,7.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
Carlos Miguel,brBRA,GK,25-346,6.0,3,0,0,0,1,0,0,0,0,0,0,0,6,1,0,100.0,Matches
Ryan Gustavo,brBRA,MF,21-066,5.8,2,0,0,15,6,0,3,7,14,0,0,0,21,3,6,33.3,Matches
Matheus Bidu,brBRA,DF,25-138,6.2,1,0,0,6,13,1,20,11,6,0,0,0,44,2,6,25.0,Matches
Pedro Raul,brBRA,FW,27-319,5.8,2,0,0,10,10,2,2,0,8,0,0,0,20,18,27,40.0,Matches
Gustavo Mosquito,brBRA,FW,27-012,4.5,1,0,0,5,7,0,15,3,4,0,0,0,18,3,4,42.9,Matches
Alex Santana,brBRA,MF,29-129,3.8,2,0,0,6,5,0,0,4,6,0,0,0,18,4,4,50.0,Matches
Pedro Henrique,brBRA,"FW,MF",34-095,3.8,1,0,0,6,8,4,16,1,4,0,0,0,9,8,7,53.3,Matches
Caetano,brBRA,DF,25-087,3.1,2,1,1,5,1,0,0,4,3,0,0,0,9,2,5,28.6,Matches
Talles Magno,brBRA,"MF,FW",22-085,2.2,2,0,0,7,5,2,0,2,2,0,0,0,12,6,5,54.5,Matches
Charles Rigon Matos,brBRA,"MF,DF",28-092,3.6,3,0,0,9,6,2,7,6,14,0,0,0,10,6,6,50.0,Matches
Cássio,brBRA,GK,37-105,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
Léo Mana,brBRA,DF,20-166,2.3,1,0,0,3,1,0,5,3,3,0,1,0,8,1,3,25.0,Matches
Fausto Vera,arARG,MF,24-177,2.4,0,0,0,2,3,0,0,5,1,0,0,0,8,1,5,16.7,Matches
José Andrés Martínez,veVEN,MF,30-043,1.7,1,0,0,4,1,0,0,2,1,0,1,0,10,3,1,75.0,Matches
Giovane,brBRA,"FW,MF",20-300,3.0,1,0,0,6,6,2,10,0,0,0,0,0,7,5,5,50.0,Matches
Paulinho,brBRA,MF,36-056,1.3,0,0,0,1,3,0,0,0,5,0,0,0,6,6,4,60.0,Matches
Raul Bicalho,brBRA,DF,25-148,1.0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,4,20.0,Matches
Gabriel Moscardo,brBRA,MF,18-357,0.9,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,75.0,Matches
Héctor,esESP,"DF,FW",29-005,0.6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,Matches
Maycon,brBRA,MF,27-066,0.5,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,75.0,Matches
Matheus Araújo,brBRA,MF,22-120,0.5,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,100.0,Matches
Arthur,brBRA,FW,21-191,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100.0,Matches
André Carrillo,pePER,"MF,FW",33-097,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
Biro,brBRA,"MF,DF",20-152,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Kayke,brBRA,"MF,FW",20-144,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
João Pedro,brBRA,DF,20-263,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.6,26.0,76,4,2,348,382,38,571,253,253,3,6,2,1026,366,367,49.9,
Opponent Total,,,28.7,26.0,85,8,4,397,332,39,454,235,303,3,3,0,1051,367,366,50.1,
