Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,22.6,4,0,0,22,11,1,123,25,22,0,0,0,70,24,31,43.6,Matches
Gustavo,brBRA,GK,31-193,21.7,4,1,1,1,1,0,0,0,0,0,0,0,15,4,1,80.0,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20.0,7,0,0,20,9,3,5,26,24,0,2,0,104,55,23,70.5,Matches
Yannick Bolasie,cdCOD,FW,35-118,17.4,2,0,0,23,17,10,33,3,13,0,0,0,52,23,35,39.7,Matches
Barreto,brBRA,MF,28-284,16.4,3,0,0,34,17,2,5,10,20,0,1,0,88,21,10,67.7,Matches
Claudinho,brBRA,DF,23-361,16.7,3,0,0,9,4,3,49,25,25,0,0,0,89,5,13,27.8,Matches
Newton,brBRA,MF,24-191,15.7,2,0,0,36,14,0,24,15,18,0,0,0,61,20,26,43.5,Matches
Arthur,brBRA,FW,32-096,13.8,2,0,0,23,25,12,3,1,2,0,0,0,34,37,43,46.3,Matches
Miguel Trauco,pePER,DF,32-025,12.4,2,1,0,10,2,0,30,7,17,0,0,0,41,13,13,50.0,Matches
Matheusinho,brBRA,"MF,FW",26-221,11.6,2,0,0,10,21,2,30,9,6,0,0,0,69,1,14,6.7,Matches
Higor Meritão,brBRA,MF,30-088,10.8,3,0,0,17,12,0,2,22,16,0,0,0,70,4,5,44.4,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,12.9,3,0,0,13,38,0,26,5,11,0,1,0,61,25,23,52.1,Matches
Tobias Figueiredo,ptPOR,DF,30-230,11.1,4,0,0,11,6,0,0,14,10,0,0,1,35,44,10,81.5,Matches
Wilker Ángel,veVEN,DF,31-185,9.8,2,0,0,17,4,2,0,12,5,0,0,0,13,25,11,69.4,Matches
Marquinhos Gabriel,brBRA,MF,34-060,9.4,4,0,0,7,10,3,20,6,4,0,0,0,51,4,11,26.7,Matches
Éder,itITA,FW,37-309,8.5,5,0,0,5,9,3,16,1,4,0,0,0,26,4,16,20.0,Matches
Walisson Maia,brBRA,DF,33-029,9.5,3,0,0,12,3,0,0,7,8,0,1,0,23,23,11,67.6,Matches
Ronald,brBRA,MF,27-093,9.4,5,0,0,25,18,0,16,8,15,0,0,0,65,4,15,21.1,Matches
Allano,brBRA,"FW,MF",29-148,8.0,7,2,2,25,29,3,14,2,11,0,0,0,36,11,15,42.3,Matches
Jonathan,brBRA,DF,32-025,5.7,0,0,0,5,2,0,14,6,5,0,0,0,29,4,8,33.3,Matches
Alisson,brBRA,GK,29-103,3.3,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,,Matches
Luis Eduardo Marques dos Santos,brBRA,DF,27-112,2.5,0,0,0,8,0,1,16,3,4,0,0,0,8,3,2,60.0,Matches
Patrick de Paula,brBRA,MF,25-011,1.9,1,0,0,4,3,0,0,1,4,0,0,0,16,2,0,100.0,Matches
Renato Kayser,brBRA,FW,28-215,0.9,0,0,0,0,2,2,0,0,0,0,0,0,1,3,2,60.0,Matches
Felipe Vizeu,brBRA,FW,27-191,1.1,0,0,0,1,4,1,0,0,2,0,0,0,3,3,6,33.3,Matches
Yerson Candelo,coCOL,DF,32-208,0.3,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,,Matches
João Carlos,brBRA,"MF,FW",23-090,0.3,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,,Matches
Mateo Barcia,uyURU,"MF,FW",23-213,0.3,0,0,0,3,0,0,1,1,3,0,0,0,1,1,3,25.0,Matches
Eliédson,brBRA,MF,21-186,0.3,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,,Matches
Sergio Antonio De Luiz Junior,brBRA,MF,29-166,0.2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,,Matches
Werik Popó,brBRA,FW,22-338,0.1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0.0,Matches
Squad Total,,,30.9,25.0,70,4,3,344,265,49,432,211,255,0,5,1,1073,363,349,51.0,
Opponent Total,,,28.5,25.0,53,2,0,282,330,34,526,234,271,4,0,0,1082,348,364,48.9,
