Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,23.1,7,0,0,25,69,7,122,6,12,0,0,0,82,9,22,29.0,Matches
William,brBRA,DF,29-169,22.4,6,0,0,30,14,0,126,33,50,0,0,0,122,25,18,58.1,Matches
João Marcelo,brBRA,DF,24-098,22.0,7,0,0,15,10,1,1,32,20,0,0,0,79,69,41,62.7,Matches
Lucas Romero,arARG,MF,30-154,20.0,6,1,1,32,19,0,3,15,36,0,0,0,101,22,10,68.8,Matches
Zé Ivaldo,brBRA,DF,27-211,21.5,7,0,0,23,19,2,11,14,13,0,1,0,102,44,15,74.6,Matches
Lucas Silva,brBRA,MF,31-216,15.0,3,0,0,16,14,0,14,4,5,0,1,1,81,13,16,44.8,Matches
Marlon,brBRA,DF,27-122,15.9,1,2,0,23,10,0,41,16,23,0,0,0,65,18,16,52.9,Matches
Anderson,brBRA,GK,26-198,15.0,1,0,0,0,2,0,0,0,0,0,0,0,16,3,0,100.0,Matches
Arthur,brBRA,FW,26-078,14.1,1,0,0,23,16,12,35,3,10,0,0,0,41,5,16,23.8,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,11.9,4,0,0,18,17,2,48,4,17,0,0,0,57,3,8,27.3,Matches
Ramiro Benetti,brBRA,MF,31-120,11.0,2,0,0,17,9,1,15,13,12,0,0,0,42,13,14,48.1,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,10.0,2,0,0,10,2,1,5,3,9,0,0,0,29,8,12,40.0,Matches
Cássio,brBRA,GK,37-105,11.0,2,0,0,0,3,0,0,1,1,0,0,0,5,4,0,100.0,Matches
Kaiki,brBRA,DF,21-195,9.4,2,0,0,14,16,2,21,19,25,0,0,0,52,11,20,35.5,Matches
Matheus Henrique,brBRA,"MF,FW",26-275,8.9,3,0,0,13,11,1,14,3,11,0,0,0,53,8,6,57.1,Matches
Rafael Silva,brBRA,FW,32-168,5.9,2,0,0,6,3,3,2,1,3,0,0,0,6,7,15,31.8,Matches
Kaio Jorge,brBRA,FW,22-239,7.0,2,0,0,13,11,1,2,0,1,0,0,0,9,12,28,30.0,Matches
Lucas Villalba,arARG,DF,30-031,6.7,1,0,0,10,2,0,7,9,3,0,0,0,25,17,16,51.5,Matches
Lautaro Díaz,arARG,FW,26-121,4.5,1,0,0,9,1,1,8,3,5,0,0,0,12,5,18,21.7,Matches
Neris,brBRA,DF,32-094,3.4,0,0,0,10,2,1,0,3,3,0,0,0,15,6,5,54.5,Matches
Walace,brBRA,MF,29-168,3.2,1,0,0,7,5,0,1,5,2,0,0,0,17,1,7,12.5,Matches
Robert,brBRA,"MF,FW",19-159,4.4,1,0,0,2,3,1,5,1,1,0,0,0,8,2,9,18.2,Matches
Juan Ignacio Dinenno,arARG,"FW,DF",30-022,2.7,0,0,0,1,3,1,0,0,2,0,0,0,5,10,9,52.6,Matches
Machado,brBRA,MF,28-243,1.9,2,0,0,7,3,0,3,5,2,0,0,0,11,2,0,100.0,Matches
Vitor Hugo Amorim,brBRA,"MF,FW",20-214,4.8,2,0,0,2,5,1,5,3,3,0,0,0,20,1,2,33.3,Matches
João Wellington,brBRA,"MF,FW",20-261,2.0,1,0,0,3,1,0,0,4,5,0,0,0,10,1,2,33.3,Matches
Helibelton Palacios,coCOL,DF,31-100,1.0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,3,25.0,Matches
José Cifuentes,ecECU,MF,25-191,0.8,0,0,0,1,0,0,0,0,2,0,0,0,8,1,1,50.0,Matches
Mateus Vital,brBRA,"MF,FW",26-220,2.2,0,0,0,1,6,0,4,0,5,0,0,0,15,0,2,0.0,Matches
Rafael Elias,brBRA,FW,25-160,1.1,2,0,0,4,2,1,0,0,0,0,0,0,3,1,2,33.3,Matches
Arthur Rodrigues,brBRA,"FW,MF",20-220,0.9,1,0,0,1,0,2,0,0,0,0,0,0,1,1,1,50.0,Matches
João Pedro,brBRA,"FW,MF",21-230,0.9,0,0,0,0,3,0,1,2,0,0,0,0,4,2,2,50.0,Matches
Wesley Gasolina,brBRA,"DF,MF",24-190,0.5,0,0,0,0,1,0,7,0,1,0,0,0,5,0,1,0.0,Matches
Fabrizio Peralta,pyPAR,MF,22-048,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,27.5,26.0,70,3,1,336,282,41,502,205,282,0,2,1,1104,325,337,49.1,
Opponent Total,,,28.6,26.0,60,6,2,298,320,27,514,229,264,1,5,0,1051,337,325,50.9,
