Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Walter,brBRA,GK,36-306,24.0,3,0,0,0,1,0,0,0,0,0,0,0,21,6,0,100.0,Matches
Marllon Borges,brBRA,DF,32-156,23.0,3,0,0,20,9,0,1,25,20,1,1,0,76,62,31,66.7,Matches
Isidro Pitta,pyPAR,FW,25-036,21.3,3,0,0,20,22,17,15,1,3,2,0,0,34,34,45,43.0,Matches
Alan Empereur,brBRA,DF,30-193,20.8,7,0,0,11,10,0,10,16,12,0,0,0,68,36,29,55.4,Matches
Lucas Mineiro,brBRA,MF,28-208,19.9,5,0,0,44,16,1,0,7,27,0,0,0,75,31,23,57.4,Matches
Denilson,brBRA,MF,23-180,16.5,6,0,0,25,17,0,22,7,12,0,1,0,111,6,11,35.3,Matches
Ramon,brBRA,DF,23-190,17.4,6,0,0,23,16,2,65,17,22,0,0,0,56,11,9,55.0,Matches
Matheus Alexandre,brBRA,DF,25-165,16.3,5,0,0,22,6,0,37,25,24,0,1,0,60,31,17,64.6,Matches
Clayson,brBRA,"FW,MF",29-184,12.5,5,0,0,11,26,3,50,3,5,1,0,0,45,3,9,25.0,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,13.1,1,0,0,17,22,1,43,8,11,0,0,0,63,14,23,37.8,Matches
Max,brBRA,MF,23-130,11.2,1,0,0,7,9,0,41,13,9,0,0,0,48,12,15,44.4,Matches
Fernando Sobral,brBRA,MF,29-277,12.6,3,0,0,12,16,1,55,7,29,0,0,0,59,12,16,42.9,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,10.4,1,0,0,9,11,0,2,13,5,0,0,0,23,20,14,58.8,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,10.4,5,0,0,15,24,1,6,2,8,0,0,0,26,23,18,56.1,Matches
Railan,brBRA,"DF,FW",24-193,8.9,3,0,0,9,12,0,25,15,9,0,1,0,47,12,17,41.4,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,6.6,2,0,0,8,8,0,22,6,3,0,0,0,24,5,4,55.6,Matches
Rikelme,brBRA,DF,21-065,5.5,0,0,0,6,4,1,18,11,8,0,0,0,19,3,7,30.0,Matches
Filipe Augusto,brBRA,MF,31-038,4.3,4,0,0,13,3,0,0,4,2,0,0,0,16,4,6,40.0,Matches
Juan Pablo,brBRA,DF,22-147,2.8,1,0,0,5,0,0,6,2,7,0,1,0,13,0,3,0.0,Matches
André Luis,brBRA,"FW,MF",27-151,4.6,3,0,0,8,14,2,3,1,6,0,0,0,14,10,17,37.0,Matches
Deyverson,brBRA,FW,33-134,2.4,0,0,0,2,7,4,0,1,1,0,0,0,5,10,11,47.6,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,2.2,0,0,0,0,4,0,0,3,5,0,0,0,3,4,6,40.0,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,3.6,1,0,0,4,12,0,4,1,5,0,0,0,10,7,7,50.0,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1.0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0.0,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,1.2,2,0,0,6,2,0,2,1,2,0,0,0,7,4,3,57.1,Matches
Luciano Giménez,arARG,"FW,MF",24-214,0.8,0,1,0,3,0,1,0,0,0,0,0,0,1,3,4,42.9,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,0.5,0,0,0,1,2,0,3,0,2,0,0,0,4,1,0,100.0,Matches
Jadson,brBRA,MF,19-040,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.4,25.0,72,1,0,301,273,34,430,191,237,4,5,0,932,364,346,51.3,
Opponent Total,,,28.2,25.0,58,5,1,288,282,46,557,214,247,5,5,1,1010,345,364,48.7,
