Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Agustín Rossi,arARG,GK,29-029,24.0,0,0,0,0,5,0,0,1,0,0,0,0,23,4,0,100.0,Matches
Gerson,brBRA,"MF,FW",27-122,20.3,1,0,0,25,46,2,28,3,29,0,0,0,104,26,26,50.0,Matches
Fabrício Bruno,brBRA,DF,28-220,19.6,3,0,0,5,9,0,4,12,13,0,0,0,65,25,12,67.6,Matches
Pedro,brBRA,FW,27-091,18.4,3,0,0,14,27,3,2,6,5,1,0,0,28,28,35,44.4,Matches
Ayrton Lucas,brBRA,DF,27-092,16.9,3,0,0,12,26,0,60,11,17,0,1,0,89,21,22,48.8,Matches
Luiz Araújo,brBRA,"FW,MF",28-109,16.7,3,0,0,23,29,2,86,20,24,0,0,0,77,5,18,21.7,Matches
Léo Pereira,brBRA,DF,28-232,16.2,4,0,0,14,11,1,19,9,17,0,1,0,50,23,19,54.8,Matches
Wesley,brBRA,DF,21-013,16.2,1,0,0,21,29,2,47,23,37,0,0,1,82,27,14,65.9,Matches
David Luiz,brBRA,DF,37-150,13.7,3,0,0,14,5,0,5,10,7,0,1,0,39,33,12,73.3,Matches
Bruno Henrique,brBRA,FW,33-264,13.8,4,0,0,30,41,3,19,9,12,2,0,0,51,27,27,50.0,Matches
Leo Ortiz,brBRA,"MF,DF",28-260,13.2,2,0,0,7,4,0,4,13,9,0,0,0,51,30,10,75.0,Matches
Allan,brBRA,MF,27-200,12.5,4,0,0,25,11,0,4,13,12,0,1,0,53,14,10,58.3,Matches
Erick Pulgar,clCHI,MF,30-248,11.2,4,0,0,22,8,0,2,20,18,0,0,0,52,22,14,61.1,Matches
Everton Soares,brBRA,FW,28-181,6.0,1,0,0,5,7,2,16,2,6,1,0,0,20,4,9,30.8,Matches
Giorgian De Arrascaeta,uyURU,MF,30-110,8.7,1,0,0,10,19,1,42,3,9,1,0,0,38,5,7,41.7,Matches
Nicolás De La Cruz,uyURU,MF,27-110,8.6,1,0,0,14,29,0,35,8,12,0,0,0,53,9,15,37.5,Matches
Guillermo Varela,uyURU,DF,31-179,8.2,0,0,0,7,16,1,23,10,9,0,0,0,31,9,5,64.3,Matches
Lorran,brBRA,"MF,FW",18-077,6.6,0,0,0,10,6,2,26,2,9,0,0,0,27,3,9,25.0,Matches
Matías Viña,uyURU,DF,26-315,4.7,1,0,0,4,2,0,16,5,5,0,0,0,13,7,8,46.7,Matches
Carlinhos,brBRA,FW,27-220,4.1,2,0,0,6,2,3,0,0,1,0,0,0,4,16,13,55.2,Matches
Matheus Gonçalves,brBRA,"FW,MF",19-032,2.2,1,0,0,7,2,0,14,2,3,0,0,0,12,3,2,60.0,Matches
Igor,brBRA,MF,21-196,0.8,1,0,0,1,2,0,0,3,3,0,0,0,6,1,3,25.0,Matches
Gabriel Barbosa,brBRA,"MF,FW",28-020,3.5,1,0,0,1,5,4,5,0,2,0,0,0,9,0,3,0.0,Matches
Victor Hugo,brBRA,"FW,MF",20-131,2.9,1,0,0,1,3,0,5,0,4,0,0,0,14,4,7,36.4,Matches
Matheus Cunha,brBRA,GK,23-118,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Michael,brBRA,FW,28-191,1.0,0,0,0,1,2,0,1,1,0,0,0,0,1,0,1,0.0,Matches
Gonzalo Plata,ecECU,FW,23-323,1.0,0,0,0,3,0,1,2,1,2,0,0,0,6,0,1,0.0,Matches
Alex Sandro,brBRA,DF,33-237,1.0,0,0,0,1,1,0,7,1,2,0,0,0,2,1,0,100.0,Matches
Evertton,brBRA,MF,21-204,1.0,1,0,0,1,3,0,0,3,3,0,0,0,6,2,1,66.7,Matches
Werton,brBRA,"MF,FW",21-003,0.5,0,0,0,0,2,1,1,1,2,0,0,0,6,1,1,50.0,Matches
Carlos Alcaraz,arARG,MF,21-294,0.5,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,,Matches
Cleiton,brBRA,DF,21-147,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.2,25.0,46,1,0,287,352,28,473,192,273,5,4,1,1014,351,304,53.6,
Opponent Total,,,28.2,25.0,75,10,4,359,270,45,411,214,271,3,6,1,995,305,350,46.6,
