Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Fábio,brBRA,GK,43-355,25.0,2,0,0,0,4,0,0,1,1,0,0,0,27,9,0,100.0,Matches
Martinelli,brBRA,"MF,DF",23-132,18.4,6,0,0,26,18,0,4,11,18,1,0,0,82,15,14,51.7,Matches
Ganso,brBRA,MF,34-343,17.8,10,0,0,14,26,1,52,9,18,0,0,0,64,6,15,28.6,Matches
Samuel Xavier,brBRA,DF,34-105,17.8,3,0,0,21,37,1,25,17,20,0,0,0,76,11,14,44.0,Matches
Jhon Arias,coCOL,FW,26-364,14.9,3,0,0,18,38,2,54,6,15,0,0,0,75,12,19,38.7,Matches
Germán Cano,arARG,FW,36-230,12.4,3,0,0,4,5,1,3,1,4,0,0,0,17,4,14,22.2,Matches
Marquinhos,brBRA,"FW,DF",21-165,12.7,2,0,0,16,30,1,49,10,11,0,0,0,46,14,21,40.0,Matches
Thiago dos Santos,brBRA,DF,35-014,12.9,6,0,0,21,13,0,1,20,13,0,1,0,55,44,31,58.7,Matches
André,brBRA,MF,23-065,11.9,5,0,0,17,26,0,0,15,16,0,0,0,87,4,5,44.4,Matches
Diogo Barbosa,brBRA,DF,32-033,11.6,5,0,0,15,12,0,24,8,14,0,0,0,55,12,5,70.6,Matches
Marcelo,brBRA,DF,36-130,9.4,2,0,0,10,13,0,50,8,14,0,0,0,50,0,7,0.0,Matches
Lima,brBRA,"MF,FW",28-100,10.8,5,1,1,15,27,1,15,12,8,0,0,0,56,7,11,38.9,Matches
Antonio Carlos,brBRA,DF,31-196,10.0,1,0,0,6,9,1,3,18,3,0,0,0,35,41,18,69.5,Matches
Keno,brBRA,"FW,MF",35-009,9.4,1,0,0,9,12,3,28,6,12,0,0,0,29,5,5,50.0,Matches
Kauã Elias,brBRA,FW,18-175,8.9,1,0,0,10,6,2,2,2,6,0,0,0,39,10,44,18.5,Matches
Thiago Silva,brBRA,DF,39-363,8.0,2,0,0,3,3,0,0,7,5,0,0,0,19,8,3,72.7,Matches
Alexsander,brBRA,MF,20-347,8.8,4,0,0,21,19,0,7,9,12,0,0,0,50,6,10,37.5,Matches
Felipe Melo,brBRA,DF,41-085,4.6,2,0,0,5,4,0,0,7,3,0,0,0,14,12,4,75.0,Matches
Manoel,brBRA,DF,34-206,5.5,1,0,0,9,3,0,0,2,3,0,0,0,16,6,14,30.0,Matches
John Kennedy,brBRA,"FW,MF",22-124,7.3,1,0,0,15,16,2,2,0,3,0,0,0,12,10,20,33.3,Matches
Kevin Serna,coCOL,FW,26-277,4.6,0,0,0,5,9,2,13,5,12,0,0,0,22,4,12,25.0,Matches
Marlon,brBRA,DF,29-012,3.9,1,0,0,5,2,0,0,3,4,0,0,0,13,15,7,68.2,Matches
Guga,brBRA,DF,26-021,2.9,3,1,0,7,3,0,3,2,6,0,0,0,10,2,2,50.0,Matches
Gabriel,brBRA,MF,31-001,2.6,1,0,0,8,5,1,3,10,7,0,0,0,13,5,2,71.4,Matches
Facundo Bernal,uyURU,MF,21-029,2.6,2,0,0,4,4,0,0,5,1,0,0,0,7,6,0,100.0,Matches
Renato Augusto,brBRA,"MF,FW",36-224,3.5,0,0,0,4,2,4,3,5,5,0,0,0,11,2,4,33.3,Matches
Douglas Costa,brBRA,FW,34-005,3.2,1,0,0,4,3,0,26,2,6,0,0,0,16,2,2,50.0,Matches
David Terans,uyURU,"MF,FW",30-039,2.4,1,0,0,5,5,0,8,0,4,0,0,0,4,1,4,20.0,Matches
Ignácio,brBRA,DF,27-293,2.0,0,0,0,2,3,0,0,0,6,0,0,0,3,7,2,77.8,Matches
Nonato,brBRA,MF,26-200,2.1,1,0,0,1,3,0,1,2,5,0,0,0,12,2,1,66.7,Matches
Isaac,brBRA,"FW,DF",20-148,1.7,0,0,0,1,5,0,2,0,2,0,0,0,6,0,1,0.0,Matches
Esquerdinha,brBRA,"DF,FW",18-204,1.4,0,0,0,1,1,0,10,0,0,0,0,0,3,0,3,0.0,Matches
Felipe Vieira,,"DF,MF",,1.8,0,0,0,3,2,0,1,4,3,0,0,0,7,5,2,71.4,Matches
Jan Lucumí González,coCOL,"FW,MF",20-221,1.0,2,1,1,2,5,1,3,1,0,0,0,0,2,0,0,,Matches
Lucas Calegari,brBRA,DF,22-205,0.9,0,0,0,3,3,0,2,1,4,0,1,0,7,1,0,100.0,Matches
Gabriel Fuentes,coCOL,DF,27-223,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,,31.0,25.0,77,3,2,310,376,23,394,209,264,1,2,0,1040,289,316,47.8,
Opponent Total,,,28.3,25.0,75,1,1,394,299,43,491,230,394,1,1,1,1098,315,290,52.1,
