Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,2,0,0,0,2,0,0,0,0,0,0,0,20,9,0,100.0,Matches
Emanuel Brítez,arARG,DF,32-177,19.0,9,2,1,18,9,2,5,15,27,0,0,0,69,46,24,65.7,Matches
Guilherme Tinga,brBRA,DF,31-018,19.7,2,0,0,16,9,1,55,29,19,0,1,0,91,64,46,58.2,Matches
Breno,brBRA,FW,28-239,16.6,4,0,0,12,51,6,54,3,5,2,0,0,63,10,15,40.0,Matches
Hércules,brBRA,MF,23-335,15.5,6,2,0,25,6,0,16,5,21,0,0,0,74,6,17,26.1,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,14.9,3,0,0,16,16,2,105,5,8,0,1,0,58,9,18,33.3,Matches
Felipe Jonatan,brBRA,DF,26-217,15.7,0,0,0,11,25,1,45,23,14,0,0,0,73,16,16,50.0,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,15.0,5,0,0,9,35,4,34,9,12,0,0,0,59,3,13,18.8,Matches
Juan Martín Lucero,arARG,FW,32-294,15.0,5,0,0,24,23,6,4,0,6,0,0,0,34,11,38,22.4,Matches
Titi,brBRA,DF,36-191,14.4,6,0,0,24,13,1,0,16,11,0,0,0,45,17,23,42.5,Matches
Lucas Sasha,brBRA,MF,34-202,13.4,2,0,0,36,22,0,4,26,41,0,0,0,72,8,11,42.1,Matches
Pedro Borges,brBRA,MF,27-200,12.5,7,0,0,30,22,0,1,19,30,0,1,0,63,22,16,57.9,Matches
Tomás Cardona,arARG,DF,28-345,12.0,3,0,0,17,3,1,0,22,5,0,0,0,22,32,20,61.5,Matches
Renato Kayser,brBRA,FW,28-215,10.6,2,1,0,26,20,5,2,2,6,0,0,0,28,21,62,25.3,Matches
Benjamín Kuscevic,clCHI,DF,28-140,10.6,4,1,1,9,3,1,1,9,12,0,0,0,24,39,20,66.1,Matches
Bruno Pacheco,brBRA,DF,32-286,10.7,1,0,0,10,13,0,14,11,14,0,0,0,46,27,13,67.5,Matches
Matheus Rossetto,brBRA,MF,28-108,7.5,1,0,0,9,4,0,1,9,5,0,0,0,57,6,6,50.0,Matches
José Welison,brBRA,MF,29-192,6.7,1,0,0,8,4,0,5,8,14,0,0,0,31,7,13,35.0,Matches
Marinho,brBRA,FW,34-113,6.6,2,0,0,20,28,6,32,2,6,0,0,0,29,3,9,25.0,Matches
Moises,brBRA,FW,28-017,6.6,0,0,0,2,5,4,2,4,3,0,0,0,26,14,12,53.8,Matches
Imanol Machuca,arARG,"FW,MF",24-248,4.8,0,0,0,4,7,0,29,0,6,0,0,0,25,3,8,27.3,Matches
Leandro Emmanuel Martínez,arARG,"MF,FW",30-107,4.0,3,0,0,5,6,0,14,2,3,0,0,0,24,3,5,37.5,Matches
Kervin Andrade,veVEN,MF,19-159,3.5,2,0,0,5,7,0,12,2,1,0,0,0,22,1,7,12.5,Matches
Eros Mancuso,arARG,DF,25-155,0.8,0,0,0,2,1,0,6,0,1,0,0,0,3,0,0,,Matches
Kauan,brBRA,MF,19-156,0.6,0,0,0,0,2,0,0,1,0,0,0,0,2,2,1,66.7,Matches
Pedro Rocha Neves,brBRA,"FW,MF",29-355,0.5,0,0,0,1,2,0,3,0,2,0,0,0,3,0,1,0.0,Matches
Calebe,brBRA,"FW,MF",24-142,0.3,1,0,0,2,1,0,1,0,0,0,0,0,4,0,0,,Matches
Luis Eduardo Marques dos Santos,brBRA,"FW,DF",27-112,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,30.5,26.0,71,6,2,341,340,40,446,222,272,2,3,0,1068,379,414,47.8,
Opponent Total,,,27.8,26.0,69,3,1,360,316,41,607,183,251,2,3,2,1109,414,379,52.2,
