Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
João Pedro,brBRA,DF,27-309,17.9,1,0,0,6,8,0,27,8,13,0,2,0,81,19,21,47.5,Matches
Dodi,brBRA,MF,28-155,16.1,4,0,0,20,24,0,4,27,26,0,0,0,79,10,8,55.6,Matches
Agustín Marchesín,arARG,GK,36-187,16.0,1,0,0,0,3,0,0,0,0,0,0,0,6,4,0,100.0,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,15.4,1,0,0,6,29,2,91,9,18,1,0,0,79,18,34,34.6,Matches
Reinaldo,brBRA,"DF,MF",34-357,15.1,2,0,0,10,13,1,52,13,17,0,0,0,80,10,15,40.0,Matches
Mathías Villasanti,pyPAR,MF,27-239,15.0,2,0,0,22,15,0,8,23,24,0,0,0,102,6,7,46.2,Matches
Cristian Pavón,arARG,"FW,MF",28-242,9.7,3,0,0,8,6,1,42,7,6,0,0,0,43,14,21,40.0,Matches
Rodrigo Ely,brBRA,DF,30-321,12.9,4,0,0,11,8,0,0,16,16,0,1,0,27,52,19,73.2,Matches
Gustavo Martins Santos,brBRA,DF,22-039,11.5,1,1,0,14,5,1,0,14,8,0,0,1,38,34,14,70.8,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,13.8,5,0,0,13,29,2,22,2,12,0,0,0,66,4,10,28.6,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,10.5,1,0,0,3,22,3,46,2,6,0,0,0,43,0,4,0.0,Matches
Edenílson,brBRA,"FW,MF",34-276,8.2,3,0,0,12,19,2,9,6,5,0,0,0,26,10,14,41.7,Matches
Walter Kannemann,arARG,DF,33-189,8.1,6,1,0,19,5,0,0,13,11,0,1,0,20,22,5,81.5,Matches
João Pedro Pepê,brBRA,MF,26-257,8.2,1,1,0,16,21,1,5,10,18,0,0,0,49,9,10,47.4,Matches
Fábio,brBRA,DF,34-072,7.5,1,0,0,6,14,0,21,5,7,0,1,0,32,13,13,50.0,Matches
João Pedro,itITA,FW,32-194,6.4,0,0,0,14,15,0,0,1,0,0,0,0,7,17,24,41.5,Matches
Du Queiroz,brBRA,MF,24-244,6.5,2,0,0,6,1,0,4,9,13,0,0,0,39,2,6,25.0,Matches
Miguel Monsalve,coCOL,"FW,MF",20-205,5.0,0,0,0,6,12,1,2,0,4,0,0,0,18,1,7,12.5,Matches
Nata,brBRA,DF,23-106,5.6,1,0,0,2,2,0,0,7,4,0,0,0,12,10,10,50.0,Matches
Pedro Geromel,brBRA,DF,38-364,5.3,3,0,0,2,2,0,2,3,6,0,0,0,15,15,7,68.2,Matches
Felipe Carballo,uyURU,MF,27-351,5.3,3,0,0,10,2,0,2,4,10,0,0,0,30,6,7,46.2,Matches
Rafael Cabral,brBRA,GK,34-122,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches
Everton,brBRA,"FW,MF",27-186,5.1,4,0,0,8,8,1,2,1,5,0,0,0,18,3,17,15.0,Matches
Jemerson,brBRA,DF,32-026,3.8,1,0,0,8,0,1,0,3,2,0,0,0,14,3,6,33.3,Matches
Martin Braithwaite,dkDEN,FW,33-106,3.2,0,0,0,5,2,1,1,0,0,0,0,1,9,11,9,55.0,Matches
Nathan,brBRA,"FW,MF",28-190,3.6,1,0,0,3,5,2,2,2,2,0,0,0,10,4,11,26.7,Matches
Caíque,brBRA,GK,27-050,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Mayk,brBRA,DF,25-019,2.8,0,0,0,0,0,0,3,3,4,0,0,0,16,7,2,77.8,Matches
Diego Costa,esESP,FW,35-348,2.3,1,1,0,2,4,1,1,0,1,0,0,0,5,4,8,33.3,Matches
Zé Guilherme,brBRA,DF,19-187,2.5,0,0,0,4,4,0,6,7,7,0,0,0,16,5,4,55.6,Matches
Cuiabano,brBRA,DF,21-216,1.8,0,0,0,1,5,0,2,5,0,0,0,0,9,4,3,57.1,Matches
Nathan Fernandes,brBRA,"FW,MF",19-216,5.2,3,0,0,10,13,1,3,3,5,0,0,0,11,1,10,9.1,Matches
Rodrigo Caio,brBRA,DF,31-033,1.2,0,0,0,1,2,0,0,0,3,0,1,0,1,6,2,75.0,Matches
Alexander Aravena,clCHI,FW,22-013,1.0,0,0,0,0,2,2,2,2,1,0,0,0,8,3,1,75.0,Matches
Matias Arezo,uyURU,"FW,MF",21-303,0.8,0,0,0,2,2,1,0,0,1,1,0,0,3,3,9,25.0,Matches
Alysson Edward,brBRA,"MF,FW",18-137,0.5,0,0,0,4,5,0,1,0,1,0,0,0,2,1,1,50.0,Matches
Ronald,brBRA,"MF,DF",21-221,0.4,0,0,0,1,0,0,0,0,1,0,0,0,3,4,2,66.7,Matches
Squad Total,,,28.8,24.0,56,4,0,255,308,24,360,205,257,2,6,2,1021,337,341,49.7,
Opponent Total,,,28.2,24.0,70,2,2,328,238,28,467,207,315,3,2,0,1112,341,337,50.3,
