Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Gabriel,brBRA,GK,31-358,22.5,3,1,0,1,3,0,0,0,0,0,0,0,29,8,1,88.9,Matches
Erick,brBRA,FW,27-260,18.8,1,0,0,11,11,5,17,10,15,0,0,0,56,15,22,40.5,Matches
Jadson,brBRA,MF,31-020,20.7,12,1,1,32,42,1,16,25,28,0,0,0,130,7,18,28.0,Matches
Lucas Barbosa,brBRA,FW,23-210,19.1,8,1,0,42,28,5,38,15,28,0,0,0,66,39,51,43.3,Matches
Danilo Boza,brBRA,DF,26-136,20.5,2,0,0,3,10,0,5,18,8,0,0,0,76,51,27,65.4,Matches
Alan Ruschel,brBRA,DF,35-027,17.9,4,1,1,25,30,0,48,25,23,0,1,0,65,13,16,44.8,Matches
João Lucas,brBRA,DF,26-194,17.8,5,1,1,25,17,1,73,21,31,0,0,0,93,19,14,57.6,Matches
Zé Marcos,brBRA,DF,26-231,16.3,9,2,2,14,17,0,1,12,14,0,0,0,61,41,20,67.2,Matches
Caíque de Jesus Gonçalves,brBRA,MF,28-345,15.8,5,0,0,20,28,0,2,24,24,0,1,0,95,14,13,51.9,Matches
Nenê,brBRA,"MF,FW",43-062,13.4,3,0,0,14,33,3,123,4,7,0,0,0,44,5,12,29.4,Matches
Jean Carlos Vicente,brBRA,"MF,FW",32-217,10.0,2,0,0,12,6,1,72,6,3,0,1,0,36,5,7,41.7,Matches
Marcelinho,brBRA,"FW,MF",21-283,9.1,2,0,0,6,24,5,25,10,6,0,0,0,39,7,11,38.9,Matches
Gilberto,brBRA,FW,35-106,7.6,3,0,0,9,7,4,7,2,2,0,0,0,10,16,19,45.7,Matches
Ronie Carrillo,ecECU,FW,28-011,6.1,0,0,0,9,7,4,5,1,3,0,0,0,14,18,36,33.3,Matches
Gabriel Inocêncio,brBRA,DF,30-030,9.5,2,0,0,21,16,2,18,9,17,0,2,0,57,13,12,52.0,Matches
Rodrigo Sam,brBRA,DF,29-057,8.4,4,1,0,13,8,0,0,18,10,0,0,0,23,28,9,75.7,Matches
Lucas Freitas,brBRA,DF,23-243,6.2,2,1,1,7,3,1,1,3,5,0,2,0,17,10,9,52.6,Matches
Ewerton,brBRA,"DF,FW",23-314,7.2,0,0,0,2,7,0,14,6,6,0,0,0,32,15,17,46.9,Matches
Luis Oyama,brBRA,MF,27-233,5.7,1,0,0,6,6,0,3,9,7,0,0,0,41,3,10,23.1,Matches
Gabriel Taliari,brBRA,FW,27-159,5.0,0,0,0,7,17,3,2,0,6,0,0,0,9,4,11,26.7,Matches
Mateus Claus,brBRA,GK,30-047,3.5,3,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0,Matches
Thiaguinho,brBRA,MF,27-161,3.1,1,0,0,7,6,0,3,2,4,0,1,0,16,5,1,83.3,Matches
Luis Mandaca,brBRA,"MF,FW",22-353,5.0,4,0,0,11,10,0,3,2,7,0,0,0,17,7,11,38.9,Matches
Ronaldo,brBRA,"MF,DF",27-332,2.0,0,0,0,2,0,0,0,2,7,0,0,0,9,6,3,66.7,Matches
Dudu Vieira,brBRA,MF,30-212,1.9,1,0,0,3,1,0,0,2,2,0,0,0,7,3,2,60.0,Matches
Yan Souto,brBRA,"DF,MF",22-350,1.9,0,0,0,0,0,0,0,1,4,0,0,0,3,5,2,71.4,Matches
Abner,brBRA,DF,20-153,1.2,1,0,0,1,1,0,0,3,0,0,0,0,3,3,3,50.0,Matches
Davi Goes,brBRA,MF,19-089,0.6,1,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0.0,Matches
Edson Carioca,brBRA,"FW,MF",27-077,1.7,0,0,0,4,5,0,2,0,6,0,0,0,11,2,8,20.0,Matches
Diego Gonçalves,brBRA,"FW,MF",30-059,1.5,0,0,0,1,5,2,2,1,3,0,0,0,7,6,5,54.5,Matches
Rildo,brBRA,"FW,MF",24-242,1.3,0,0,0,4,4,0,1,1,1,0,0,0,6,2,2,50.0,Matches
Ruan,brBRA,"FW,MF",19-139,1.1,0,0,0,5,3,1,1,0,0,0,0,0,4,1,3,25.0,Matches
Werik Popó,brBRA,FW,22-338,0.5,2,1,1,4,0,0,0,0,0,0,0,0,2,2,1,66.7,Matches
David,brBRA,MF,24-254,0.4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100.0,Matches
Kleiton,brBRA,FW,25-149,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,33.3,Matches
Peixoto,brBRA,MF,27-081,0.2,1,0,0,1,0,0,1,0,2,0,0,0,2,0,0,,Matches
Squad Total,,,29.0,26.0,82,10,7,323,359,38,484,232,281,0,8,0,1091,377,382,49.7,
Opponent Total,,,28.3,26.0,70,3,1,381,305,33,513,192,223,5,0,0,1119,382,377,50.3,
