Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Wéverton,brBRA,GK,36-281,25.0,1,0,0,0,4,0,0,0,1,0,0,0,27,4,0,100.0,Matches
Aníbal Moreno,arARG,MF,25-129,19.0,5,0,0,19,19,1,12,34,24,0,0,0,116,14,17,45.2,Matches
Murilo Cerqueira,brBRA,DF,27-176,17.5,5,1,1,23,5,1,4,17,19,0,0,0,67,52,30,63.4,Matches
Raphael Veiga,brBRA,MF,29-092,17.0,3,1,0,11,31,4,128,5,11,0,0,0,50,9,10,47.4,Matches
Estevão,brBRA,FW,18-148,15.5,2,0,0,19,20,4,45,6,18,1,0,0,74,9,16,36.0,Matches
Gustavo Gómez,pyPAR,DF,31-136,16.0,6,0,0,32,11,6,2,21,14,0,1,1,47,58,42,58.0,Matches
José López,arARG,FW,23-288,14.9,7,0,0,25,22,12,9,3,6,0,0,0,31,57,53,51.8,Matches
Joaquín Piquerez,uyURU,DF,26-026,14.6,2,0,0,10,19,0,79,13,14,0,0,0,71,13,7,65.0,Matches
Marcos Rocha,brBRA,DF,35-283,15.5,2,0,0,17,8,1,40,22,20,0,0,0,69,12,10,54.5,Matches
Rony,brBRA,FW,29-131,15.2,4,0,0,20,26,13,28,2,8,0,0,0,33,16,48,25.0,Matches
Richard Ríos,coCOL,MF,24-109,10.6,2,0,0,21,21,1,20,10,17,0,0,0,68,11,7,61.1,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,10.2,5,0,0,23,19,4,56,10,16,0,0,0,43,9,8,52.9,Matches
Mayke,brBRA,DF,31-314,9.6,3,0,0,12,7,2,29,22,17,0,0,0,56,17,12,58.6,Matches
Zé Rafael,brBRA,MF,31-095,9.2,5,0,0,26,17,0,4,11,14,1,0,0,60,9,17,34.6,Matches
Vitor Reis,brBRA,DF,18-251,9.2,2,0,0,14,7,0,0,5,4,0,0,0,37,29,13,69.0,Matches
Kaiky Naves,brBRA,DF,22-134,8.1,1,0,0,17,1,0,0,17,14,0,0,0,25,25,25,50.0,Matches
Lázaro,brBRA,"FW,MF",22-191,8.3,0,0,0,8,13,1,14,0,2,0,0,0,25,6,14,30.0,Matches
Vanderlan,brBRA,DF,22-012,8.2,0,0,0,14,3,0,36,8,11,0,1,0,31,8,6,57.1,Matches
Mauricio,brBRA,"MF,FW",23-120,6.1,1,0,0,5,13,0,19,4,3,1,0,0,26,4,5,44.4,Matches
Caio Paulista,brBRA,"DF,FW",26-131,5.1,1,1,0,9,5,0,24,3,10,0,0,0,32,4,4,50.0,Matches
Endrick,brBRA,"MF,FW",18-060,5.0,3,0,0,13,18,0,3,0,2,1,0,0,16,3,6,33.3,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,5.8,0,0,0,5,5,1,18,4,10,0,0,0,28,3,3,50.0,Matches
Fabinho,brBRA,MF,22-163,4.5,1,0,0,3,5,0,1,6,4,0,0,0,19,8,8,50.0,Matches
Dudu,brBRA,"FW,MF",32-256,3.4,0,0,0,3,10,0,19,2,3,0,0,0,21,2,3,40.0,Matches
Agustín Giay,arARG,DF,20-247,2.8,0,0,0,4,11,0,10,3,4,0,0,0,8,4,2,66.7,Matches
Luan Garcia,brBRA,DF,31-132,2.6,0,0,0,3,4,0,0,2,1,0,0,0,8,4,0,100.0,Matches
Luis Guilherme,brBRA,"FW,DF",18-223,2.0,0,0,0,0,3,0,13,0,2,0,0,0,5,5,3,62.5,Matches
Romulo,brBRA,"FW,MF",22-348,1.7,0,0,0,4,4,0,14,0,4,0,0,0,6,2,3,40.0,Matches
Jhonatan Jowjow,brBRA,MF,22-010,1.6,0,0,0,0,1,0,8,3,3,0,0,0,9,1,5,16.7,Matches
Marcelo Lomba,brBRA,GK,37-276,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Luighi,brBRA,"MF,FW",18-142,0.2,0,0,0,2,2,0,0,0,0,0,0,0,1,1,3,25.0,Matches
García,brBRA,"MF,FW",22-259,0.1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.2,26.0,61,3,1,362,334,54,635,233,276,4,2,1,1110,400,380,51.3,
Opponent Total,,,28.3,26.0,78,5,3,344,335,30,376,235,280,2,5,2,1024,380,400,48.7,
