Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Luan Cândido,brBRA,DF,23-230,19.0,4,0,0,32,6,3,4,30,27,0,0,0,51,50,22,69.4,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,1,1,0,1,5,0,0,0,0,0,0,0,27,4,2,66.7,Matches
Lucas Evangelista,brBRA,MF,29-136,16.0,3,0,0,17,35,4,24,11,11,0,0,0,70,21,36,36.8,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,16.7,4,0,0,24,17,8,27,5,7,0,0,0,68,10,32,23.8,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,13.1,3,0,0,19,25,1,23,23,28,0,0,0,70,36,27,57.1,Matches
Pedro Henrique,brBRA,DF,28-353,13.8,3,0,0,15,10,0,1,7,20,0,1,0,60,29,28,50.9,Matches
Eduardo Sasha,brBRA,FW,32-208,12.7,4,1,0,12,17,3,10,4,2,0,0,0,34,39,66,37.1,Matches
Helinho,brBRA,"FW,MF",24-147,12.2,4,0,0,16,14,1,71,10,6,0,0,0,75,8,18,30.8,Matches
Jadsom,brBRA,"MF,DF",23-122,11.3,6,1,0,29,2,0,12,14,30,0,0,0,47,8,18,30.8,Matches
Raul,brBRA,MF,28-070,11.8,1,0,0,18,9,0,2,19,16,0,0,1,69,8,6,57.1,Matches
Vitinho,brBRA,"FW,MF",25-171,12.9,6,0,0,22,14,1,81,7,13,0,0,0,51,11,28,28.2,Matches
Nathan Mendes,brBRA,DF,22-031,12.4,6,0,0,17,12,1,16,11,15,0,0,0,68,15,16,48.4,Matches
Douglas Mendes,brBRA,DF,20-098,12.3,1,0,0,16,2,0,6,11,13,0,0,0,37,33,16,67.3,Matches
Eric Ramires,brBRA,MF,24-040,11.5,4,0,0,16,18,1,10,8,16,0,0,0,70,4,12,25.0,Matches
Eduardo Santos,brBRA,DF,26-296,11.0,3,0,0,3,5,0,2,12,18,0,0,0,45,25,10,71.4,Matches
Lincoln,brBRA,"MF,FW",25-317,9.8,3,0,0,10,28,1,49,6,15,0,0,0,49,2,8,20.0,Matches
Gustavinho,brBRA,"MF,FW",20-149,8.8,1,0,0,13,7,0,41,4,9,0,0,0,39,10,27,27.0,Matches
Thiago Borbas,uyURU,FW,22-165,10.6,3,0,0,21,10,2,1,2,4,0,0,0,22,31,78,28.4,Matches
José Hurtado,ecECU,DF,22-271,6.7,1,0,0,7,3,1,24,9,10,0,0,0,28,7,10,41.2,Matches
Lucão,brBRA,GK,23-206,6.0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,Matches
Jhonatan Jowjow,brBRA,"MF,FW",22-010,4.1,1,0,0,6,4,0,9,1,9,1,0,0,16,3,4,42.9,Matches
Lucas Cunha,brBRA,DF,27-240,4.7,2,0,0,3,2,0,0,2,4,0,0,0,10,9,8,52.9,Matches
Guilherme,brBRA,DF,22-218,4.5,1,0,0,6,2,1,21,8,4,0,0,0,11,5,11,31.3,Matches
Matheus Fernandes,brBRA,MF,26-081,3.6,0,0,0,6,7,0,0,7,14,0,0,0,29,3,2,60.0,Matches
Ignacio Laquintana,uyURU,"FW,MF",25-231,3.1,1,0,0,5,4,1,6,3,1,0,0,0,15,2,1,66.7,Matches
Vinicius Mendonça,brBRA,FW,20-212,2.1,0,0,0,3,11,0,9,0,7,1,0,0,15,3,3,50.0,Matches
Talisson,brBRA,FW,22-121,1.3,0,0,0,4,3,1,6,0,1,0,0,0,1,0,4,0.0,Matches
Fabrício,brBRA,GK,24-096,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Leonardo Realpe,ecECU,DF,23-206,1.0,0,0,0,1,1,0,0,4,2,0,0,0,2,4,3,57.1,Matches
Bruninho,brBRA,"FW,MF",21-189,0.9,0,0,0,1,4,0,0,0,0,0,0,0,5,0,1,0.0,Matches
Everton,brBRA,FW,22-208,0.3,1,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0.0,Matches
Juliano,brBRA,FW,16-202,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.0,Matches
Chumbinho,brBRA,"MF,FW",20-363,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,Matches
Riquelme,brBRA,MF,18-256,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0.0,Matches
Squad Total,,,25.2,25.0,68,3,0,345,282,30,455,218,302,2,1,1,1092,381,505,43.0,
Opponent Total,,,28.5,25.0,68,2,1,296,337,53,540,249,260,1,3,0,1026,507,380,57.2,
